material_code,material,Abbreviation,rep,length incl pet. (mm),width (mm),curliness incl pet. (mm),comments,ALL MEASUREMENTS IN MM,Taxon,Rainfall a,Soil P b,room temp,air humidity,rep#,max_temp (C),point_burning_time (s),time to edge (s),RoS (cm/s),bulk density (g/cm3),packing ratio,total mass before (g),total mass after (g),fuel consumption (%),FMC%,%N leaves,%C leaves,%P leaves,mass ash( g),mass char (g),mass unburnt (g),ash% of mass before,char% of mass before,unburnt% of mass before,senesced_leaf_N,senesced_leaf_C,senesced_leaf_P,site_conditions,site_name
1,dried,Aca_dor,1,121,4,9,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_dor,2,153,5,3,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_dor,3,128,5,5,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_dor,4,120,4,2,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_dor,5,153,4,3,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_dor,6,118,5,5,NA,NA,Acacia doratoxylon,low,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall high soil P,Round Hill woodland
1,dried,Aca_hav,1,80,1,4,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Aca_hav,2,75,1,4,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Aca_hav,3,60,1,2,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Aca_hav,4,70,1,4,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Aca_hav,5,61,1,2,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Aca_hav,6,66,1,2,NA,NA,Acacia havilandiorum,low,low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low rainfall low soil P,Round Hill mallee
1,dried,Allocas,1,NA,NA,NA,NA,NA,Allocasuarina sp,high,high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high rainfall high soil P,Kuring-gai NP hiP
