spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera,species_name,site_name,nitrogen_fixing,seed_mass_duplicate,Seed_mass_filtered
Acac_cels,Mimosaceae,Acacia,celsa,Tall tree,Phanerophyte,30,None,None,C3,NA,3255,NA,653,NA,Endozoochory,13,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,0,NA,Centotheca,Acacia celsa,Henry's,yes,NA,13
Acac_cinc,Mimosaceae,Acacia,cincinnata,Tall tree,Phanerophyte,30,None,None,C3,NA,2880,NA,764,NA,Endozoochory,2,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,1,0,1,0,0,NA,Cyrtococcum,Acacia cincinnata,McDonald's,yes,NA,2
Acac_mang,Mimosaceae,Acacia,mangium,Tall tree,Phanerophyte,30,None,None,C3,NA,15390,NA,565,NA,Endozoochory,7.5,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,NA,Megathyrsus,Acacia mangium,Mackay's,yes,NA,7.5
Achy_aspe,Amaranthaceae,Achyranthes,aspera,Erect leafy,Phanerophyte,1.5,None,None,C3,NA,9180,NA,NA,Mycorrhizal,Endozoochory,1,No,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,1,0,0,0,0,0,Amaranthaceae,Achyranthes,Achyranthes aspera,Zonta,no,NA,1
Acme_clav,Myrtaceae,Acmenosperma,claviflorum,Tall tree,Phanerophyte,25,None,None,C3,NA,5220,NA,653,Mycorrhizal,Endozoochory,110,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,1,0,0,0,NA,Psychotria,Acmenosperma claviflorum,Henry's,no,NA,110
Acme_hemi,Myrtaceae,Acmena,hemilampra ssp. hemilampra,Tall tree,Phanerophyte,30,None,None,C3,NA,6120,NA,601,Mycorrhizal,Endozoochory,3700,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,Nauclea,Acmena hemilampra ssp. hemilampra,Mackay's,no,NA,3700
Acro_vest,Rutaceae,Acronychia,vestita,Tall tree,Phanerophyte,20,None,None,C3,NA,23400,NA,577,Mycorrhizal,Endozoochory,660,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,1,0,0,NA,NA,Acronychia vestita,McDonald's,no,Duplicate of Kew_2019_1_12675,NA
Aden_pavo,Mimosaceae,Adenanthera,pavonina,Tall tree,Phanerophyte,30,None,None,C3,NA,990,NA,600,NA,Endozoochory,230,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,1,1,0,NA,Persicaria,Adenanthera pavonina,McDonald's,yes,Duplicate of Kew_2019_1_05623,NA
Ager_cony,Asteraceae,Ageratum,conyzoides ssp. conyzoides,Erect leafy,Therophyte,1,None,None,C3,NA,3300,NA,NA,Mycorrhizal,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,1,0,0,0,0,Eupomatiaceae,Synedrella,Ageratum conyzoides ssp. conyzoides,Henry's,no,NA,0.86
Agla_sapi,Meliaceae,Aglaia,sapindina,Short tree,Phanerophyte,15,None,None,C3,NA,21060,NA,437,Mycorrhizal,Endozoochory,330,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,NA,Rhodamnia,Aglaia sapindina,Weiss,no,Duplicate of Grubb_1996_031,NA
Aila_inte,Simaroubaceae,Ailanthus,integrifolia ssp. integrifolia,Tall tree,Phanerophyte,60,None,None,C3,NA,10710,NA,426,Mycorrhizal,Wind,90,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,1,1,0,1,0,0,NA,NA,Ailanthus integrifolia ssp. integrifolia,McDonald's,no,NA,90
Aleu_rock,Euphorbiaceae,Aleurites,rockinghamensis,Tall tree,Phanerophyte,40,None,None,C3,NA,72000,NA,389,Mycorrhizal,Endozoochory,2300,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Long persistent in soil (more than 5 years),0,1,0,0,0,0,0,0,Smilacaceae,Calopogonium,Aleurites rockinghamensis,McDonald's,no,NA,2300
Alph_inca,Rhamnaceae,Alphitonia,incana,Tall tree,Phanerophyte,25,None,None,C3,NA,7560,NA,574,Mycorrhizal,Endozoochory,38,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,0,1,0,0,NA,Lepidozamia,Alphitonia incana,Zonta,no,NA,38
Alpi_caer,Zingiberaceae,Alpinia,caerulea,Long basal,Phanerophyte,4,Clonal belowground,None,C3,NA,33000,NA,NA,Mycorrhizal,Endozoochory,16,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,0,0,0,NA,NA,Alpinia caerulea,McDonald's,no,Duplicate of Grubb_1996_057,NA
Alst_muel,Apocynaceae,Alstonia,muelleriana,Tall tree,Phanerophyte,25,None,None,C3,NA,7980,NA,669,Mycorrhizal,Wind,2.5,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Asclepiadaceae,Ichnocarpus,Alstonia muelleriana,Mackay's,no,NA,2.5
Alst_scho,Apocynaceae,Alstonia,scholaris,Tall tree,Phanerophyte,40,None,None,C3,NA,10350,NA,333,Mycorrhizal,Wind,2.5,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,0,0,0,Aspleniaceae,Melodinus,Alstonia scholaris,McDonald's,no,NA,2.5
Alte_fico,Amaranthaceae,Alternanthera,ficoidea,Erect leafy,Phanerophyte,1,None,None,C3,NA,720,NA,NA,Mycorrhizal,Passive,NA,No,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,1,0,1,0,1,Anacardiaceae,Alternanthera,Alternanthera ficoidea,Henry's,no,NA,NA
Amye_cons,Loranthaceae,Amyema,conspicuum ssp. conspicuum,Hemiparasite or holoparasite,Other,NA,None,None,C3,NA,2295,NA,NA,Other,Endozoochory,1.4,No,Bird,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,NA,Gossia,Amyema conspicuum ssp. conspicuum,McDonald's,no,NA,1.4
Amyl_dict,Loranthaceae,Amylotheca,dictyophleba,Hemiparasite or holoparasite,Other,NA,None,None,C3,NA,5040,NA,NA,Other,Endozoochory,36,No,Bird,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,NA,Lophostemon,Amylotheca dictyophleba,McDonald's,no,NA,36
Anti_tenu,Rubiaceae,Antirhea,tenuiflora,Tall tree,Phanerophyte,20,None,None,C3,NA,6825,NA,536,Mycorrhizal,Endozoochory,75,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,1,0,0,0,0,1,NA,NA,Antirhea tenuiflora,McDonald's,no,NA,75
Arch_alex,Arecaceae,Archontophoenix,alexandrae,Tall tree,Phanerophyte,30,None,None,C3,NA,22500,NA,589,Mycorrhizal,Endozoochory,250,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,Cucurbitaceae,Ptychosperma,Archontophoenix alexandrae,Mackay's,no,NA,250
Ardi_brev,Myrsinaceae,Ardisia,brevipedata,Shrub,Phanerophyte,3,Clonal aboveground,None,C3,NA,6000,NA,672,Mycorrhizal,Endozoochory,73,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,NA,Lasianthus,Ardisia brevipedata,Weiss,no,Duplicate of Kew_2019_1_11357,NA
Arth_pali,Nephrolepidaceae,Arthropteris,palisotii,Short basal,Chamaephyte,0.4,Clonal belowground,None,C3,NA,180,NA,NA,Mycorrhizal,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,NA,Synima,Arthropteris palisotii,McDonald's,no,NA,0.001
Aryt_diva,Sapindaceae,Arytera,divaricata,Tall tree,Phanerophyte,30,None,None,C3,NA,8190,NA,605,Mycorrhizal,Endozoochory,390,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,NA,NA,Arytera divaricata,Mackay's,no,NA,390
Aspl_nidu,Aspleniaceae,Asplenium,nidus,Epiphyte,Other,1.5,None,None,C3,NA,600,NA,NA,No obvious special uptake strategy,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,0,1,1,1,0,0,0,Euphorbiaceae,Eleutheranthera,Asplenium nidus,Zonta,no,NA,0.001
Atra_fitz,Rubiaceae,Atractocarpus,fitzalanii ssp. fitzalanii,Tall tree,Phanerophyte,20,None,None,C3,NA,17160,NA,681,Mycorrhizal,Endozoochory,54,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,NA,NA,Atractocarpus fitzalanii ssp. fitzalanii,McDonald's,no,NA,54
Aust_blac,Fabaceae,Austrosteenisia,blackii,Liana,Phanerophyte,NA,None,None,C3,NA,4248,NA,479,NA,Wind,20,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,1,0,1,1,1,0,NA,Hyptis,Austrosteenisia blackii,McDonald's,yes,NA,20
