Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,Pollinator match column,Pollinator match value
Amegilla (Asaropoda) dawsoni,Amegilla,Asaropoda,dawsoni,Apidae,Apinae,Dawson's Burrowing Bee,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Asaropoda) preissi,Amegilla,Asaropoda,preissi,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Asaropoda) sp.,Amegilla,Asaropoda,NA,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Notomegila) chlorocyanea,Amegilla,Notomegilla,chlorocyanea,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Notomegilla) aeruginosa,Amegilla,Notomegilla,aeruginosa,Apidae,Anthophorinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Notomegilla) aeruginosa,Amegilla,Notomegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Notomegilla) chlorocyanea,Amegilla,Notomegilla,chlorocyanea,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Zonamegilla) aeruginosa,Amegilla,Zonamegilla,aeruginosa,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Zonamegilla) asserta,Amegilla,Zonamegilla,asserta,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla (Zonamegilla) pulchra,Amegilla,Zonamegilla,pulchra,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
Amegilla sp.,Amegilla,NA,sp.,Apidae,Apinae,NA,Insecta,Hymenoptera,Animal genus,Amegilla
"Exoneurella ""DBCAPerthHills_1""",Exoneurella,NA,"""DBCAPerthHills_1""",Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
"Exoneurella ""DBCAPerthHills_2""",Exoneurella,NA,"""DBCAPerthHills_2""",Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
"Exoneurella ""DBCAPerthHills_3""",Exoneurella,NA,"""DBCAPerthHills_3""",Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
Exoneurella eremophila,Exoneurella,NA,eremophila,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
Exoneurella setosa,Exoneurella,Exoneurella,setosa,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
Exoneurella setosa,Exoneurella,NA,setosa,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
Exoneurella tridentata,Exoneurella,NA,tridentata,Apidae,Xylocopinae,NA,Insecta,Hymenoptera,Animal family,Apidae
