detailed_description,value_categorical
Apply chemical to the seed.,apply_chemical
Chip seed.,scarify_nick_seed_coat
Chip seed. Removed bracts,scarify_nick_seed_coat remove_bracts
Crack seed.,crack_seed
Crack seed. All seeds put into a small vice and seed coats slightly cracked,crack_seed
Crack seed. cracked using a vice.  up to 6 seed extracted per pod using needle/tweezers,crack_seed
Crack seed. loosened with a vice,crack_seed
Crack seed. up to 6 seed extracted from each pod using needle/tweezers,crack_seed
Crack seed. Using vice,crack_seed
Crack seed. vice used.  up to 6 seeds extracted using needle/tweezers,crack_seed
Dry heat applied at a temperature for a period.,heat
Dry heat applied at a temperature for a period. followed by dip in cool water,heat
File seed.,scarify_file_seed_coat
File seed. Used dremel to scarify seed coat,scarify_file_seed_coat
Immersed in hot/boiling water at a temperature for a period.,imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the biol"" for 3 mins",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil'  for 3 mins",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil""",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil""  hot water treated",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil"" for 3 mins",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil"" hot water treatment",imbibed_cooled_boiling
"Immersed in hot/boiling water at a temperature for a period. ""off the boil"" water",imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. (estd temp for water off the boil),imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. (temp unrecorded),imbibed
Immersed in hot/boiling water at a temperature for a period. (temperature unrecorded),imbibed
Immersed in hot/boiling water at a temperature for a period. 90 deg at start,imbibed_near_boiling
Immersed in hot/boiling water at a temperature for a period. Estimated temperature,imbibed
Immersed in hot/boiling water at a temperature for a period. For germ test,imbibed
Immersed in hot/boiling water at a temperature for a period. near boiling water,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. off the boil,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. 'off the boil' hot water treated,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. seed thoroughly dried before plating,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. seeds thoroughly dried before plating,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. slightly cooled boiling water,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. Soaked in off boil water,imbibed_cooled_boiling
Immersed in hot/boiling water at a temperature for a period. Water cooled after boiling,imbibed_cooled_boiling
Leach the seed for a time period. soak in water to wash off any salt,imbibed_remove_salt
Nick seed.,scarify_nick_seed_coat
Nick seed. Mericarp plug removed,scarify_nick_seed_coat remove_mericarp_plug
Nick seed. Remove mericarp plug,scarify_nick_seed_coat remove_mericarp_plug
Nick seed. Removed mericarp plug,scarify_nick_seed_coat remove_mericarp_plug
Nick seed. sanded lightly on 220 grit,scarify_sand_seed_coat
Nick seed. scalpel,scarify_nick_seed_coat
Nick seed. Scarified between sand paper,scarify_sand_seed_coat
Nick seed. Scarified seed between sand paper,scarify_sand_seed_coat
"Nick seed. seeds were imbibed, then nicked",imbibed scarify_nick_seed_coat
Nick seed. seeds were nicked after being imbibed,imbibed scarify_nick_seed_coat
Put seed in smoked water.,smoked_water
Put seed in smoked water. 1/100 dilute smoke wate immersion,smoked_water
"Put seed in smoked water. 10% solution of 'Smokemaster'
soak seeds in this before placing into agar",smoked_water
Put seed in smoked water. seeds soaked in 10% 'Smokemaster' solution first,smoked_water
Put seed in smoked water. soak seed in 10% 'Smokemaster' solution,smoked_water
Put seed in smoked water. soak seed in 10% 'Smokemaster' solution first,smoked_water
Put seed in smoked water. soak seeds in 10% 'Smokemaster' solution first,smoked_water
Remove seed coat.,remove_seed_coat
Remove seed coat. Bract,remove_seed_coat remove_bracts
Remove seed coat. Bracts,remove_seed_coat remove_bracts
Remove seed coat. outer woody husk removed,remove_seed_coat
Remove seed coat. remove fruit from seed,remove_seed_coat
Remove seed coat. remove seed from fruit,remove_seed_coat
Simulate smoke conditions for a period using the disk method.,simulate_smoke
Simulate smoke conditions for a period using the disk method. 25 mls of water,simulate_smoke
Simulate smoke conditions for a period using the disk method. 25 mls water,simulate_smoke
Simulating cold conditions at a temperature for a period.,stratification
Simulating cold conditions at a temperature for a period. Add 10 mls Mancozeb - 1.5g/l to cotton wool cover with 2 x filter papers.,stratification
Simulating cold conditions at a temperature for a period. Add 10 mls mancozeb (1.5g/l) to cotton wool and cover with filter paper,stratification
Simulating cold conditions at a temperature for a period. Add 10 mls mancozeb 1.5g/l to cotton wool and cover with filter paper,stratification
Simulating cold conditions at a temperature for a period. add 10 mls mancozed (1.5g/l) to cotton wool and cover with filter paper,stratification
Simulating cold conditions at a temperature for a period. Add 10mls mancozeb 1.5g/l to cotton wool and cover with filter paper,stratification
Simulating cold conditions at a temperature for a period. Contaminated,stratification
Simulating cold conditions at a temperature for a period. fridge,stratification
