context,Temp,CO2,Water,days_since_drought,type,description
NA,Amb,400,Wet,NA,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_more_than_88_days_since_drought_treatment,Elv,640,Dry,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_more_than_88_days_since_drought_treatment,Elv,400,Dry,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_more_than_88_days_since_drought_treatment,Amb,400,Wet,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_more_than_88_days_since_drought_treatment,Amb,640,Wet,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_more_than_88_days_since_drought_treatment,Amb,400,Dry,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_44_to_86_days_since_drought_treatment,Elv,400,Wet,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_more_than_88_days_since_drought_treatment,Amb,640,Dry,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_more_than_88_days_since_drought_treatment,Elv,640,Wet,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_more_than_88_days_since_drought_treatment,Elv,400,Wet,more_than_88,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_44_to_86_days_since_drought_treatment,Elv,640,Wet,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_44_to_86_days_since_drought_treatment,Amb,400,Dry,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_44_to_86_days_since_drought_treatment,Amb,640,Dry,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_44_to_86_days_since_drought_treatment,Elv,640,Dry,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_44_to_86_days_since_drought_treatment,Elv,400,Dry,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_44_to_86_days_since_drought_treatment,Amb,400,Wet,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_44_to_86_days_since_drought_treatment,Amb,640,Wet,44_to_86,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_30_to_44_days_since_drought_treatment,Amb,400,Wet,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_30_to_44_days_since_drought_treatment,Amb,640,Wet,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_30_to_44_days_since_drought_treatment,Elv,640,Wet,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_30_to_44_days_since_drought_treatment,Elv,400,Wet,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_30_to_44_days_since_drought_treatment,Amb,400,Dry,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_30_to_44_days_since_drought_treatment,Amb,640,Dry,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_30_to_44_days_since_drought_treatment,Elv,640,Dry,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_30_to_44_days_since_drought_treatment,Elv,400,Dry,30_to_44,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_fewer_than_24_days_since_drought_treatment,Elv,640,Wet,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_fewer_than_24_days_since_drought_treatment,Elv,400,Wet,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_fewer_than_24_days_since_drought_treatment,Amb,400,Dry,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_fewer_than_24_days_since_drought_treatment,Amb,640,Dry,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_fewer_than_24_days_since_drought_treatment,Elv,640,Dry,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_fewer_than_24_days_since_drought_treatment,Elv,400,Dry,fewer_than_24,treatment,"Factorial experiment with plants grown at two temperatures, two CO2 concentrations, 
         and under two drought conditions; gas exchange measurements were made at various dates after the onset of drought."
