species_name,Hmax(m),WD,SLA,minseedlength,maxseedlength,fruit size(min).mm2,fruit size(max).mm2,Fruit_Type_2,dispersalmode,dispersal2,Location.n,Rainforest.Type,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes,SLA_no_site,wood_density_unique,plant_height_unique,seed_length_min_unique,seed_length_max_unique
Acacia melanoxylon,30,0.57,5.56,3,5,120,1200,Pod_R,AVm,Flying,1,WSTRf,5.557414676,5.557414676,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.57,30,NA,NA
Ackama paniculosa,45,0.56,10.25,NA,NA,1,4,Capsule_W,W,Wind,1,WSTRf,10.25030836,10.25030836,NA,1.130101872,7,21,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.56,45,NA,NA
Acronychia oblongifolia,20,0.54,14.55,3,5,169,169,Drupe,AVf,Flying,1,WSTRf,14.54691571,14.54691571,NA,5.761711968,4,12,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Akania bidwillii,25,0.57,8.91,10,12,625,625,Capsule_N,P,Passive,1,WSTRf,8.913022503,8.913022503,NA,2.221636537,2,2,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,NA,NA,NA,NA
Archontophoenix cunninghamiana,30,0.78,NA,8,10,100,225,Drupe,AVm,Flying,1,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,30,NA,NA
Argyrodendron actinophyllum,45,0.71,7.24,NA,NA,1200,2000,Samara,W,Wind,1,WSTRf,7.241325157,7.241325157,NA,1.019750389,6,15,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.71,45,NA,NA
Atractocarpus benthamianus,15.5,0.79,11.43,3,5,225,625,Drupe,AVf,Flying,1,WSTRf,11.42589928,11.42589928,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.79,NA,NA,NA
Beilschmiedia elliptica,45,0.7,11,8,10,144,144,Drupe,AVf,Flying,1,WSTRf,10.99563313,10.99563313,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Cinnamomum virens,45,0.48,6.54,8,8,60,96,Drupe,AVm,Flying,1,WSTRf,6.538322764,6.538322764,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Citronella moorei,40,0.56,16.28,15,21,300,480,Berry,AVf,Flying,1,WSTRf,16.27879392,16.27879392,NA,5.628320036,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Cloaxylon australe,20,0.59,18.05,NA,NA,36,36,Capsule_R,AVm,Flying,1,WSTRf,18.05188448,NA,18.05188448,6.062449884,21,62,DoigoNP & BunyaMtNP,BunyaMtNP,13,D & B,-26.886047,151.605447,NA,NA,0.59,20,NA,NA
Cryptocarya glaucescens,45,0.54,6.87,10,10,144,225,Berry,AVf,Flying,1,WSTRf,6.871527294,6.871527294,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,10
Cryptocarya meisneriana,12,0.64,11.32,NA,NA,225,225,Drupe,AVf,Flying,1,WSTRf,11.31622701,11.31622701,NA,1.107980434,14,42,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.64,12,NA,NA
Cryptocarya obovata,45,0.55,9.37,8,8,144,144,Drupe,AVf,Flying,1,WSTRf,9.370726494,NA,9.370726494,2.334863871,6,18,DoigoNP & BunyaMtNP & MairyCairncross,BunyaMtNP,134,D & B & M,-26.886047,151.605447,NA,NA,NA,NA,8,NA
Daphnandra apetala,35,0.56,28.84,12,25,144,625,Achene(plumed),W,Wind,1,WSTRf,28.83878211,28.83878211,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.56,35,12,25
Daphnandra melasmena,20,0.56,22.19,7,10,49,100,Achene(plumed),W,Wind,1,WSTRf,22.18956485,22.18956485,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.56,NA,7,10
Dendrocnide excelsa,45,0.21,13.06,NA,NA,NA,NA,Nut,AVf,Flying,1,WSTRf,13.06425001,13.06425001,NA,2.590939772,2,3,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Denhamia celastroides,15,0.72,7.76,NA,NA,100,289,Capsule_R,AVm,Flying,1,WSTRf,7.756850846,7.756850846,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Diospyros australis,20,0.63,5.3,NA,NA,400,400,Berry,AVm,Flying,1,WSTRf,5.300853682,5.300853682,NA,2.266675833,4,12,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Diploglottis australis,45,0.6,7.79,NA,NA,100,625,Capsule_R,AVmFlR,Flying,1,WSTRf,7.790233991,7.790233991,NA,1.528299024,5,5,BunyaMtNP,BunyaMtNP,3,B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Doryphora sassafras,45,0.52,9.11,6,20,36,400,Achene(plumed),W,Wind,1,WSTRf,9.109954355,9.109954355,NA,1.885269768,21,61,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,6,20
Ehretia acuminata,30,0.49,17.21,NA,NA,16,49,Drupe,AVm,Flying,1,WSTRf,17.20599852,17.20599852,NA,6.088977279,2,5,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Elattostachys nervosa,40,0.66,10.41,NA,NA,144,324,Capsule_R,AVf,Flying,1,WSTRf,10.40521687,10.40521687,NA,1.391933077,4,10,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Endiandra crassiflora,40,0.67,18.38,NA,NA,169,625,Drupe,AVf,Flying,1,WSTRf,18.37679143,18.37679143,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Geissios benthami,45,0.58,9.51,4,4,225,324,Capsule_W,W,Wind,1,WSTRf,9.511446095,9.511446095,NA,1.240582843,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.58,45,4,4
Guilfolya monostylis,20,0.36,19.47,12,15,140,288,Berry,AVf,Flying,1,WSTRf,19.47149505,19.47149505,NA,1.006425572,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.36,20,12,15
Helicia glabrifolia,30,0.58,8.08,9,9,144,192,Drupe,AVf,Flying,1,WSTRf,8.084191288,8.084191288,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.58,30,9,9
Ligustrum sinense,5,0.41,24.06,4,4,25,36,Drupe,AVm,Flying,1,WSTRf,24.0642874,24.0642874,NA,5.050722625,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.41,NA,NA,NA
Linospadix monostachya,6,0.82,19.35,NA,NA,120,120,Drupe,AVf,Flying,1,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.35,0.82,6,NA,NA
Litsea reticulata,45,0.43,9.82,11,11,100,196,Drupe,AVf,Flying,1,WSTRf,9.819987697,NA,9.819987697,3.335289073,2,6,DoigoNP & BunyaMtNP & MairyCairncross,BunyaMtNP,134,D & B & M,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Melicope hayesii,10,0.53,15.32,NA,NA,NA,NA,Capsule_R,AVf,Flying,1,WSTRf,15.31533932,15.31533932,NA,3.614611984,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.53,NA,NA,NA
Myrsine variabilis,10,0.71,11.07,4,4,16,49,Drupe,AVm,Flying,1,WSTRf,11.06930643,NA,11.06930643,1.150736574,2,6,DoigoNP & BunyaMtNP,BunyaMtNP,13,D & B,-26.886047,151.605447,NA,NA,NA,NA,NA,NA
Neolitsea dealbata,15,0.56,12.12,6,10,63,132,Drupe,AVm,Flying,1,WSTRf,12.1210047,NA,12.1210047,1.880060271,21,63,DoigoNP & MairyCairncross & Quinkin & WooroonoranNP,MairyCairncross,1456,D & B & M & Q & W,-26.778623,152.882047,NA,NA,NA,NA,6,10
Orites excelsus,30,0.5,12.21,22,25,160,300,Follicle_W,W,Wind,1,WSTRf,12.20617249,12.20617249,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Pittosporum mulitflorum,4.2,0.64,12.54,3,4,25,64,Berry,AVm,Flying,1,WSTRf,12.54209589,12.54209589,NA,2.0094285,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.64,4.2,3,4
Polyscias murrayi,30,0.27,12.96,4,4,20,30,Drupe,AVmHR,Flying,1,WSTRf,12.95602164,12.95602164,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Pouteria australis,40,0.76,10.15,20,20,2500,2500,Drupe,AVf,Flying,1,WSTRf,10.14816725,NA,10.14816725,2.519619566,6,17,DoigoNP& MairyCairncross,MairyCairncross,14,D & M,-26.778623,152.882047,NA,NA,NA,NA,NA,NA
Sarcopteryx stipata,40,0.84,11.73,5,5,169,169,Capsule_R,AVm,Flying,1,WSTRf,11.7341938,11.7341938,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Scolopia braunii,30,0.63,10.36,3,5,121,169,Drupe,AVm,Flying,1,WSTRf,10.36113767,10.36113767,NA,1.94180675,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Sloenea australis,45,0.52,10.64,9,10,225,400,Capsule_R,AVm,Flying,1,WSTRf,10.64399393,NA,10.64399393,1.376811451,4,10,DoigoNP & WooroonoranNP,DorrigoNP,16,D  & W,-30.359054,152.735787,Most leaf samples from location 1,NA,0.52,45,9,10
Sloenea woollsii,45,0.53,10.22,6,6,240,240,Capsule_R,AVm,Flying,1,WSTRf,10.22323805,10.22323805,NA,2.16252331,3,7,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.53,45,6,6
Solanum mauritianum,4,0.42,23.15,2,2,144,324,Berry,AVm,Flying,1,WSTRf,23.14809858,23.14809858,NA,5.34446216,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.42,NA,NA,NA
Synoum glandulosum,20,0.51,11.98,11,17,144,540,Capsule_R,AVm,Flying,1,WSTRf,11.97975396,11.97975396,NA,NA,1,2,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.51,NA,NA,NA
Syzygium australe,24,0.59,12.02,7,12,112,391,Berry,AVm,Flying,1,WSTRf,12.01602923,12.01602923,NA,5.282323467,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Syzygium crebrinerve,45,0.63,10.32,5,5,289,625,Berry,AVf,Flying,1,WSTRf,10.32120367,10.32120367,NA,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,NA,NA,NA,NA
Syzygium smithii,20,0.63,10.81,5,12,64,400,Berry,AVm,Flying,1,WSTRf,10.80971406,NA,10.80971406,1.244329376,7,19,DoigoNP & BunyaMtNP,BunyaMtNP,13,D & B,-26.886047,151.605447,NA,NA,0.63,NA,NA,NA
Wilkea huegeliana,13.5,0.57,8.71,18,20,120,280,Drupe,AVf,Flying,1,WSTRf,8.705179582,8.705179582,NA,0.722052836,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,NA,NA,0.57,13.5,18,20
Acronychia octandra,45,0.46,NA,NA,NA,16,16,Capsule_N,P,Passive,2,WSTRf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alangium villosum.polyosmoides,20,0.57,20.21,10,17,90,200,Drupe,AVf,Flying,2,WSTRf,20.21478292,20.21478292,NA,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,NA,NA,0.57,20,10,17
Archidendron grandiflorum,30,0.51,12.86,12,14,2500,5000,Pod_N,AVm,Flying,2,WSTRf,12.85896911,12.85896911,NA,NA,1,2,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots",NA,NA,30,NA,NA
Argyrodendron trifoliatum,45,0.8,9.63,NA,NA,350,1740,Samara,W,Wind,2,WSTRf,9.62611358,NA,9.62611358,2.503357279,24,64,MairyCairncross & WooroonoranNP,MairyCairncross,46,M & W,-26.778623,152.882047,NA,NA,0.8,45,NA,NA
