Species,CGO,Reference
Ptilotus drummondii,NC,Tsakalos et al. (2020)
Ptilotus manglesii,NC,Tsakalos et al. (2020)
Ptilotus polystachyus,NC,Tsakalos et al. (2020)
Anarthria polyphylla,HR,Tsakalos et al. (2020)
Lyginia imberbis,HR,Field collection LM170919/06
Actinotus leucocephalus,NC,Actinotus leucocephalus Benth.; L. Preiss 2056 LD1222455
Platysace juncea,NC,Platysace juncea (Bunge) C.Norman; J. Drummond 138 K000686382
Platysace xerophila,NC,Platysace xerophila (E.Pritz.) L.A.S.Johnson; E. Pritzel 988 P03238672
Xanthosia huegelii,HR,D'Agui (2017)
Xanthosia tomentosa,NC,Xanthosia tomentosa A.S.George; R. Davis 9730 PERTH 05818494
Hydrocotyle hispidula,NC,Hydrocotyle hispidula Bunge; J.A.L. Preiss 2086 P00115412
Trachymene coerulea,NC,Trachymene coerulea Graham; L. Press 2055 LD1223768
Trachymene pilosa,NC,Western Australian Herbarium (1998–). Florabase profile 6280 (Accessed 5 Oct 2021).
Acanthocarpus preissii,HR,Western Australian Herbarium (1998–). Florabase profile 1208 (Accessed 5 Oct 2021).
Chamaescilla versicolor,T,Tsakalos et al. (2020)
Laxmannia grandiflora subsp. grandiflora,HR,Laxmannia grandiflora Lindl. subsp. grandiflora; C.M. Parker 317 PERTH 01970410
Laxmannia omnifertilis,HR,Laxmannia omnifertilis Keighery; G.J. Keighery 2341 PERTH 01223658
Laxmannia ramosa subsp. ramosa,HR,Western Australian Herbarium (1998–). Florabase species profile 11911 (Accessed 7 Oct 2021).
Laxmannia sessiliflora,HR,Field collection LM190919/14
Lomandra collina,HR,Western Australian Herbarium (1998–). Florabase profile 1224 (Accessed 7 Oct 2021).
Lomandra hastilis,HR,Western Australian Herbarium (1998–). Florabase profile 1227 (Accessed 7 Oct 2021).
Lomandra hermaphrodita,HR,Western Australian Herbarium (1998–). Florabase profile 1228 (Accessed 7 Oct 2021).
Lomandra preissii,HR,Lomandra preissii (Endl.) Ewart; L. Preiss 1532 MO-202027
Lomandra suaveolens,HR,Western Australian Herbarium (1998–). Florabase profile 1246 (Accessed 7 Oct 2021).
Thysanotus arenarius,HR,Thysanotus arenarius Brittan; N.H. Brittan 205 PERTH01220993
Thysanotus dichotomus,HR,Tsakalos et al. (2020)
Thysanotus patersonii,T,Field collection LM180919/56
Thysanotus sparteus,T,Tsakalos et al. (2020)
Thysanotus spiniger,HR,Western Australian Herbarium (1998–). Florabase profile 1353 (Accessed 5 Oct 2021).
Thysanotus tenellus,T,Western Australian Herbarium (1998–). Florabase profile 1354 (Accessed 7 Oct 2021).
Thysanotus teretifolius,T,Thysanotus teretifolius Brittan; S. Dougall 6 PERTH 06936407
Thysanotus thyrsoideus,T,Thysanotus thyrsoideus Baker; J. Drummond s.n. K000794770
Thysanotus triandrus,T,Thysanotus triandrus (Labill.) R.Br.; R. Davis 7558 PERTH 05171504
Thysanotus vernalis,T,Thysanotus vernalis Brittan; N.H. Brittan 55 K000794762
Blennospora drummondii,NC,Western Australian Herbarium (1998–). Florabase profile 7856 (Accessed 5 Oct 2021).
Gnephosis tenuissima,NC,Western Australian Herbarium (1998–). Florabase profile 8002 (Accessed 5 Oct 2021).
Hyalosperma cotula,NC,Hyalosperma cotula (Benth.) Paul G.Wilson; J. Drummond 167 K000899442
Lagenophora huegelii,HR,Wang & Bean (2019)
Millotia myosotidifolia,NC,Western Australian Herbarium (1998–). Florabase profile 8105 (Accessed 5 Oct 2021).
Olearia sp. Kennedy Range (G. Byrne 66),NC,Olearia sp. Kennedy Range (G. Byrne 66); J. English 140 PERTH 07694199
Podolepis aristata,NC,Western Australian Herbarium (1998–). Florabase profile 45236 (Accessed 5 Oct 2021).
Podotheca angustifolia,NC,Western Australian Herbarium (1998–). Florabase profile 8182 (Accessed 5 Oct 2021).
Podotheca chrysantha,NC,Western Australian Herbarium (1998–). Florabase profile 8183 (Accessed 5 Oct 2021).
Podotheca gnaphalioides,NC,Western Australian Herbarium (1998–). Florabase profile 8184 (Accessed 5 Oct 2021).
Pterochaeta paniculata,NC,Western Australian Herbarium (1998–). Florabase profile 13255 (Accessed 5 Oct 2021).
Siloxerus humifusus,NC,Western Australian Herbarium (1998–). Florabase profile 8225 (Accessed 5 Oct 2021).
Waitzia acuminata,NC,Western Australian Herbarium (1998–). Florabase profile 8275 (Accessed 5 Oct 2021).
Borya sphaerocephala,HR,Borya sphaerocephala R.Br.; S. Osborne 86A PERTH 07746237
Isotoma hypocrateriformis,NC,Isotoma hypocrateriformis (R.Br.) Druce; J. Drummond s.n. K000781022
Lobelia heterophylla,NC,Lobelia heterophylla Labill.; J.J.H Labillardiere s.n. FI006946
Lobelia rhytidosperma,NC,Lobelia rhytidosperma Benth.; J. Drummond 421 K000277933
Wahlenbergia gracilenta,NC,Wahlenbergia gracilenta Lothian; L. Preiss 1886 LD1807938
Allocasuarina campestris,L,"Bell et al., (1995)"
Allocasuarina humilis,L,Field collection LM170919/09
Allocasuarina microstachya,L,Field collection LM021020/14
Stackhousia dielsii,NC,Stackhousia dielsii Pamp.; R. Davis 10034 PERTH 06006094
Tripterococcus brunonis,NC,Tripterococcus brunonis Endl.; Collector unknown BR0000013333140
Centrolepis mutica,NC,Western Australian Herbarium (1998–). Florabase profile 1132 (Accessed 5 Oct 2021).
Centrolepis polygyna,NC,Western Australian Herbarium (1998–). Florabase profile 1134 (Accessed 5 Oct 2021).
Burchardia congesta,T,Field collection LM180919/57
Crassula colorata,NC,Western Australian Herbarium (1998–). Florabase profile 3137 (Accessed 5 Oct 2021).
Callitris acuminata,WR,Callitris acuminata (Parl.) F.Muell.; G.J. Keighery 14507 PERTH 04909151
Callitris arenaria,NC,Western Australian Herbarium (1998–). Florabase profile 8002 (Accessed 5 Oct 2021).
Callitris pyramidalis,L,Field collection LM170919/03
Caustis dioica,HR,Field collection LM021020/04
Gahnia trifida,HR,Western Australian Herbarium (1998–). Florabase profile 907 (Accessed 5 Oct 2021).
Lepidosperma costale,HR,Western Australian Herbarium (1998–). Florabase profile 930 (Accessed 5 Oct 2021).
Lepidosperma pruinosum,HR,Western Australian Herbarium (1998–). Florabase profile 939 (Accessed 5 Oct 2021).
Lepidosperma pubisquameum,HR,Western Australian Herbarium (1998–). Florabase profile 940 (Accessed 5 Oct 2021).
Lepidosperma scabrum,HR,Groom & Lamont (2015)
Lepidosperma sp. P1 small head (M.D. Tindale 166A),HR,Western Australian Herbarium (1998–). Florabase profile 16284 (Accessed 5 Oct 2021).
Lepidosperma tenue,HR,Western Australian Herbarium (1998–). Florabase profile 947 (Accessed 5 Oct 2021).
Lepidosperma squamatum,HR,Western Australian Herbarium (1998–). Florabase profile 945 (Accessed 5 Oct 2021).
Mesomelaena preissii,HR,Mesomelaena preissii Nees; L. Preiss 1796 BM000991114
Mesomelaena pseudostygia,HR,Field collection LM170919/14
Mesomelaena stygia subsp. deflexa,HR,Western Australian Herbarium (1998–). Florabase profile 11623 (Accessed 5 Oct 2021).
Mesomelaena tetragona,HR,Western Australian Herbarium (1998–). Florabase profile 957 (Accessed 5 Oct 2021).
Schoenus andrewsii,HR,Western Australian Herbarium (1998–). Florabase profile 971 (Accessed 5 Oct 2021).
Schoenus brevisetis,HR,Benwell (1998)
Schoenus clandestinus,HR,Western Australian Herbarium (1998–). Florabase profile 982 (Accessed 5 Oct 2021).
Schoenus curvifolius,HR,Western Australian Herbarium (1998–). Florabase profile 50014 (Accessed 5 Oct 2021).
Schoenus griffinianus,HR,Western Australian Herbarium (1998–). Florabase profile 17606 (Accessed 5 Oct 2021).
Schoenus nanus,NC,Western Australian Herbarium (1998–). Florabase profile 1002 (Accessed 7 Oct 2021).
Schoenus pedicellatus,HR,Schoenus pedicellatus (R.Br.) Benth.; R. Brown 6010 BM000991023
Schoenus pleiostemoneus,HR,Western Australian Herbarium (1998–). Florabase profile 1009 (Accessed 5 Oct 2021).
Schoenus rigens,HR,Western Australian Herbarium (1998–). Florabase profile 1011 (Accessed 5 Oct 2021).
Schoenus sp. A3 Ciliate Sheaths (K.R. Newbey 9402),HR,Western Australian Herbarium (1998–). Florabase profile 16274 (Accessed 7 Oct 2021).
Schoenus sp. Eneabba (F. Obbens & C. Godden I154),HR,Western Australian Herbarium (1998–). Florabase profile 19945 (Accessed 7 Oct 2021).
Schoenus subfascicularis,HR,Western Australian Herbarium (1998–). Florabase profile 1018 (Accessed 5 Oct 2021).
Schoenus subflavus,HR,Western Australian Herbarium (1998–). Florabase profile 1019 (Accessed 5 Oct 2021).
Schoenus unispiculatus,HR,Western Australian Herbarium (1998–). Florabase profile 1026 (Accessed 5 Oct 2021).
Tetraria microcarpa,HR,Western Australian Herbarium (1998–). Florabase profile 50552 (Accessed 5 Oct 2021).
Tetraria octandra,HR,Western Australian Herbarium (1998–). Florabase profile 50553 (Accessed 7 Oct 2021).
Calectasia hispida,HR,Barrett & Dixon (2001)
Calectasia narragara,HR,Field collection LM180919/47
Dasypogon obliquifolius,HR,Dasypogon obliquifolius Nees; K.R. Thiele 3690 PERTH 08091277
Hibbertia acerosa,NC,Hibbertia acerosa (DC.) Benth.; J. Drummond 2 TCD0009681
Hibbertia crassifolia,L,Field collection LM180919/35
Hibbertia huegelii,L,Field collection LM300920/02
Hibbertia hypericoides,L,Field collection LM180919/22
Hibbertia sericosepala,L,Thiele (2013)
Hibbertia spicata,L,Hibbertia spicata F.Muell.; K.R. Thiele 3267 PERTH 02435381
Hibbertia subvaginata,NC,Hibbertia subvaginata (Steud.) F.Muell.; G.J. Keighery 1475 PERTH 08509476
Drosera barbigera,NC,Western Australian Herbarium (1998–). Florabase profile 3090 (Accessed 5 Oct 2021).
Drosera echinoblastus,NC,Western Australian Herbarium (1998–). Florabase profile 13202 (Accessed 5 Oct 2021).
Drosera eneabba,NC,Field collection LM180919/55
Drosera erythrorhiza,T,Western Australian Herbarium (1998–). Florabase profile 3095 (Accessed 5 Oct 2021).
Drosera glanduligera,NC,Western Australian Herbarium (1998–). Florabase profile 3098 (Accessed 5 Oct 2021).
Drosera humilis,T,Western Australian Herbarium (1998–). Florabase profile 8910 (Accessed 5 Oct 2021).
Drosera menziesii,T,Western Australian Herbarium (1998–). Florabase profile 3109 (Accessed 5 Oct 2021).
Drosera porrecta,T,Western Australian Herbarium (1998–). Florabase profile 29178 (Accessed 5 Oct 2021).
Ecdeiocolea monostachya,HR,Field collection LM170919/12
Georgeantha hexandra,HR,Field collection LM180919/06
Andersonia heterophylla,L,Field collection LM011020/01; Andersonia heterophylla Sond.; G.J. Keighery 16670 PERTH 07248539
Conostephium pendulum,L,Field collection LM011020/07; Conostephium pendulum Benth.; M. Hislop 4035 PERTH 08290989
Conostephium preissii,L,Conostephium preissii Sond.; M. Hislop 4027 PERTH 08290865
Leucopogon inflexus,NC,Leucopogon inflexus Hislop; M. Hislop 2670 PERTH 06505236
Leucopogon oldfieldii,L,Leucopogon oldfieldii Benth.; M. Hislop 3910 PERTH 08277044
Leucopogon prolatus,NC,Hislop (2016)
Leucopogon sp. Northern ciliate (R. Davis 3393),NC,Leucopogon sp. Northern ciliate (R. Davis 3393); R. Davis 3393 PERTH 04907108; R. Davis 9851 PERTH 05874300
Leucopogon stenophyllus,NC,Hislop (2016)
Lysinema pentapetalum,NC,Field collection LM011020/08
Styphelia conostephioides,NC,Styphelia conostephioides (DC.) F.Muell.; M. Hislop 4024 C PERTH 08291160
Styphelia filamentosa,NC,Field collection LM011020/15
Styphelia filifolia,NC,Styphelia filifolia Hislop & Puente-Lel.; F. Hort 1717 PERTH 05931789
Styphelia hispida,L,Styphelia hispida (E.Pritz.) Sleumer; R. Davis 3261 PERTH 04869567
Styphelia microdonta,L,Styphelia microdonta (Benth.) F.Muell.; M. Hislop 3850 PERTH 08083053
Styphelia oblongifolia,L,"Styphelia oblongifolia (A.J.G.Wilson & Hislop) Hislop, Crayn & Puente-Lel.; M. Hislop 3999 PERTH 08270988"
Styphelia sp. Eneabba (N. Marchant s.n. PERTH 01291777),L,Inferred from similar Styphelia oblongifolia.
Styphelia stomarrhena,L,Styphelia stomarrhena (Sond.) Sleumer; M. Hislop 3281 PERTH 07098200
Styphelia tortifolia,NC,"Styphelia tortifolia Hislop, Crayn & Puente-Lel.; R. Davis 10059 PERTH 06059716"
Styphelia williamsiorum,NC,Hislop & Puente-Lelievre (2017)
Styphelia xerophylla,NC,Styphelia xerophylla (DC.) F.Muell.; R. Davis 3392 PERTH 04959388
Monotaxis bracteata,L,Field collection LM021020/01
Monotaxis grandiflora,L,Monotaxis grandiflora Endl.; J.A.L. Preiss 1218 MEL2066088
Stachystemon axillaris,NC,Vincent et al. (2019)
Acacia auronitens,L,Acacia auronitens Lindl.; B.R. Maslin 5494 PERTH 00119466
Acacia barbinervis subsp. borealis,L,Field collection LM021020/16
Acacia blakelyi,NC,Herath (2008)
Acacia cavealis,NC,Acacia cavealis R.S.Cowan & Maslin; R. Davis 3263 PERTH 04906845
Acacia cochlearis,WR,Acacia cochlearis (Labill.) H.L.Wendl.; J. Rippey 102 PERTH 06587607; R. Davis 1813 PERTH 04602943
Acacia fagonioides,WR,Acacia fagonioides Benth.; R. Davis 3365 PERTH 04940016
Acacia lasiocarpa,NC,Acacia lasiocarpa var. sedifolia (Meisn.) Maslin; G. Warren & P. Rose 713 PERTH 06593216
Acacia latipes,L,Acacia latipes Benth.; M.G. Allen 934 PERTH 04708776
Acacia moirii subsp. recurvistipula,L,Acacia moirii subsp. recurvistipula Maslin; R.B. Maslin 570 PERTH 00764744
Acacia pulchella,NC,"Pate et al., (1990)"
Acacia rostellifera,WR,Acacia rostellifera Benth.; B. Maslin 7985 PERTH 05591635
