site_name,trait_name,unit,value,notes
AgnesBanksNR,longitude,deg,150.715,
AgnesBanksNR,latitude,deg,-33.617,
AgnesBanksNR,soil_total_P,ppm,31,
BoxCrossing,longitude,deg,144.848,
BoxCrossing,latitude,deg,-31.587,
BoxCrossing,soil_total_P,ppm,101,
CastlereaghNR,longitude,deg,150.745,
CastlereaghNR,latitude,deg,-33.683,
CastlereaghNR,soil_total_P,ppm,175,
CocoparraNP,longitude,deg,146.22,
CocoparraNP,latitude,deg,-34.12,
CocoparraNP,soil_total_P,ppm,105,
DennyDF,longitude,deg,146.115,
DennyDF,latitude,deg,-33.936,
DennyDF,soil_total_P,ppm,122,
EastCobar,longitude,deg,145.901,
EastCobar,latitude,deg,-31.506,
EastCobar,soil_total_P,ppm,122,
GoobangNP1,longitude,deg,148.401,
GoobangNP1,latitude,deg,-32.942,
GoobangNP1,soil_total_P,ppm,NA,
GoobangNP2,longitude,deg,148.401,
GoobangNP2,latitude,deg,-32.942,
GoobangNP2,soil_total_P,ppm,NA,
GoobangNP3,longitude,deg,148.401,
GoobangNP3,latitude,deg,-32.942,
GoobangNP3,soil_total_P,ppm,NA,
GoobangNP4,longitude,deg,148.345,
GoobangNP4,latitude,deg,-32.815,
GoobangNP4,soil_total_P,ppm,NA,
hermidale,longitude,deg,146.556,
hermidale,latitude,deg,-31.561,
hermidale,soil_total_P,ppm,441,
KCNP_hiP,longitude,deg,151.292,
KCNP_hiP,latitude,deg,-33.579,
KCNP_hiP,soil_total_P,ppm,695,
KCNP_loP,longitude,deg,151.143,
KCNP_loP,latitude,deg,-33.694,
KCNP_loP,soil_total_P,ppm,105,
MacquariePass,longitude,deg,150.656,
MacquariePass,latitude,deg,-34.567,
MacquariePass,soil_total_P,ppm,607,
MortonNP,longitude,deg,150.335,
MortonNP,latitude,deg,-34.779,
MortonNP,soil_total_P,ppm,87,
MyallLakesNP2,longitude,deg,152.475,
MyallLakesNP2,latitude,deg,-32.423,
MyallLakesNP2,soil_total_P,ppm,22,
NombinnieNR,longitude,deg,146.004,
NombinnieNR,latitude,deg,-33.044,
NombinnieNR,soil_total_P,ppm,175,
RoundHillNR,longitude,deg,146.155,
RoundHillNR,latitude,deg,-32.967,
RoundHillNR,soil_total_P,ppm,227,
ShanesPark,longitude,deg,150.781,
ShanesPark,latitude,deg,-33.719,
ShanesPark,soil_total_P,ppm,105,
Talleeban,longitude,deg,146.464,
Talleeban,latitude,deg,-33.929,
Talleeban,soil_total_P,ppm,175,
