name_original,site_ID,13C %,leaf area mm2,LMA gm2,WD g cm3,Height (m),leaf slenderness,bark thickness index
Acronychia acronychioides,Herberton,-33.2,44.24,116.03,0.58,15,3.16,0.05
Alangium villosum,Herberton,-33.39,27.2,67.84,0.54,20,2.7,0.027
Alphitonia whitea,Herberton,-31.52,74.91,163.81,0.58,20,2.84,0.04
Archirhodomyrtus beckleri,Herberton,-30.14,15.58,118.5,0.53,7,2.52,0.073
Brackenridgea australiana,Herberton,-33.77,49.88,114.84,0.77,6.5,3.53,0.031
Cardwellia sublimis,Herberton,-30.08,76.19,110.69,0.56,20,3.47,0.025
Casearia costulata,Herberton,-32.65,21.22,90.41,0.65,6,3.05,0.035
Castanospora alphandii,Herberton,-34.18,52.13,97.93,0.63,17,3.59,0.024
Croton triacros,Herberton,-32.37,44.88,99.17,0.57,10,2.43,0.043
Daphnandra repandula,Herberton,-34.24,40.33,48.98,0.5,9,3.64,0.047
Darlingia darlingiana,Herberton,-31.26,97.35,149.57,0.69,23,4.2,0.027
Doryphora aromatica,Herberton,-34.55,45.49,76.03,0.55,18,2.95,0.04
Eupomatia laurina,Herberton,-34.54,75.65,69.45,0.5,7,2.58,
Ficus leptoclada,Herberton,-33.32,18.95,76.94,0.48,13,2.5,0.03
Flindersia brayleyana,Herberton,-31.36,84.97,171.32,0.52,25,2,0.03
Flindersia pimenteliana,Herberton,-30.37,22.95,93.81,0.5,25,2.4,0.02
Geissois biagiana,Herberton,-33.38,129.51,103.3,0.46,25,2.07,0.025
Guioa lasioneura,Herberton,-33.49,23.59,128.83,0.72,9.5,2.75,0.041
Hedycarya loxocarpa,Herberton,-34.76,74.66,68.75,0.51,1.6,2.41,
Litsea connorsii,Herberton,-32.34,29.6,118.35,0.5,16,2.66,0.031
Macaranga subdentata,Herberton,-31.05,50.26,82.92,0.58,14,3.5,0.038
Myrsine porosa,Herberton,-34.75,36.31,80.65,0.68,8,2.72,0.046
Neolitsea dealbata,Herberton,-33.48,86.03,102.2,0.47,20,2.32,0.048
Pittosporum wingii,Herberton,-34.13,36.36,60.34,0.67,10,3.02,0.044
Polyosma alangiacea,Herberton,-32.05,59.94,90.62,0.63,20,2.67,0.051
