location_id,location_name,records,latitude (deg),longitude (deg),description
1,"1 km off Princes Highway along Western Boundary road, near Tuross Head.",11,-36.04009,150.0727,Open eucalypt forest
2,"180 m west of curve in Bogong High Plains Road, in between the turnoffs to Big River Firetrail and Langford Gap car park.",29,-36.87978,147.3195,Eucalypt woodland
3,"2.3 km along Royal Standard Spur track, from Mt Selma road.",11,-37.59164,146.3719,Open eucalypt forest
4,"2.5 km along Royal Standard Spur track, from Mt Selma road.",10,-37.59024,146.3708,Open eucalypt forest
5,"300 m off Princes Highway along Western Boundary road, near Tuross Head.",11,-36.04098,150.0795,Open eucalypt forest
6,900 m along Sennis track from Moe-Walhalla road.,29,-38.0231,146.3422,Open eucalypt forest
7,Agnes Falls.,20,-38.64256,146.372,Open eucalypt forest
8,"Aireys Inlet-Anglesea road, just west of Acacia track intersection.",25,-38.41218,144.1566,Open eucalypt forest
9,"Along Donna Buang Road, just west of turnoff to summit, Yarra Ranges National Park.",20,-37.71181,145.6671,Open eucalypt forest
10,"Along Donna Buang Road, Yarra Ranges National Park.",40,-37.71668,145.6259,Tall open eucalypt forest
11,"Along Park Road, Mount Martha Nature Conservation Reserve.",22,-38.29451,145.0049,Open eucalypt forest
12,"Along Stirling Range Drive, Stirling Range National Park.",221,-34.35252,118.0704,Wandoo/marri eucalypt woodland
13,"Araluen Road, north-west of Araluen.",29,-35.60818,149.7929,Open eucalypt forest
14,"Badger Avenue, eastern boundary of Coranderrk Nature Reserve, Badger Creek.",11,-37.68843,145.5316,Open eucalypt forest
15,"Badja Firetrail, south of Pikes Saddle.",11,-36.0104,149.5682,Open eucalypt forest
16,"Badja Road, Badja area.",11,-36.06132,149.5424,Open eucalypt forest
17,"Badja Road, near Pikes Saddle.",38,-35.98692,149.5563,Open eucalypt forest
18,"Bemm River, Club terrace Loop Rd, Princes Hwy, E Gippsland, Vic",21,-37.60721,148.9011,Closed forest
19,"Bengworden road, Perry Bridge.",20,-38.00485,147.2679,Open eucalypt forest
20,"Bingie Dreaming track, 300 m south of Mullimburra Point road.",18,-35.9997,150.156,Low eucalypt woodland
21,"Bingie Dreaming track, 500 m south of Congo.",11,-35.96549,150.1525,Low eucalypt woodland
22,"Bingie Dreaming track, 70 m south of Mullimburra Point road.",10,-35.99736,150.1568,Low eucalypt woodland
23,"Bingie road, 3.5 km east from Princes Highway.",7,-35.99725,150.1317,Open eucalypt forest
24,"Bodalla State Forest, 1 km along C-Ridge road off Princes Highway.",8,-36.13051,150.064,Open eucalypt forest
25,"Bodalla State Forest, Big Rock road, just off Princes Highway.",9,-36.11612,150.0608,Open eucalypt forest
26,"Bodalla State Forest, Brou Lake road, 1.6 km east of Princes Highway.",11,-36.14569,150.1083,Open eucalypt forest
27,"Bodalla State Forest, on unnamed road 2.7 km along Brou Lake road, near beach.",11,-36.14859,150.1238,Open eucalypt forest
28,"Bogong High Plains Road, 1.5 km east of Falls Creek pay station.",11,-36.84649,147.2671,Open eucalypt forest
29,"Bogong High Plains Road, 1.5 km uphill from Fainter Falls carpark.",11,-36.81352,147.2315,Tall open eucalypt forest
30,"Bogong High Plains Road, 2.5 km uphill from Fainter Falls carpark.",11,-36.8215,147.2278,Tall open eucalypt forest
31,"Bogong High Plains Road, just east of Fainter Falls carpark.",11,-36.81671,147.2251,Tall open eucalypt forest
32,"Bogong High Plains Road, just east of Falls Creek pay station.",20,-36.84363,147.2543,Open eucalypt forest
33,"Bogong High Plains Road, just east of Mount Beauty.",29,-36.73892,147.1893,Open eucalypt forest
