species,resprouter,photosynthetic.pathway,life.history,bud.position,dim.1,dim.2
Echinopogon ovatus,No,C3,Perennial,R,NA,NA
Pennisetum setaceum,Yes,C4,Perennial,C,NA,NA
Dactylis glomerata,Yes,C3,Perennial,C,2.02031541,-0.332021951
Melica uniflora,Yes,C3,Perennial,R,NA,NA
Poa trivialis,Yes,C3,Perennial,S,NA,NA
Gastridium ventricosum,No,C3,Annual,NA,NA,NA
Anthoxanthum aristatum,No,C3,Annual,C,NA,NA
Aegilops geniculata,No,C3,Annual,C,NA,NA
Briza maxima,No,C3,Annual,C,NA,NA
Bromus alopecuros,No,C3,Annual,NA,NA,NA
Neurachne alopecuroides,Yes,NA,Perennial,R,NA,NA
Dichelachne micrantha,Yes,C3,Perennial,C,NA,NA
Poa arctica,Yes,C3,Perennial,R,NA,NA
Poa ligularis,Yes,C3,Perennial,NA,NA,NA
Aira praecox,No,C3,Annual,NA,NA,NA
Axonopus fissifolius,Yes,C4,Perennial,R+S,0.158321443,0.511958713
Anthoxanthum odoratum,Yes,NA,Perennial,C,2.915620409,0.583378172
Glyceria maxima,Yes,C3,Perennial,R,NA,NA
Paspalum urvillei,Yes,C4,Perennial,C,NA,NA
Paspalum vaginatum,Yes,C4,Perennial,S,-3.789991573,0.561728802
Alopecurus myosuroides,No,NA,Annual,C,NA,NA
Brachypodium distachyon,No,NA,Annual,NA,NA,NA
Bromus hordeaceus,No,NA,Annual,NA,NA,NA
Cortaderia selloana,Yes,C3,Perennial,C,NA,NA
Spinifex sericeus,Yes,C4,Perennial,R+S,NA,NA
Calamagrostis villosa,Yes,C3,Perennial,R,NA,NA
Helictotrichon filifolium,Yes,C3,Perennial,R,NA,NA
Melica minuta,Yes,C3,Perennial,NA,-0.316056211,-1.185823661
Helictotrichon bromoides,Yes,C3,Perennial,C,NA,NA
Catapodium rigidum,No,C3,Annual,NA,NA,NA
Lamarckia aurea,No,C3,Annual,NA,NA,NA
Eragrostis lehmanniana,Yes,C4,Perennial,C,NA,NA
Rytidosperma penicillatum,Yes,NA,Perennial,C,NA,NA
Muhlenbergia polycaulis,Yes,C4,Perennial,R,NA,NA
Schizachyrium cirratum,Yes,NA,Perennial,C,NA,NA
Trachypogon spicatus,Yes,NA,Perennial,C,-2.324939214,-0.660393046
Muhlenbergia emersleyi,Yes,C4,Perennial,C,NA,NA
Enneapogon desvauxii,No,C4,Both,C,1.588548637,-0.616311477
Eragrostis cilianensis,No,C4,Annual,C,NA,NA
Muhlenbergia fragilis,No,C4,Annual,C,NA,NA
Panicum oligosanthes,No,C3,Perennial,C,NA,NA
Poa bigelovii,No,C3,Annual,C,NA,NA
Setaria viridis,No,C4,Annual,C,NA,NA
Festuca ovina,No,C3,Perennial,C,-0.039590897,-0.068650002
Bouteloua curtipendula,Yes,C4,Perennial,R,0.101993189,-0.365545844
Poa sieberiana,Yes,C3,Perennial,C,NA,NA
Molinia caerulea,Yes,NA,Perennial,C,NA,NA
Pennisetum purpureum,Yes,C4,Perennial,S,1.413056496,-0.308268171
Anthephora pubescens,Yes,C4,Perennial,C,0.546516362,-0.468543091
Alloteropsis semialata,Yes,C4orC3,Perennial,R,1.309037505,-0.981411934
Amphipogon caricinus,Yes,C3,Perennial,C,NA,NA
Aristida arida,Yes,C4,Perennial,C,NA,NA
Aristida biglandulosa,Yes,NA,Perennial,C,NA,NA
Aristida capillifolia,Yes,C4,Perennial,C,NA,NA
Aristida exserta,Yes,C4,Perennial,C,NA,NA
Aristida inaequiglumis,Yes,C4,Perennial,C,NA,NA
Aristida latifolia,Yes,NA,Perennial,C,NA,NA
Aristida latzii,Yes,C4,Perennial,C,NA,NA
Aristida nitidula,Yes,C4,Perennial,C,NA,NA
Aristida obscura,Yes,C4,Perennial,C,NA,NA
