Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Dicliptera spicata,shrub,1,0,simple,no,evergreen,,,,1,15,80,5,30,1,2,1,1,
Dipteracanthus australasicus,shrub,1,1,simple,no,evergreen,,,,1.5,8,25,5,20,1,2,1,1,
Graptophyllum excelsum,shrub,1,0,simple,no,evergreen,,,,3,8,35,5,15,3,5,3,4,
Graptophyllum ilicifolium,shrub,0,1,simple,no,evergreen,,,,10,10,115,7,55,2,4,2,3,
Graptophyllum reticulatum,shrub,0,1,simple,no,evergreen,,,,3,20,105,12,50,2,4,2,3,
Graptophyllum spinigerum,shrub,1,0,simple,no,evergreen,,,,8,10,80,7,40,3,5,2,4,
Harnieria hygrophiloides,shrub,1,0,simple,no,evergreen,,,,2,25,115,10,30,2,2,1,2,
Hemigraphis royenii,shrub,1,0,simple,no,evergreen,,,,0.5,20,100,20,40,1,2,1,2,
Hypoestes floribunda,shrub,1,0,simple,no,evergreen,,,,1.2,20,110,8,50,1,2,1,1,
Rhaphidospora cavernarum,shrub,1,0,simple,no,evergreen,,,,1,60,240,25,100,2,3,1,2,
Rostellularia adscendens,shrub,1,0,simple,no,evergreen,,,,0.5,5,30,2,15,1,1,1,1,
Saurauia andreana,tree,1,0,simple,no,evergreen,,,,6,100,260,40,85,0.5,0.5,0.5,0.5,
Crispiloba disperma,shrub,0,1,simple,no,evergreen,,,,4,50,250,20,50,8,11,3,5,
Wittsteinia vacciniacea,shrub,1,0,simple,no,evergreen,,,,0.5,10,50,7,24,1,1,1,1,
Achyranthes aspera,shrub,1,0,simple,no,evergreen,,,,1.5,15,170,7,90,1,2,1,2,
Buchanania arborescens,tree,1,0,simple,no,evergreen,390,390,508,25,50,260,20,70,6,9,4,5,
Buchanania mangoides,tree,1,0,simple,no,evergreen,,390,508,13,120,400,30,70,4,5,3,4,
Buchanania obovata,tree,1,1,simple,no,evergreen,,390,508,13,55,250,20,80,6,9,4,5,
Semecarpus australiensis,tree,0,1,simple,no,evergreen,,,508,40,100,350,40,120,15,17,12,15,
Cananga odorata,tree,1,0,simple,no,evergreen,390,390,435,30,80,220,50,90,7,10,6,7,2.0
Fitzalania Gregory_River,tree,0,1,simple,no,evergreen,,,,10,40,130,22,60,7,8,5,6,2
Fitzalania heteropetala,tree,0,1,simple,no,evergreen,,,435,5,45,120,20,57,10,11,7,8,2
Haplostichanthus ramiflorus,shrub,1,0,simple,no,evergreen,,,435,3,80,240,50,60,9,10,9,10,6
