genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,joined
Abrotanella,Abrotanella,perennial herbs.,perennial,perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Abrotanella,Abrotanella scapigera,tufted scapiform herb to 10 cm high.,perennial,inferred_from_genus,NA,NA,herb,herb,NA,NA,NA,NA,NA,NA,herbaceous,NA,Author: I.R. Thompson; Contributor: John R. Busby (ed. June 2020); P.G. Kodela (June 2020)
Abrotanella,Abrotanella nivigena,"cushion-plants to 3 (-5) cm high, largely glabrous;",perennial,inferred_from_genus,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,cushion-forming,cushion,herbaceous,NA,Author: I.R. Thompson; Contributor: John R. Busby (ed. June 2020); P.G. Kodela (June 2020)
Abrotanella,Abrotanella forsteroides,"cushion-plants to 7 cm high, ±glabrous;",perennial,inferred_from_genus,NA,NA,herb,inferred_from_genus,NA,NA,NA,NA,cushion-forming,cushion,herbaceous,NA,Author: I.R. Thompson; Contributor: John R. Busby (ed. June 2020); P.G. Kodela (ed. June 2020)
Abutilon,Abutilon,"annual or perennial herbs, shrubs or rarely small trees,",annual perennial,annual perennial,NA,NA,herb shrub tree,herbs shrubs trees,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,NA
Abutilon,Abutilon auritum,shrub 1-3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: D.J. Du Puy, P.G. Kodela; Editor: P.G. Kodela; Contributor: John R. Busby (editorial assistance, January 2021)"
Abutilon,Abutilon listeri,"elegant shrub, 1-3 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: D.J. Du Puy; Editor: P.G. Kodela; Contributor: John R. Busby (editorial assistance, January 2021)"
Acacia,Acacia abbatiana,shrub to circa 4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: P.G. Kodela (ed. January 2018, October 2018, January 2020)"
Acacia,Acacia abbreviata,"shrub 0.3-0.6 m high, 1-3.6 m diam., spreading, ±glabrous, resinous.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Author: M.D. Tindale & P.G. Kodela; Editor: P.G. Kodela; Contributor: Jemima Rogers (minor edits, June 2012); A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, January 2020)"
Acacia,Acacia abrupta,"glabrous, resinous, viscid shrub to 2 m high (sometimes up to 4 m high reported in florabase).",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Author: B.R. Maslin; Editor: P.G. Kodela; Contributor: A.E. Orchard (editorial assistance, December 2017); P.G. Kodela (ed. December 2017, January 2020)"
