data_to_use,taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
,,population,,Kunoth Paddock,soil_N_per_dry_mass,0.044,,mean,%,,,,soil type: sandy clay loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",significance group: a (letters denote p<0.01 groups within [N] column)
,,population,,Kunoth Paddock,soil_delta15N,14.3,,mean,permil,,,,soil type: sandy clay loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",soil delta15N showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_C_per_dry_mass,0.51,,mean,%,,,,soil type: sandy clay loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",significance group: a (letters denote p<0.01 groups within [C] column)
,,population,,Kunoth Paddock,soil_delta13C,-21.2,,mean,permil,,,,soil type: sandy clay loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",soil delta13C showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_N_per_dry_mass,0.073,,mean,%,,,,soil type: sandy clay loam; landscape element: grove; depth: 0-1 cm,"Table 1, p.653",significance group: b (letters denote p<0.01 groups within [N] column)
,,population,,Kunoth Paddock,soil_delta15N,13.8,,mean,permil,,,,soil type: sandy clay loam; landscape element: grove; depth: 0-1 cm,"Table 1, p.653",soil delta15N showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_C_per_dry_mass,0.89,,mean,%,,,,soil type: sandy clay loam; landscape element: grove; depth: 0-1 cm,"Table 1, p.653",significance group: b (letters denote p<0.01 groups within [C] column)
,,population,,Kunoth Paddock,soil_delta13C,-22.4,,mean,permil,,,,soil type: sandy clay loam; landscape element: grove; depth: 0-1 cm,"Table 1, p.653",soil delta13C showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_N_per_dry_mass,0.039,,mean,%,,,,soil type: sandy loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",significance group: a (letters denote p<0.01 groups within [N] column)
,,population,,Kunoth Paddock,soil_delta15N,14.6,,mean,permil,,,,soil type: sandy loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",soil delta15N showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_C_per_dry_mass,0.53,,mean,%,,,,soil type: sandy loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",significance group: a (letters denote p<0.01 groups within [C] column)
,,population,,Kunoth Paddock,soil_delta13C,-21.3,,mean,permil,,,,soil type: sandy loam; landscape element: intergrove; depth: 0-1 cm,"Table 1, p.653",soil delta13C showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_N_per_dry_mass,0.102,,mean,%,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: mulga (Acacia aneura),"Table 1, p.653",significance group: b (letters denote p<0.01 groups within [N] column)
,,population,,Kunoth Paddock,soil_delta15N,8.5,,mean,permil,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: mulga (Acacia aneura),"Table 1, p.653",soil delta15N showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_C_per_dry_mass,1.25,,mean,%,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: mulga (Acacia aneura),"Table 1, p.653",significance group: b (letters denote p<0.01 groups within [C] column)
,,population,,Kunoth Paddock,soil_delta13C,-23.2,,mean,permil,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: mulga (Acacia aneura),"Table 1, p.653",soil delta13C showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_N_per_dry_mass,0.23,,mean,%,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: desert bloodwood (Corymbia opaca),"Table 1, p.653",significance group: c (letters denote p<0.01 groups within [N] column)
,,population,,Kunoth Paddock,soil_delta15N,11.1,,mean,permil,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: desert bloodwood (Corymbia opaca),"Table 1, p.653",soil delta15N showed no significant variation among elements/soil types per text p.653
,,population,,Kunoth Paddock,soil_C_per_dry_mass,3.34,,mean,%,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: desert bloodwood (Corymbia opaca),"Table 1, p.653",significance group: c (letters denote p<0.01 groups within [C] column)
,,population,,Kunoth Paddock,soil_delta13C,-23.6,,mean,permil,,,,soil type: sandy loam; landscape element: grove; depth: 0-1 cm; under: desert bloodwood (Corymbia opaca),"Table 1, p.653",soil delta13C showed no significant variation among elements/soil types per text p.653
x,Corymbia opaca,population,,Kunoth Paddock,leaf_delta13C,-25.9,,mean,permil,SD,1.14,3,"tissue: fresh leaf; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",
x,Corymbia opaca,population,,Kunoth Paddock,leaf_N_per_dry_mass,1.03,,mean,%,SD,0.12,3,"tissue: fresh leaf; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",
x,Corymbia opaca,population,,Kunoth Paddock,leaf_delta15N,0.4,,mean,permil,SD,1.66,3,"tissue: fresh leaf; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653","foliar d15N showed no significant landscape-position x soil-type interaction, no species differences (text p.653)"
x,Acacia aneura,population,,Kunoth Paddock,leaf_delta13C,-27.2,,mean,permil,SD,0.37,6,"tissue: fresh phyllode; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: a (d13C); a ([N])
x,Acacia aneura,population,,Kunoth Paddock,leaf_N_per_dry_mass,1.61,,mean,%,SD,0.09,6,"tissue: fresh phyllode; landscape element: grove; soil type: pooled (no significant soil-type effect found for foliar d13C/N, p.653)","Table 2, p.653",significance groups: a (d13C); a ([N])
