PlantID,Order - APG,Family - APG,Family - BRI old,Family - BRI current,Genus - current,Genus - synonyms,Genus - synonyms,Genus - synonyms,Genus - synonyms,Species - current,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,current full name with authority,current full name without authority,Altitudinal_range_in_Aus_MIN(m),Altitudinal_range_in_Aus_Max(m),Latitudinal_limits_in_Aus_MIN,Latitudinal_limits_in_Aus_MAX,Longitudinal_limits_in_Aus_MIN,Longitudinal_limits_in_Aus_MAX,Endemicity_level,IUCN Conservation_status,EPBC Conservation_status,NCA Conservation_status,Growth Form,Growth Form,Growth Form,Raunkier_life_form,Raunkier_life_form,Raunkier_life_form,Height_max (m),Clonality,Clonality,Physical_defence,Photosynthetic pathway,Photosynthetic pathway,Photosynthetic pathway,Specific_leaf_area,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Leaf_type,MIN _#_of_leaflets_in_array,MAX_#_of_leaflets_in_array,MIN length Leaflet (mm),MAX length Leaflet (mm),MIN width Leaflet (mm),MAX width Leaflet (mm),Laminar Unit Area (mm2),Leaf_phenology,Leaf_longevity,Leaf_fracture_toughness,Wood_density,1_Nutrient_uptake_strategy,1_Dispersal_mode,2_Dispersal_mode,Fruit_type,Fruit_functional_type ,Fruit_accessories,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Max_length_seed (mm),Min_breadth_seed (mm),Max_breadth_seed(mm),Min_width_seed (mm),Max_width_seed(mm),Seed_mass (g),Resprouting_capacity,Suckering_capacity,1_Pollination_syndrome,Nectar_volume,Nectar_concentration,Sex habit,Sex habit,Sex habit,Sex habit,Shade tolerance,References
1608,Poales,Cyperaceae,Cyperaceae,,Abildgaardia,Cyperus,Fimbristylis,Iria,Carex,ovata     ,monostachya,monostachyos,,,,Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,0.6,Clonal below ground,,,,,,,60,400,1,1,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2,3,1.2,2,1.2,2,,,,,,,,,Wind,,,,,,,,APNI/NSW Flora Online
1609,Poales,Cyperaceae,Cyperaceae,,Abildgaardia,,,,,vaginata     ,,,,,,Abildgaardia vaginata R.Br.,Abildgaardia vaginata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,0.4,,,,,,,,,,,,no leaves,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.5,1.5,1,1,1,1,,,,,,,,,Wind,,,,,,,,NSW Flora Online
1610,Poales,Cyperaceae,Cyperaceae,,Actinoscirpus,Schoenoplectus,Scirpus,,,grossus     ,,,,,,Actinoscirpus grossus (L.f.) Goetgh. & D.A.Simpson,Actinoscirpus grossus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Poales,Cyperaceae,Cyperaceae,,Arthrostylis,Fimbristylis,,,,aphylla     ,,,,,,Arthrostylis aphylla R.Br.,Arthrostylis aphylla,,,,,,,,,,,Tussock,,,Hemicryophyte,,,0.5,,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite,,,,,FloraBase/Bruhl 1995
1612,Poales,Cyperaceae,Cyperaceae,,Baumea,,,,,     ,,,,,,Baumea,Baumea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Poales,Cyperaceae,Cyperaceae,,Baumea,Cladium,,,,articulata     ,articulatum,,,,,Baumea articulata (R.Br.) S.T.Blake,Baumea articulata,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,2,Clonal below ground,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.8,2.3,1.2,1.4,1.2,1.4,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
1614,Poales,Cyperaceae,Cyperaceae,,Baumea,Cladium,,,,juncea     ,junceum,,,,,Baumea juncea (R.Br.) Palla,Baumea juncea,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,1.2,Clonal below ground,,,C3,,,,,,,,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2.3,3,1.5,2,1.5,2,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online/FloraBase
1615,Poales,Cyperaceae,Cyperaceae,,Baumea,Schoenus,,,,nuda     ,nudus,,,,,Baumea nuda (Steud.) S.T.Blake,Baumea nuda,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,0.4,Clonal below ground,,,C3,,,,,800,,0.5,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2,2.3,1,1.3,1,1.3,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
1616,Poales,Cyperaceae,Cyperaceae,,Baumea,Machaerina,,,,rubiginosa     ,,,,,,Baumea rubiginosa (Spreng.) Boeck.,Baumea rubiginosa,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,4,Clonal below ground,,,C3,,,,,,1.5,7,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,2.2,4,1.2,2,1.2,2,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
1617,Poales,Cyperaceae,Cyperaceae,,Baumea,Machaerina,Cladium,,,teretifolia     ,teretifolium,,,,,Baumea teretifolia (R.Br.) Palla,Baumea teretifolia,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,1,Clonal below ground,,,C3,,,,,,1.8,1.8,simple,,,,,,,,,,,,,,,,nut,Dry dehiscent or indehsicent without attractant or wing,,1.3,2.2,0.9,1.5,0.9,1.5,,,,,,,,,Wind,,,hermaphrodite,,,,,Bruhl 1995/APNI/NSW Flora Online
