leaf ID,site number,Site,Species,Date,leaf no,mean annual precipitation (mm),Canopy position,curve type,context,eucalypt?,Leaf area (mm2),leaf mass (g),Specific leaf area (m2 kg-1),leaf mass per area (g m-2),d13C (per mille),D13C (per mille),%C,%N,leaf P (mg g-1),leaf N area (mmol m-2),leaf P area (mmol m-2),N:P ratio (g g-1),Tleaf (deg C),Vcmax atTleaf (umol m-2 s-1),Vcmax at 25 deg C (umol m-2 s-1),J at Tleaf (umol e- m-2 s-1),J at 25 deg C (umol e- m-2 s-1),initial time (hrs),initial photosynthesis (umol m-2 s-1),initial conductance (mol m-2 s-1),initial ci/ca,phi- light curve (umol CO2 umol-1 PAR),Rd- light curve (umol m-2 s-1),Amax- light curve (umol m-2 s-1),theta- light curve,Canopy or understory.x,Asat_umol_m-2_s-1,g_at_Asat_mol_m-2_s-1,ci_at_Asat_umol_mol-1,trans_at_Asat_mmol_m-2_s-1,CO2_sample,ci_over_ca_at_Asat,Canopy or understory.y,Amax_umol_m-2_s-1,g_at_Amax_mol_m-2_s-1,ci_at_Amax_umol_mol-1,trans_at_Amax_mmol_m-2_s-1
1,1,Howard Springs,Eucalyptus miniata,2-Sep-08,0,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3873,0.584,6.63,150.8,-29.38,22.03,55.26,0.99,0.628,107.1,3.05,15.83,32.1,127.6,69.1,101.2,67,12.6,18.1,0.184,0.523,0.0447,-1.8096,31.402,-1.107,Canopy,18.1,0.184,193,3.89,369.1,0.52289352479003,Canopy,14.1,0.274,1040,5.17
2,1,Howard Springs,Eucalyptus miniata,2-Sep-08,1,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5607,0.953,5.88,170,-29.48,22.13,51.82,1.04,0.568,126.3,3.12,18.29,32.4,145.2,76.7,113,73.6,13.8,23.4,0.212,0.465,.,.,.,.,Canopy,23.4,0.212,173,4.79,371.92,0.46515379651538,Canopy,14.6,0.283,1050,5.36
3,1,Howard Springs,Eucalyptus miniata,2-Sep-08,2,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3382,0.469,7.21,138.7,-29.06,21.69,52.39,0.96,0.639,95.2,2.86,15.04,31.9,148.5,87.6,153.6,107.8,13.3,15.7,0.211,0.632,0.0807,-2.3042,43.901,-0.197,Canopy,15.7,0.211,234,3.94,370.21,0.632073687906864,Canopy,26.1,0.305,973,5.48
4,1,Howard Springs,Eucalyptus miniata,2-Sep-08,3,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5961,0.852,7,142.9,-29.14,21.77,51.43,1,0.734,102.3,3.38,13.65,32.4,150.9,79.7,149,97,15.7,9.9,0.089,0.496,0.0725,-1.2637,38.673,-0.074,Canopy,9.91,0.0894,190,2.14,383.43,0.495527214876249,Canopy,27.8,0.145,793,2.84
5,1,Howard Springs,Eucalyptus miniata,2-Sep-08,4,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3799,0.572,6.64,150.6,-28.28,20.86,51.25,0.85,0.597,90.9,2.9,14.15,32.2,155.3,83.5,137.5,90.5,15.6,9.9,0.097,0.527,0.087,-2.395,30.198,-0.343,Canopy,9.91,0.097,200,2.32,379.46,0.527064776261002,Canopy,18.4,0.261,1010,4.82
6,1,Howard Springs,Eucalyptus miniata,2-Sep-08,5,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4681,0.68,6.88,145.3,-29.16,21.79,51.11,0.94,0.646,97.6,3.03,14.58,32,134.3,73.4,130.6,87,16.7,20.2,0.229,0.57,0.0695,-1.32,36.642,-0.048,Canopy,20.2,0.229,214,4.63,375.53,0.569861262748649,Canopy,23.8,0.26,975,4.83
7,1,Howard Springs,Eucalyptus miniata,2-Sep-08,6,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,5446,0.836,6.51,153.5,-28.2,20.78,52.22,0.85,0.591,92.7,2.93,14.3,32.3,137.5,73.3,110.4,72.3,16.7,.,.,.,0.0504,-1.0921,23.461,0.372,Canopy,20.7,0.145,127,3.38,376.25,0.337541528239203,Canopy,15.6,0.28,1040,5.14
8,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,1,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,3114,0.513,6.07,164.7,-27.25,19.79,49.31,0.87,0.433,102.3,2.3,20.07,33.9,131.8,61.4,101,60.5,14.9,8,0.084,0.529,.,.,.,.,Canopy,8.01,0.0839,191,2.37,360.83,0.529335143973616,Canopy,15.2,0.17,953,4
9,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,2,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4824,0.827,5.83,171.4,-28.38,20.97,50.14,0.62,0.409,75.9,2.26,15.15,32.9,103.5,52.4,113.5,71.9,15,9.9,0.107,0.552,.,.,.,.,Canopy,9.93,0.107,204,2.67,369.39,0.552261837082758,Canopy,20.2,0.189,936,3.87
10,1,Howard Springs,Eucalyptus tetrodonta,3-Sep-08,3,1714,Canopy,A-Ci,Canopy leaves sampled for A-Ci curve,yes,4479,0.749,5.98,167.2,-26.34,18.83,48.28,0.71,0.466,84.6,2.52,15.19,32.5,104.8,54.9,107.9,69.9,16.3,10.7,0.123,0.571,0.0701,-1.5587,25.821,0.325,Canopy,10.7,0.123,209,3.23,365.8,0.571350464734828,Canopy,19.4,0.202,942,3.86
