taxon rank,taxon_name,rain,flora,sporadic,flowering_cues_environmental,flooding,location context
Species,Acacia beckleri subsp. megaspherica,"flowers recorded may-september, and likely to respond to rainfall events.",ABRS_2022,,rain,,
Species,Acacia carneorum,flowering is sporadic and probably related to rainfall;,ABRS_2022,sporadic,rain,,
Species,Acacia catenulata subsp. occidentalis,"grows on hardpan flats or gently undulating terrain along diffuse watercourses or colluvial fans, sometimes extending to dry low rocky hills or ridges. it appears to flower in response to rainfall between december and june, but not all plants in given populations produce flowers during this period.",ABRS_2022,,rain_autumn rain_summer,,
Species,Acacia cyperophylla var. cyperophylla,"flowers may-december, sporadic probably after good rains.",ABRS_2022,sporadic,rain,,
Species,Acacia cyperophylla var. omearana," grows along drainage lines in stony, skeletal sandy alluvium, in open low woodland of eucalyptus camaldulensis. it is likely this variety flowers and fruits in response to timing and intensity of rainfall; flowers have been recorded in march and october, following summer and winter rainfall respectively.",ABRS_2022,sporadic,rain_summer rain_winter,,
Species,Acacia doreta,as with many plurinerved acacias from the arid zone the flowering and fruiting in this species is probably influenced by the timing and intensity of rainfall events.,ABRS_2022,,rain,,
Species,Acacia leeuweniana,possibly in response to timing and intensity of rainfall.,ABRS_2022,,rain,,
Species,Acacia loroloba,"flowers december-march, and sometimes july-august, after rains;",ABRS_2022,sporadic,rain_winter,,
Species,Acacia rhodophloia,"flowers sporadically (probably dependent upon incidence and intensity of rainfall events), especially march-october.",ABRS_2022,sporadic,rain_autumn rain_winter rain_spring,,
Species,Acacia robeorum,"grows in sand or loam over granite, laterite or quartz, in spinifex grassland, sometimes along drainage lines. initiation possibly dependent upon the timing and/or intensity of rainfall.",ABRS_2022,,rain,,
Species,Acacia sibirica,seemingly flowers and fruits in response to the timing and intensity of rainfall.,ABRS_2022,,rain,,
Species,Acacia sphaerostachya,probably related to rainfall events.,ABRS_2022,,rain,,
Species,Acacia stellaticeps,"flowering probably dependent upon the timing and intensity of rainfall events, fide b.maslin et al., wattles of the pilbara (2010).",ABRS_2022,,rain,,
Species,Acacia thoma,appears to flower in response to summer rainfall events;,ABRS_2022,,rain_summer,,
