scientificName,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,...9,partially_woody
Abrodictyum,fern epiphyte,NA,NA,NA,NA,terrestrial epiphyte,NA,NA,NA
Abrodictyum caudatum,NA,NA,NA,NA,rhizome,NA,NA,NA,NA
Abrotanella,herb,tufted mat_forming,NA,perennial,NA,NA,NA,NA,NA
Abrotanella nivigena,herb,prostrate,NA,NA,rhizome,NA,NA,NA,NA
Abutilon,shrub,NA,NA,annual perennial,NA,NA,NA,NA,NA
Abutilon fraseri,NA,NA,NA,perennial,NA,NA,NA,NA,NA
Abutilon fraseri subsp. diplotrichum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon fraseri subsp. fraseri,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon grandifolium,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon indicum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon malvifolium,NA,prostrate,NA,annual,NA,NA,NA,NA,NA
Abutilon otocarpum,shrub,sprawling,NA,perennial,NA,NA,NA,NA,NA
Abutilon oxycarpum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon oxycarpum var. subsagittatum,shrub,spindly,NA,perennial,NA,NA,NA,NA,NA
Abutilon pictum,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon theophrasti,NA,NA,NA,annual,NA,NA,NA,NA,NA
Acacia,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia acinacea,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia aculeatissima,shrub,prostrate,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata,tree shrub,erect,NA,NA,NA,NA,NA,NA,NA
Acacia alpina,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia amoena,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia argyrophylla,shrub,dense,NA,NA,NA,NA,NA,NA,NA
Acacia aspera,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aspera subsp. aspera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aspera subsp. parviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ausfeldii,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia baileyana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia binervia,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii,shrub,bushy,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. boormanii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. gibba,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia brachybotrya,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia brownii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia subsp. buxifolia,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia caerulescens,tree,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cardiophylla,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cineramis,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cognata,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia colletioides,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cultriformis,shrub,erect spreading,NA,NA,NA,NA,NA,NA,NA
Acacia cupularis,shrub,dense open,NA,NA,NA,NA,NA,NA,NA
Acacia cyclops,tree shrub,spreading bushy dense,NA,NA,NA,NA,NA,NA,NA
Acacia dallachiana,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia daviesii,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dawsonii,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata,tree shrub,spindly,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. dealbata,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. subalpina,shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei,tree shrub,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. deanei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. paucijuga,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia decora,shrub,NA,NA,NA,NA,NA,NA,NA,NA
