Group,Species,WP_50_loss_Mpa,WP_88_loss_Mpa,midday_WP_min,midday_WP_min_notes,water potential 50 safety margin,water potential 88 safety margin,MAT (mean annual temperature) C,MAP (mean annual precipitation) mm,MPDQ (mean precipitation of the driest quarter) mm,PET (potential evapotranspiration) mm,AI (aridity index),Growth form,Developmental stage,Biome,Latitude,Longitude,Elevation_m,Location,Country,Notes,Reference,source_id
Angiosperm,Acacia cyclops,-0.91,,,,,,15.2,875,38,1333,0.6564,Tree,Adult,woodland/shruland,-32.9,115.69,20,"Swan Coastal Plain(Yalgorup N.P.), Western Australia",Australia,,"Drake PL. 2007. Drought traits of Eucalyptus gomphocephala in Yalgorup National Park.  PhD Thesis, Edith Cowan University, Perth.",Drake_2007
Angiosperm,Agonis flexuosa,-2.36,,,,,,15.2,875,38,1333,0.6564,Tree,Adult,woodland/shruland,-32.9,115.69,20,"Swan Coastal Plain(Yalgorup N.P.), Western Australia",Australia,,"Drake PL. 2007. Drought traits of Eucalyptus gomphocephala in Yalgorup National Park.  PhD Thesis, Edith Cowan University, Perth.",Drake_2007
Angiosperm,Allocasuarina campestris,-2.96,-8.5,-7,Leaf water potential,-4.04,1.5,17.15,375,41,1434,0.2615,Shrub,Adult,woodland/shruland,-32.3167,117.8667,300,"Corrigin Water Reserve, Western Australia",Australia,,Mitchell et al. unpublished,Mitchell_unpub
Angiosperm,Alphitonia excelsa,-5.56,-9.05,-4.47,Xylem water potential,1.09,4.58,18.5,1132,26,1646,0.6877,Tree,Adult,tropical seasonal forest,-19.19422,146.764445,60,"Many Peaks Range, Queensland",Australia,,"Choat B, Ball MC,  Luly JG, Holtum JAM. 2005. Hydraulic architecture of deciduous and evergreen dry rainforest tree species from north-eastern Australia. Trees - Structure and Function 19: 305-311.",Choat_2005
Angiosperm,Austromyrtus bidwillii,-5.12,-12,-6.07,Xylem water potential,-0.95,5.93,18.5,1132,26,1646,0.6877,Tree,Adult,tropical seasonal forest,-19.19422,146.764445,60,"Many Peaks Range, Queensland",Australia,,"Choat B, Ball MC,  Luly JG, Holtum JAM. 2005. Hydraulic architecture of deciduous and evergreen dry rainforest tree species from north-eastern Australia. Trees - Structure and Function 19: 305-311.",Choat_2005
Angiosperm,Banksia attenuata,-2.69,-6,-1,Leaf water potential,1.69,5,16.1,868,34,1398,0.6209,Shrub,Adult,woodland/shruland,-31.75,115.95,20,"Swan Coastal Plain, Western Australia",Australia,,"Froend RH, Drake PL. 2006.  Defining phreatophyte responses to reduced water availability: preliminary investigations on the use of xylem vulnerability in Banksia woodland species. Australian Journal of Botany 54: 173-179.  ",Froend_2006
Angiosperm,Banksia ilicifolia,-2.84,-6.5,-1.23,Leaf water potential,1.61,5.27,16.1,868,34,1398,0.6209,Shrub,Adult,woodland/shruland,-31.75,115.95,20,"Swan Coastal Plain, Western Australia",Australia,,"Froend RH, Drake PL. 2006.  Defining phreatophyte responses to reduced water availability: preliminary investigations on the use of xylem vulnerability in Banksia woodland species. Australian Journal of Botany 54: 173-179.  ",Froend_2006
Angiosperm,Banksia littoralis,-1.78,,,,,,16.1,868,34,1398,0.6209,Shrub,Adult,woodland/shruland,-31.75,115.95,20,"Swan Coastal Plain, Western Australia",Australia,,"Canham CA, Froend RH, Stock WD. 2009. Water stress vulnerability of four Banksia species in constrasting ecohydrological habitats on the Gnangara Mound, Western Australia. Plant, Cell and Environment 32: 64-72.",Canham_2009
Angiosperm,Banksia menziesii,-3.24,-5.5,-1.7,Leaf water potential,1.54,3.8,16.1,868,34,1398,0.6209,Shrub,Adult,woodland/shruland,-31.75,115.95,20,"Swan Coastal Plain, Western Australia",Australia,,"Froend RH, Drake PL. 2006.  Defining phreatophyte responses to reduced water availability: preliminary investigations on the use of xylem vulnerability in Banksia woodland species. Australian Journal of Botany 54: 173-179.  ",Froend_2006
Angiosperm,Banksia sphaerocarpa,-3.7,-5.3,-2,Leaf water potential,1.7,3.3,17.15,375,41,1434,0.2615,Shrub,Adult,woodland/shruland,-32.3167,117.8667,300,"Corrigin Water Reserve, Western Australia",Australia,,Mitchell et al. unpublished,Mitchell_unpub
