canonicalName,scientificNameAuthorship
Cycas angulata,R.Br.
Cycas arenicola,K.D.Hill
Cycas armstrongii,Miq.
Cycas arnhemica,K.D.Hill
Cycas badensis,K.D.Hill
Cycas basaltica,C.A.Gardner
Cycas brunnea,K.D.Hill
Cycas cairnsiana,F.Muell.
Cycas calcicola,Maconochie
Cycas canalis,K.D.Hill
Cycas candida,K.D.Hill
Cycas conferta,Chirgwin
Cycas couttsiana,K.D.Hill
Cycas cupida,P.I.Forst.
Cycas desolata,P.I.Forst.
Cycas furfuracea,W.Fitzg.
Cycas lane-poolei,C.A.Gardner
Cycas maconochiei,Chirgwin & K.D.Hill
Cycas media,R.Br.
Cycas megacarpa,K.D.Hill
Cycas ophiolitica,K.D.Hill
Cycas orientis,K.D.Hill
Cycas platyphylla,K.D.Hill
Cycas pruinosa,Maconochie
Cycas rumphii,Miq.
Cycas scratchleyana,F.Muell.
Cycas semota,K.D.Hill
Cycas silvestris,K.D.Hill
Cycas terryana,P.I.Forst.
Cycas tuckeri,K.D.Hill
Cycas xipholepis,K.D.Hill
Cycas yorkiana,K.D.Hill
Bowenia serrulata,(W.Bull) Chamb.
Bowenia spectabilis,Hook. ex Hook.f.
Lepidozamia hopei,(W.Hill) Regel
Lepidozamia peroffskyana,Regel
Macrozamia cardiacensis,P.I.Forst. & D.L.Jones
Macrozamia communis,L.A.S.Johnson
Macrozamia concinna,D.L.Jones
Macrozamia conferta,D.L.Jones & P.I.Forst.
Macrozamia cranei,D.L.Jones & P.I.Forst.
Macrozamia crassifolia,P.I.Forst. & D.L.Jones
Macrozamia diplomera,(F.Muell.) L.A.S.Johnson
Macrozamia douglasii,W.Hill ex F.M.Bailey
Macrozamia dyeri,(F.Muell.) C.A.Gardner
Macrozamia elegans,K.D.Hill & D.L.Jones
Macrozamia fawcettii,C.Moore
Macrozamia fearnsidei,D.L.Jones
Macrozamia flexuosa,C.Moore
Macrozamia fraseri,Miq.
Macrozamia glaucophylla,D.L.Jones
Macrozamia heteromera,C.Moore
Macrozamia humilis,D.L.Jones
Macrozamia johnsonii,D.L.Jones & K.D.Hill
Macrozamia lomandroides,D.L.Jones
Macrozamia longispina,P.I.Forst. & D.L.Jones
Macrozamia lucida,L.A.S.Johnson
Macrozamia macdonnellii,(F.Muell. ex Miq.) F.Muell. ex A.DC.
Macrozamia machinii,P.I.Forst. & D.L.Jones
Macrozamia macleayi,Miq.
Macrozamia miquelii,(F.Muell.) A.DC.
Macrozamia montana,K.D.Hill
Macrozamia moorei,F.Muell.
Macrozamia mountperriensis,F.M.Bailey
Macrozamia occidua,D.L.Jones & P.I.Forst.
Macrozamia parcifolia,P.I.Forst. & D.L.Jones
Macrozamia pauli-guilielmi,W.Hill & F.Muell.
Macrozamia platyrhachis,F.M.Bailey
Macrozamia plurinervia,(L.A.S.Johnson) D.L.Jones
Macrozamia polymorpha,D.L.Jones
Macrozamia reducta,K.D.Hill & D.L.Jones
Macrozamia riedlei,(Fisch. ex Gaudich.) C.A.Gardner
Macrozamia secunda,(Benth.) C.Moore
Macrozamia serpentina,D.L.Jones & P.I.Forst.
Macrozamia spiralis,(Salisb.) Miq.
Macrozamia stenomera,L.A.S.Johnson
Macrozamia viridis,D.L.Jones & P.I.Forst.
Equisetum arvense,L.
Equisetum hyemale,L.
Isoetes attenuata,C.R.Marsden & Chinnock
Isoetes australis,S.Williams
Isoetes brevicula,E.R.L.Johnson
Isoetes caroli,E.R.L.Johnson
Isoetes coromandelina,L.f.
Isoetes cristata,C.R.Marsden & Chinnock
Isoetes drummondii,A.Braun
Isoetes elatior,F.Muell. ex A.Braun
Isoetes gunnii,A.Braun
Isoetes humilior,F.Muell. ex A.Braun
Isoetes inflata,E.R.L.Johnson
Isoetes mongerensis,E.R.L.Johnson
Isoetes muelleri,A.Braun
Isoetes pusilla,C.R.Marsden & Chinnock
Isoetes sp. Maxwell River (S.J.Jarman HO314082),Tas. Herbarium
Isoetes tripus,A.Braun
Huperzia australiana,(Herter) Holub
Huperzia phlegmarioides,(Gaudich.) Rothm.
Huperzia serrata,(Thunb.) Trevis.
Lycopodiella cernua,(L.) Pic.Serm.
Lycopodiella diffusa,(R.Br.) B.Øllg.
Lycopodiella lateralis,(R.Br.) B.Øllg.
Lycopodiella limosa,Chinnock
Lycopodiella serpentina,(Kunze) B.Øllg.
Lycopodium deuterodensum,Herter
Lycopodium fastigiatum,R.Br.
Lycopodium scariosum,G.Forst.
Lycopodium volubile,G.Forst.
Phlegmariurus carinatus,(Desv.) Ching
Phlegmariurus dalhousieanus,(Spring) A.R.Field & Bostock
Phlegmariurus filiformis,(Sw.) W.H.Wagner
Phlegmariurus lockyeri,(D.L.Jones & B.Gray) A.R.Field & Bostock
Phlegmariurus marsupiiformis,(D.L.Jones & B.Gray) A.R.Field & Bostock
Phlegmariurus phlegmaria,(L.) T.Sen & U.Sen
Phlegmariurus squarrosus,(G.Forst.) Á.Löve & D.Löve
Phlegmariurus tetrastichoides,(A.R.Field & Bostock) A.R.Field & Bostock
Phlegmariurus varius,(R.Br.) A.R.Field & Bostock
Phylloglossum drummondii,Kunze
Selaginella alutacia,Spring
Selaginella andrewsii,Jermy & J.S.Holmes
Selaginella australiensis,Baker
Selaginella biformis,A.Braun ex Kuhn
Selaginella brisbanensis,F.M.Bailey
Selaginella ciliaris,(Retz.) Spring
Selaginella gracillima,(Kunze) Spring ex Salomon
