name_original,metadata_id,primary_source,seed mass (mg),reserve seed mass (mg)
Acacia linifolia,23,21,23.9,
Acacia myrtifolia,23,21,9.8,
Acacia suaveolens ,23,21,26.9,
Banksia ericifolia,23,21,20.9,
Banksia marginata,23,21,7.5,
Banksia oblongifolia,23,21,20.9,
Banksia spinulosa,23,21,17.4,
Boronia ledifolia,23,21,9.5,
Boronia pinnata,23,21,1.5,
Bossiaea heterophylla,23,21,14.1,
Bossiaea scolopendria,23,21,15.7,
Comesperma ericinum,23,21,1.037,
Conospermum ericifolium,23,21,2.6,
Conospermum longifolium,23,21,6.955,
Crowea saligna,23,21,12.005,
Dillwynia retorta,23,21,4.8,
Dodonaea triquetra,23,21,3.6505,
Eriostemon australasius,23,21,19.3,
Gompholobium grandiflorum,23,21,3.7,
Grevillea buxifolia,23,21,44.113,
Grevillea sericea,23,21,15.9,
Hakea gibbosa,23,21,55.9,
Hakea sericea,23,21,32.3,
Hakea teretifolia,23,21,10.8,
Hibbertia bracteata,23,21,2.8,
Hovea linearifolia,23,21,17.6,
Isopogon anethifolius,23,21,2.8,
Kunzea capitata,23,21,0.058,
Lasiopetalum  ferrugineum,23,21,1.7,
Leptospermum arachnoides,23,21,0.1,
Leptospermum squarrosum,23,21,0.1,
Micrantheum ericoides,23,21,2.7,
Persoonia lanceolata,23,21,87.8,
Persoonia levis,23,21,171.9,
Petrophile pulchella,23,21,5.1,
Pimelea linifolia,23,21,1.9,
Pultenaea eilliptica,23,21,1.9,
Pultenaea linophylla,23,21,6.2,
Pultenaea stipularis,23,21,10.037,
Tetratheca ericifolia,23,21,2.156,
Acacia colletioides,31,29,5.6,3
Acacia doratoxylon,31,29,10.1,7.9
Acacia havilandii,31,29,5,3.3
Acacia wilhelmiana,31,29,6,3.8
Bertya cunninghamii,31,29,13.3,
Beyeria opaca,31,29,8.6,
Brachychiton  populneus,31,29,103.3,54.7
Brachychiton  populneus,31,29,103.3,54.7
Cassinia laevis,31,29,0.1,
Dodonaea viscosa spatulata,31,29,3.6,1.7
Eremophila longifolia,31,29,95,
Eucalyptus dumosa,31,29,0.6,0.2
Eucalyptus intertexta,31,29,0.5,0.2
Eucalyptus socialis,31,29,0.7,0.4
Geijera parviflora,31,29,23.9,4.5
Melaleuca uncinata,31,29,0.1,0
Melaleuca uncinata,31,29,0.1,0
Olearia pimelioides,31,29,0.5,0.5
Olearia pimelioides,31,29,0.5,0.5
Phyllota phyllicoides,31,29,3,
Pimelea microcephela,31,29,7.2,
Santalum acuminatum,31,29,537.3,372.5
Senna artemisioides var. 3lft,31,29,13.9,9.6
Acacia floribunda,32,30,6.9,4.2
Acacia hakeoides,32,30,21.6,11
Acacia suaveolens ,32,30,25.3,15
Allocasuarina sp.,32,30,2.4,1.2
Banksia marginata,32,30,6.4,5.3
Corymbia  gummifera,32,30,11.2,8.4
Dodonaea triquetra,32,30,3.5,
Dodonaea viscosa angustissima,32,30,4.8,2.3
Dodonaea viscosa cuneata,32,30,4.1,1.6
Eremophila deserti,32,30,29.5,4.4
Eremophila glabra,32,30,53.3,6.8
Eremophila glabra,32,30,54.9,7.8
Eriostemon australasius,32,30,21.4,
Eriostemon australasius,32,30,19.3,
Eriostemon difformis,32,30,2,
Eriostemon difformis,32,30,2,
Eucalyptus haemastoma,32,30,1.1,0.8
Eucalyptus haemastoma,32,30,0.6,0.5
Eucalyptus paniculata,32,30,0.3,0.3
Eucalyptus umbra,32,30,0.8,0.4
Eutaxia microphylla,32,30,2.5,1
Gompholobium  latifolium,32,30,5,
Gompholobium glabratum,32,30,3.5,1.3
Grevillea speciosa,32,30,26.1,
Hakea dactyloides,32,30,17.8,15
Hakea tephrosperma,32,30,37.3,27.4
Hakea teretifolia,32,30,7.2,5.9
Lambertia formosa,32,30,21.7,12.4
Lasiopetalum  ferrugineum,32,30,1.5,
Leptospermum polygalifolium,32,30,0.1,0
Olearia sp,32,30,0.3,0.1
Persoonia pinifolia,32,30,190.5,
Phyllota phyllicoides,32,30,6.1,
Pimelea linifolia,32,30,1.3,0.8
Pittosporum phylliraeoides,32,30,27,
Pultenaea daphnoides,32,30,2.8,1.3
Pultenaea flexilis,32,30,4.4,
Pultenaea flexilis,32,30,5.1,2.4
Senna artemisioides var 1lft. pair,32,30,15.8,11
Spartothamnella puberula,32,30,3.8,1.4
Spartothamnella puberula,32,30,2.4,1.1
Spartothamnella puberula,32,30,1.8,
Syncarpia glomulifera,32,30,0.4,0.3
Syncarpia glomulifera,32,30,0.3,
Synoum  glandulosum,32,30,142.8,108.3
