trait_name,lookup,value
leaf_type,B,broadleaf
leaf_type,N,needle
leaf_compoundness,C,compound
leaf_compoundness,S,simple
leaf_compoundness,s,simple
leaf_phenology,d,deciduous
leaf_phenology,D,deciduous
leaf_phenology,E,evergreen
nitrogen_fixing,n,0
nitrogen_fixing,N,0
nitrogen_fixing,y,1
nitrogen_fixing,Y,1
plant_growth_form,Climber,climber
plant_growth_form,vine,climber
plant_growth_form,Fern,fern
plant_growth_form,grass,graminoid
plant_growth_form,Grass,graminoid
plant_growth_form,Shrub,shrub
