IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,replicates_toughness,replicates_CN,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness,date,id,time1,par,PsmassUSE_raw,tleaf,PsAreaUse_raw,GsUSE_raw,gc_raw,ci_raw,CO2a_raw,wue_raw,SLA_raw
143,167,Acacia colletioides,acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,5,5,Acacol,4.33,38.1,-2.5,-4.49,NA,NA,NA,3.13,134,25.6,8.4,5.8,1.79,0.048,50.93,4.12,0.111,2.6,244,134,3.19,0.063,2.65,240.5,-1.8126,-25.9401,2.6,-3.07,-4.19,78.73,79.73,14.48,43.54,0.007462687,46.512,53.832,70.351,0.9775,10,1,1388,0.72,,,,,,,,,,,,,
,,Acacia colletioides,Acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,a,916,1293,30.01071,24.97212,8.314613,236.5688,0.143391,294.8633,364,1.713071,36.09393
,,Acacia colletioides,Acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,b,948,1300,54.57407,23.85294,15.38784,194.9446,0.118984,235.3579,374,4.230175,35.46572
,,Acacia colletioides,Acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,c,1013,1300,22.04809,26.84082,9.993289,87.97708,0.054675,192.5424,388,4.184235,22.06289
,,Acacia colletioides,Acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,d,1058,1700,8.69355,26.37853,3.891749,35.24518,0.022102,188.7966,377,4.109154,22.33841
,,Acacia colletioides,Acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311098,e,1145,1280,12.79921,25.62294,4.574877,113.3636,0.070148,310.3015,389,1.6915,27.97717
113,136,Acacia doratoxylon,acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,5,4-5,Acador,4.57,1035.1,-2.01,-3.11,NA,NA,NA,1.64,140,67,14.6,6.7,2.01,0.083,50.05,4.39,0.182,12,153,181,4.82,0.104,3.02,252.7,-0.4,-26.4971,12,-2.48,-3.25,82.81,73.93,14.72,54.66,0.005524862,48.838,59.854,87.016,1.0175,10,1.14,2161,0.53,,,,,,,,,,,,,
,,Acacia doratoxylon,acador,Round Hill mallee,loRloP,RHM,wnsw_loP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.831,56.412,87.853,1.025,10,,,,,,,,,,,,,,,,
,,Acacia doratoxylon,Acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,b,1025,1590,90.36605,28.08059,15.47241,114.8367,0.071042,100.5924,326,6.100667,58.40463
,,Acacia doratoxylon,Acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11198,c,1021,1580,65.08188,24.81587,13.54427,144.034,0.088665,173.4902,334,4.999654,48.05124
,,Acacia doratoxylon,Acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,a,1034,1500,59.21459,27.38144,16.61038,189.4979,0.115765,180.218,333,3.959889,35.64914
,,Acacia doratoxylon,Acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,b,1045,1780,50.19131,26.11449,13.80272,125.8674,0.07772,146.0881,332,5.103955,36.36336
,,Acacia doratoxylon,Acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271098,c,1106,1570,70.02349,28.09479,13.4229,127.6897,0.078821,163.7282,345,3.946266,52.16719
