Scientific Name,Fire_response,Resprout location,Latitude,Longitude,latitude (deg),longitude (deg),site_name,description
Commersonia bartramia,Resprout,basal,"28°19'49.3""S","153°33'07.0""E",-28.3303611,153.5519444,Bogangar -28.3303611_and_153.5519444,"North-facing slope ~100m south of Clothiers Creek Road, Cudgen Nature Reserve, Bogangar.  Eucalyptus dominated dry sclerophyll forest on metasediments."
Denhamia celastroides,Resprout,basal,"28°19'49.3""S","153°33'07.0""E",-28.3303611,153.5519444,Bogangar -28.3303611_and_153.5519444,"North-facing slope ~100m south of Clothiers Creek Road, Cudgen Nature Reserve, Bogangar.  Eucalyptus dominated dry sclerophyll forest on metasediments."
Doodia aspera,Resprout,rhizome,"28°19'49.3""S","153°33'07.0""E",-28.3303611,153.5519444,Bogangar -28.3303611_and_153.5519444,"North-facing slope ~100m south of Clothiers Creek Road, Cudgen Nature Reserve, Bogangar.  Eucalyptus dominated dry sclerophyll forest on metasediments."
Pittosporum undulatum,Resprout,basal,"28°19'49.3""S","153°33'07.0""E",-28.3303611,153.5519444,Bogangar -28.3303611_and_153.5519444,"North-facing slope ~100m south of Clothiers Creek Road, Cudgen Nature Reserve, Bogangar.  Eucalyptus dominated dry sclerophyll forest on metasediments."
Polyscias sambucifolia,Resprout,basal,"28°29'37.2""S","153°23'32.5""E",-28.4936667,153.3923611,Main Arm -28.4936667_and_153.3923611,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
Elaeocarpus obovatus,Resprout,basal,"28°29'38.299""S","153°23'33.9""E",-28.4939719,153.39275,Main Arm -28.4939719_and_153.39275,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
Ochna serrulata,Resprout,basal,"28°29'38.299""S","153°23'33.9""E",-28.4939719,153.39275,Main Arm -28.4939719_and_153.39275,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
Cryptocarya rigida,Resprout,basal,"28°29'38.3""S","153°23'33.9""E",-28.4939722,153.39275,Main Arm -28.4939722_and_153.39275,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
Endiandra globosa,Resprout,basal,"28°29'38.3""S","153°23'33.9""E",-28.4939722,153.39275,Main Arm -28.4939722_and_153.39275,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
Euroschinus falcatus,Resprout,basal,"28°29'39.0""S","153°23'34.6""E",-28.4941667,153.3929444,Main Arm -28.4941667_and_153.3929444,"South to east facing slopes ~100m west of Main Arm Road, Main Arm. Eucalyptus, Brush Box dominated open-forest on metasediments."
