code,plant_species,flower_colour_blue_purple,flower_colour_red,flower_colour_pink,flower_colour_white,flower_colour_green,flower_colour_yellow,flower_type_brush,flower_type_long_tube,flower_type_medium_tube,flower_type_short_tube,flower_type_bell_cup,corolla_width_constricted,corolla_width_narrow,corolla_width_wide,nectar
Ac,Acrotriche cordata,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
Aci,Astroloma ciliatum,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Aco,Astroloma conostephioides,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Acom,Astroloma compactum,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Adr,Astroloma drummondii,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Ae,Astroloma epacridis,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1
Afo,Astroloma foliosum,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Ag,Andersonia grandiflora,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
Agl,Astroloma glaucescens,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Ah,Andersonia heterophylla,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
Am,Andersonia micrantha,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Ama,Astroloma macrocalyx,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Ami,Astroloma microcalyx,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
Apa,Astroloma pallidum,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
Apr,Astroloma prostratum,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1
Ase,Andersonia setifolia,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
Aser,Astroloma serratifolium,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
Asp,Andersonia sprengeloides,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
Ax,Astroloma xerophyllum,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Bd,Brachyloma daphnoides,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
Be,Brachyloma ericoides,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
Bp,Brachyloma preissii,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Cd,Conostephium drummondii,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1
Cg,Cyathodes glauca,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
Cm,Coleanthera myrtoides,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Cmi,Conostephium minus,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
Cp,Conostephium pendulum,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Cr,Conostephium roei,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
Cru,Cosmelia rubra,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Cs,Cyathodes straminea,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
Da,Dracophyllum acerosum,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
Dac,Dracophyllum acicularifolium,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Dm,Dracophyllum minimum,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Dp,Dracophyllum pronum,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
Dr,Dracophyllum rosmarinifolium,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Dra,Dracophyllum ramosum,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Du,Dracophyllum uniflorum,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Ec,Epacris corymbifolia,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
Ei,Epacris impressa,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
El,Epacris lanuginosa,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Em,Epacris marginata,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Ep,Epacris paludosa,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Epe,Epacris petrophila,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Es,Epacris serpyllifolia,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Est,Epacris stuartii,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
La,Leucopogon australis,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Lc,Leucopogon capitellatus,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
Lci,Lysinema ciliatum,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
Lco,Leucopogon collinus,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Ld,Leptecophylla divaricata,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Le,Leucopogon ericoides,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
Lel,Lysinema elegans,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
Lf,Lysinema fimbriatum,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Ljj,Leptecophylla juniperina subsp. juniperina,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Ljp,Leptecophylla juniperina subsp. parvifolia,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
