family,genus,current_taxon,don_abbrev,abbrev,old_taxon,older_taxon,red_book_hmax_m,height_notes,leaflets,deciduous
Gyrostemonaceae,Codonocarpus,Codonocarpus attenuatus,codoatte,codoatte,NA,NA,13,,1,0
Fabaceae,Acacia,Acacia fasciculifera,NA,acacfasc,NA,NA,20,,1,0
Fabaceae,Acacia,Acacia maidenii,acacmaid,acacmaid,NA,NA,20,,1,0
Fabaceae,Acacia,Acacia melanoxylon,acacmela,acacmela,NA,NA,30,,1,0
Euphorbiaceae,Acalypha,Acalypha capillipes,acalcapi,acalcapi,NA,NA,4,,1,0
Cunoniaceae,Ackama,Ackama paniculosa,NA,ackapani,Caldcluvia paniculosa,,40,,5,0
Myrtaceae,Acmena,Acmena hemilampra,NA,acmehemi,NA,NA,35,,1,0
Myrtaceae,Acmena,Acmena ingens,NA,acmeinge,NA,NA,40,,1,0
Myrtaceae,Acmena,Acmena smithii,acmesmit,acmesmit,Syzygium smithii,NA,10,,1,0
Rutaceae,Acadenia,Acradenia euodiiformis,NA,acraeudi,NA,NA,20,,3,0
Rutaceae,Acronychia,Acronychia baeuerlenii,NA,acrobaeu,NA,NA,9,,1,0
Rutaceae,Acronychia,Acronychia imperforata,NA,acroimpe,NA,NA,15,,1,0
Rutaceae,Acronychia,Acronychia laevis,acrolaev,acrolaev,NA,NA,15,,1,0
Rutaceae,Acronychia,Acronychia oblongifolia,NA,acrooblo,NA,NA,20,,1,0
Rutaceae,Acronychia,Acronychia pauciflora,NA,acropauc,NA,NA,10,,1,0
Rutaceae,Acronychia,Acronychia pubescens,NA,acropube,NA,NA,15,,3,0
Rutaceae,Acronychia,Acronychia suberosa,NA,acrosube,NA,NA,18,,3,0
Phyllanthaceae,Actephila,Actephila lindleyi,actelind,actelind,NA,NA,9,,1,0
Akaniaceae,Akania,Akania bidwillii,NA,akanbidw,Akania lucens,NA,20,,15,0
Cornaceae,Alangium,Alangium villosum,NA,alanvill,NA,NA,20,,1,0
Euphorbiaceae,Alchornea,Alchornea ilicifolia,alchilic,alchilic,NA,NA,7,,1,0
Sapindaceae,Alectryon,Alectryon connatus,NA,alecconn,NA,NA,12,,4,0
Sapindaceae,Alectryon,Alectryon diversifolius,alecdive,alecdive,NA,NA,4,,1,0
Sapindaceae,Alectryon,Alectryon reticulatus,NA,alecreti,Alectryon unilobatus,NA,10,,5,0
Sapindaceae,Alectryon,Alectryon subcinereus,NA,alecsubc,NA,NA,18,,5,0
Sapindaceae,Alectryon,Alectryon subdentatus,alecsubd,alecsubd,NA,NA,11,,5,0
