error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of WAH_1998_3738,Hughes_1992,Leptocarpus tenax,NA,NA,Hughes_1992_043,plant_height,1,m,NA,expert_max,NA,Leptocarpus tenax
Duplicate of Barlow_1981_1151,Hughes_1992,Dianella caerulea,NA,NA,Hughes_1992_064,plant_height,0.5,m,NA,expert_max,NA,Dianella caerulea
Duplicate of Barlow_1981_3826,Hughes_1992,Schelhammera undulata,NA,NA,Hughes_1992_074,plant_height,0.2,m,NA,expert_max,NA,Schelhammera undulata
Duplicate of Barlow_1981_3217,Hughes_1992,Patersonia glabrata,NA,NA,Hughes_1992_080,plant_height,0.3,m,NA,expert_max,NA,Patersonia glabrata
Duplicate of GrassBase_2014_0427,Hughes_1992,Entolasia marginata,NA,NA,Hughes_1992_091,plant_height,0.6,m,NA,expert_max,NA,Entolasia marginata
Duplicate of GrassBase_2014_0678,Hughes_1992,Ehrharta stipoides,NA,NA,Hughes_1992_092,plant_height,0.3,m,NA,expert_max,NA,Microlaena stipoides
Duplicate of GrassBase_2014_0751,Hughes_1992,Paspalidium distans,NA,NA,Hughes_1992_093,plant_height,0.3,m,NA,expert_max,NA,Paspalidium radiatum
Duplicate of GrassBase_2014_0880,Hughes_1992,Rytidosperma tenuius,NA,NA,Hughes_1992_099,plant_height,0.9,m,NA,expert_max,NA,Danthonia purpurascens
Duplicate of GrassBase_2014_0240,Hughes_1992,Chloris ventricosa,NA,NA,Hughes_1992_100,plant_height,1,m,NA,expert_max,NA,Chloris ventricosa
Duplicate of TMAG_2009_024,Hughes_1992,Tetragonia tetragonioides,NA,NA,Hughes_1992_119,plant_height,0.3,m,NA,expert_max,NA,Tetragonia tetragoniodes
Duplicate of TMAG_2009_032,Hughes_1992,Suaeda australis,NA,NA,Hughes_1992_124,plant_height,0.8,m,NA,expert_max,NA,Sueda australis
Duplicate of WAH_1998_1127,Hughes_1992,Centipeda minima,NA,NA,Hughes_1992_152,plant_height,0.2,m,NA,expert_max,NA,Centipeda minima
Duplicate of Barlow_1981_1814,Hughes_1992,Goodenia paniculata,NA,NA,Hughes_1992_154,plant_height,0.5,m,NA,expert_max,NA,Goodenia paniculata
Duplicate of Barlow_1981_1764,Hughes_1992,Goodenia heterophylla,NA,NA,Hughes_1992_168,plant_height,0.4,m,NA,expert_max,NA,Goodenia heterophylla
Duplicate of WAH_1998_5031,Hughes_1992,Poranthera microphylla,NA,NA,Hughes_1992_182,plant_height,0.1,m,NA,expert_max,NA,Poranthera microphylla
Duplicate of WAH_1998_4652,Hughes_1992,Pelargonium australe,NA,NA,Hughes_1992_194,plant_height,0.5,m,NA,expert_max,NA,Pelargonium australe
Duplicate of WAH_1998_3713,Hughes_1992,Lepidosperma longitudinale,NA,NA,Hughes_1992_229,plant_height,2,m,NA,expert_max,NA,Lepidosperma longitudinal
Duplicate of WAH_1998_2005,Hughes_1992,Eleocharis sphacelata,NA,NA,Hughes_1992_244,plant_height,2,m,NA,expert_max,NA,Eleocharis sphacelata
Duplicate of Hughes_1992_243,Hughes_1992,Gahnia sieberiana,NA,NA,Hughes_1992_247,plant_height,2,m,NA,expert_max,NA,Gahnia sieberana
Duplicate of WAH_1998_1210,Hughes_1992,Chorizandra cymbaria,NA,NA,Hughes_1992_248,plant_height,1,m,NA,expert_max,NA,Chorizandra cymbaria
Duplicate of Barlow_1981_3410,Hughes_1992,Petrophile pulchella,NA,NA,Hughes_1992_264,plant_height,3,m,NA,expert_max,NA,Petrophile pulchella
