species,tissue,leaf_N_%,leaf_P_%,leaf_K_%,leaf_S_%,leaf_Ca_%,leaf_Mg_%,leaf_Na_%,leaf_Fe_ppm,leaf_Cu_ppm,leaf_Mn_ppm,leaf_Zn_ppm,leaf_Cl_ppm,wood_N_%,wood_P_%,wood_K_%,wood_Ca_%,wood_Mg_%,wood_Na_%,wood_Fe_ppm,wood_Cu_ppm,wood_Mn_ppm,wood_Zn_ppm,wood_Cl_ppm,bark_N_%,bark_P_%,bark_K_%,bark_Ca_%,bark_Mg_%,bark_Na_%,bark_Fe_ppm,bark_Cu_ppm,bark_Mn_ppm,bark_Zn_ppm,bark_Cl_ppm,dead_wood_N_%,dead_wood_P_%,dead_wood_K_%,dead_wood_Ca_%,dead_wood_Mg_%,dead_wood_Na_%,dead_wood_Fe_ppm,dead_wood_Cu_ppm,dead_wood_Mn_ppm,dead_wood_Zn_ppm,dead_wood_Cl_ppm,dead_bark_N_%,dead_bark_P_%,dead_bark_K_%,dead_bark_Ca_%,dead_bark_Mg_%,dead_bark_Na_%,dead_bark_Fe_ppm,dead_bark_Cu_ppm,dead_bark_Mn_ppm,dead_bark_Zn_ppm,dead_bark_Cl_ppm,flower_N_%,flower_P_%,flower_K_%,flower_S_%,flower_Ca_%,flower_Mg_%,flower_Na_%,flower_Fe_ppm,flower_Cu_ppm,flower_Mn_ppm,flower_Zn_ppm
Acacia concurrens,current leaves,2.1,0.04,0.6,0.13,0.9,0.18,0.12,53,7,83,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia aemula,current leaves,0.7,0.05,0.4,0.08,0.14,0.08,0.15,154,5,27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustis blakeii,current leaves,1.4,0.06,0.4,0.15,0.25,0.07,0.07,135,5,106,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus signata,current leaves,1.3,0.08,0.5,0.1,0.34,0.2,0.16,88,7,66,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus umbra ssp. umbra,current leaves,1.25,0.08,0.6,0.08,0.18,0.16,0.15,42,6,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibbertia vestita,current leaves,2,0.08,0.9,0.26,0.97,0.44,0.12,525,7,90,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperata cylindrica,current leaves,0.6,0.06,0.5,0.07,0.14,0.07,0.06,120,4,81,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidosperma laterale,current leaves,0.3,0.02,0.4,0.1,0.22,0.07,0.07,179,4,111,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucopogon margarodes,current leaves,1.6,0.07,0.5,0.12,0.58,0.15,0.08,202,11,77,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomandra longifolia,current leaves,1.8,0.06,0.7,0.23,1.07,0.11,0.1,58,5,59,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monotoca scoparia,current leaves,1.2,0.04,0.6,0.11,0.39,0.13,0.07,58,8,81,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persoonia virgata,current leaves,1.3,0.08,0.5,0.12,0.28,0.16,0.13,135,6,100,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrophile sessilis,current leaves,0.8,0.07,0.3,0.007,0.16,0.15,0.04,77,4,31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteridium esculentum,current leaves,1.7,0.1,0.9,0.13,0.12,0.13,0.07,35,6,51,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
