Treatment,Species,Rep.,ET Per day(g H2O pot -1 day -1),Total leaf area(cm2),ET (g H2O/day/cm2),SLA (m2/kg leaf),LAR (m2leaf/kg plant,RGR(mg g-1day-1),WP-PD(-Mpa),WP-MD(-Mpa),site
Well Watered,Correa glabra,1,182.56,2195.75,0.083141133,13.28,6.94,2.88,,,The University of Melbourne Burnley campus
Well Watered,Correa glabra,2,173.68,1910.87,0.090893112,11.67,5.93,2.39,,,The University of Melbourne Burnley campus
Well Watered,Correa glabra,3,217.25,2266.83,0.095837982,10.11,5.36,2.12,,,The University of Melbourne Burnley campus
Well Watered,Correa glabra,4,210.97,3103.32,0.067981725,15.9,7.95,1.96,,,The University of Melbourne Burnley campus
Well Watered,Correa glabra,5,193.27,2193.12,0.08812552,11.78,6.1,1.6,,,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,1,46.01,3.04,15.1362782,0.24,0.11,7.09,,,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,2,64.17,5.36,11.97228145,0.23,0.14,1.18,,,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,3,59.89,2.53,23.67250141,0.25,0.14,,,,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,4,59.05,2.64,22.36688312,0.23,0.13,0.12,,,The University of Melbourne Burnley campus
Well Watered,Cheiranthera linearis,5,66.31,8.98,7.384346166,0.26,0.16,0.44,,,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,1,51.47,29.04,1.772662917,0.78,0.54,0.96,,,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,2,122.91,224.5,0.54748189,1.81,1.13,1.23,,,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,3,90.72,193.56,0.468659108,2.54,1.45,1.11,,,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,4,124.15,306.5,0.405045593,2.81,1.81,1.44,,,The University of Melbourne Burnley campus
Well Watered,Calytrix tetragona,5,89.19,192.31,0.463754863,2.38,1.5,1.69,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,1,127.07,1920.99,0.066146449,9.72,7.13,3.79,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,2,191.37,3200.97,0.059784457,12.17,8.04,0.39,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,3,226.91,3242.28,0.06998431,10.71,7.49,0.47,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,4,177.83,2408.6,0.073830349,11.97,8.45,0.81,,,The University of Melbourne Burnley campus
Well Watered,Derwentia derwentiana,5,145.08,2118.64,0.068478341,9.02,6.61,0.63,,,The University of Melbourne Burnley campus
Well Watered,Derwentia perfoliata,1,152.19,2313.97,0.065769946,9.99,6.24,0.57,,,The University of Melbourne Burnley campus
