site,name_original,leaf type,SLA_m2kg,WoodD_gcm3,leafsize_mm2,stem area mm,stem density g/m3,stem_area_mm_no_bark,SEM_cmg,WEM_cmg,lg_lfsize
Sea Acres Nature Reserve,Anopterus  macleayanus,s,10.74,0.57,8440.8,177.12,0.49,112.28,1.16,1.56,3.93
Sea Acres Nature Reserve,Anopterus  macleayanus,s,10.32,0.38,13611.33,123.47,0.35,91.62,2.31,2.89,4.13
Sea Acres Nature Reserve,Anopterus  macleayanus,s,12.24,0.46,11001.6,104.3,0.42,77.31,2.30,2.79,4.04
Sea Acres Nature Reserve,Alangium  villosum ssp. polyosmoides,s,15.62,0.54,3672.33,75.23,0.49,56.03,1.33,2.10,3.62
Sea Acres Nature Reserve,Alangium  villosum ssp. polyosmoides,s,19.46,0.48,4430.67,114.83,0.43,85.04,1.40,1.89,3.70
Sea Acres Nature Reserve,Alangium  villosum ssp. polyosmoides,s,19.21,0.59,4544,237.28,0.52,172.41,1.17,1.54,3.53
Mount Wellington,Baeckea gunniana,s,3.97,0.83,1.81,114.82,0.77,95.93,3.64,4.40,3.52
Mount Wellington,Baeckea gunniana,s,3.63,0.85,1.26,18.54,0.73,12.27,1.70,2.31,3.54
Mount Wellington,Baeckea gunniana,s,4.53,0.8,2.12,84.22,0.76,74.04,2.00,2.50,3.59
Mount Wellington,Bellendena montana,s,5.32,0.67,127.35,92.52,0.59,58.21,1.99,2.34,3.82
Mount Wellington,Bellendena montana,s,6.99,0.67,239.72,40.99,0.63,29.36,1.50,1.80,3.83
Mount Wellington,Bellendena montana,s,6.11,0.67,206.37,61.47,0.6,40.08,1.36,1.60,3.75
Mount Wellington,Bauera rubioides,s,7.74,0.69,7.45,11.82,0.71,8.34,1.19,1.39,3.86
Mount Wellington,Bauera rubioides,s,8.95,0.71,5.52,6.18,0.72,4.23,0.97,1.18,3.52
Mount Wellington,Bauera rubioides,s,9.95,0.74,6.02,6.49,0.75,4.49,0.59,0.73,3.45
Sea Acres Nature Reserve,Capparis  arborea,s,7.42,0.65,3311.67,164.62,0.63,129.86,2.06,2.30,3.50
Sea Acres Nature Reserve,Capparis  arborea,s,7.52,0.67,2799.5,261.36,0.64,204.77,1.82,2.29,3.36
Sea Acres Nature Reserve,Capparis  arborea,s,8.46,0.62,3153.83,80.76,0.6,70.03,1.68,2.12,3.63
Sea Acres Nature Reserve,Claoxylon  australe,s,19.4,0.59,6642.33,94.94,0.53,72.38,0.86,1.03,3.41
Sea Acres Nature Reserve,Claoxylon  australe,s,14.68,0.39,6725.71,170.14,0.39,143.08,2.43,3.20,3.41
Sea Acres Nature Reserve,Claoxylon  australe,s,18.27,0.51,5570.83,157.66,0.47,121.79,2.74,3.43,3.79
Sea Acres Nature Reserve,Claoxylon  australe,s,19.75,0.48,7199.83,192.9,0.43,151.01,2.30,2.98,3.62
Sea Acres Nature Reserve,Cleistanthus  cunninghamii,s,12.62,0.49,2315.33,102.8,0.53,89.79,0.80,1.03,3.55
Sea Acres Nature Reserve,Cleistanthus  cunninghamii,s,11.49,0.73,4229.17,85.34,0.7,64.47,2.62,3.25,3.49
Sea Acres Nature Reserve,Cleistanthus  cunninghamii,s,11.41,0.57,2548.8,224.52,0.52,170.92,1.04,1.37,3.72
Sea Acres Nature Reserve,Citriobatus  pauciflorus,s,25.01,0.69,102.94,40.93,0.62,31.19,1.16,1.48,3.60
Sea Acres Nature Reserve,Citriobatus  pauciflorus,s,21.81,0.66,98.52,41.94,0.59,29.81,2.53,3.13,3.60
Sea Acres Nature Reserve,Citriobatus  pauciflorus,s,21.17,0.64,71.44,45.99,0.58,33.15,0.94,1.07,3.70
Sea Acres Nature Reserve,Cryptocarya  rigida,s,10.76,0.65,3634.29,68.66,0.63,58.93,1.39,1.75,3.70
Sea Acres Nature Reserve,Cryptocarya  rigida,s,12.03,0.57,3787.83,55.88,0.53,40.49,2.73,3.28,3.56
Sea Acres Nature Reserve,Cryptocarya  rigida,s,10.73,0.66,3393.5,64.22,0.62,49.24,2.01,2.43,3.65
Mount Wellington,Eucalyptus coccifera,s,3.41,0.52,904.12,276.81,0.49,196.59,0.81,0.98,3.66
Mount Wellington,Eucalyptus coccifera,s,4.03,0.53,678.76,355.5,0.51,274.23,3.95,4.65,2.01
Mount Wellington,Eucalyptus coccifera,s,3.43,0.51,972.58,322.2,0.49,243.26,4.02,5.11,1.99
Sea Acres Nature Reserve,Eupomatia  laurina,s,15.39,0.48,3297.2,66.84,0.41,47.49,3.73,4.69,1.85
Sea Acres Nature Reserve,Eupomatia  laurina,s,15.72,0.51,3456.2,110.28,0.53,85.17,2.44,3.16,3.51
Sea Acres Nature Reserve,Eupomatia  laurina,s,14.9,0.51,3864,111.33,0.45,77.62,2.57,3.34,3.44
Mount Wellington,Epacris serpyllifolia,s,6.35,0.65,5.63,18.76,0.7,15.04,3.38,4.41,3.49
Mount Wellington,Epacris serpyllifolia,s,5.52,0.59,5.05,58.5,0.57,51.13,2.31,2.60,3.56
Mount Wellington,Epacris serpyllifolia,s,6.24,0.61,3.52,51.41,0.6,44.18,3.38,4.30,3.58
Sea Acres Nature Reserve,Ficus  coronata,s,15.5,0.52,2585.17,82.81,0.5,59.86,2.53,3.10,3.53
Sea Acres Nature Reserve,Ficus  coronata,s,15.53,0.47,6177.67,84.99,0.43,61.99,1.71,2.11,4.31
Sea Acres Nature Reserve,Ficus  coronata,s,16.55,0.4,4171.83,111.03,0.39,83.86,1.71,2.11,3.39
Sea Acres Nature Reserve,Ficus  fraseri,s,9.9,0.5,3568,255.96,0.49,194.23,1.84,2.30,4.27
Sea Acres Nature Reserve,Ficus  fraseri,s,22.43,0.41,3123.17,94.21,0.4,75.6,1.84,2.30,3.47
Sea Acres Nature Reserve,Ficus  fraseri,s,10.89,0.42,5213.33,233.46,0.41,173.9,1.11,1.38,4.03
Sea Acres Nature Reserve,Ficus  fraseri,s,14.41,0.59,3995.17,142.65,0.6,115.47,1.11,1.38,3.12
Mount Wellington,Leptospermum lanigerum,s,6.59,,12.77,111.88,,74.56,1.15,1.38,3.91
Mount Wellington,Leptospermum lanigerum,s,6.14,0.25,14.64,222.61,0.25,170.86,1.30,1.53,3.99
Mount Wellington,Leptospermum lanigerum,s,5.54,0.74,10.07,117.91,0.63,80.96,1.43,1.85,4.01
Mount Wellington,Leptospermum rupestre,s,4.59,0.71,9.88,113.31,0.56,72.53,1.12,1.25,0.26
