"species","trait_name","trait_value","trait_name_standardised","trait_value_standardised","value_type","flowering_time_type","number_records","number_obs","percent_records","commonness","notes"
"Banksia aculeata","growth_form","shrub","plant_growth_form","shrub",,,12,,100,"usually",""
"Banksia aculeata","growth_response","killed, new seedlings","resprouting_capacity","fire_killed",,,7,7,100,,
"Banksia aculeata","growth_response","killed, new seedlings","post_fire_recruitment","post_fire_recruitment",,,7,7,100,,
"Banksia aculeata","growth_response","killed, new seedlings","bud_bank_location","none",,,7,7,100,,
"Banksia aculeata","growth_response","unspecified",,,,,9,,22,,""
"Banksia aculeata","flowering_response","occurred after fire",,,,,6,,,,""
"Banksia aculeata","flowering_response","median time to flowering: 25-36 months","fire_time_from_fire_to_flowering","30.5","median",,6,,,,""
"Banksia aculeata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,6,,,,""
"Banksia aculeata","flowering_response","not occurred after fire",,,,,3,,,,""
"Banksia aculeata","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,3,,,,""
"Banksia aculeata","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,3,,,,""
"Banksia aculeata","pollinator_type","no pollinator observed",,,,,3,3,,,""
"Banksia aculeata","months_flowering_range","Feb","flowering_time","NYNNNNNNNNNN",,"full range",2,,,,"only month with 'majority flowers fully open' records in the monthly chart; text: 'Flowering was recorded once (in February)'"
"Banksia aculeata","months_flowering_peak","Feb","flowering_time","NYNNNNNNNNNN",,"peak flowering",2,,,,""
"Banksia aculeata","months_fruiting_cones_present","May, Jun, Sep, Oct","fruiting_time","NNNNYYNNYYNN",,,,,,,"read from monthly bar chart; non-contiguous months, low sample (1-6 records/month)"
"Banksia aemula","growth_form","tree","plant_growth_form","tree",,,273,,60,"usually",""
"Banksia aemula","growth_form","shrub","plant_growth_form","shrub",,,273,,38,"commonly",""
"Banksia aemula","growth_form","unspecified",,,,,273,,3,"rarely",""
"Banksia aemula","growth_response","killed, new seedlings and trunk resprout","resprouting_capacity","fire_killed",,,40,1,2,,
"Banksia aemula","growth_response","ground resprout; ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,40,40,100,,
"Banksia aemula","growth_response","killed, new seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment",,,40,1,2,,
"Banksia aemula","growth_response","ground resprout; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,40,19,48,,
"Banksia aemula","growth_response","ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,40,31,78,,
"Banksia aemula","growth_response","unspecified",,,,,51,,22,,""
"Banksia aemula","flowering_response","occurred after fire",,,,,30,,,,""
"Banksia aemula","flowering_response","median time to flowering: 1-12 months","fire_time_from_fire_to_flowering","6.5","median",,30,,,,""
"Banksia aemula","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,30,,,,""
"Banksia aemula","flowering_response","not occurred after fire",,,,,7,,,,""
"Banksia aemula","flowering_response","median time to no flowering: 1-12 months","fire_time_from_fire_to_no_flowering","6.5","median",,7,,,,""
"Banksia aemula","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,7,,,,""
"Banksia aemula","pollinator_type","no pollinator observed",,,,,109,56,,,""
"Banksia aemula","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,53,20,38,"commonly",""
"Banksia aemula","pollinator_type","bird","flower_visitor","bird",,,53,32,60,"usually",""
"Banksia aemula","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,53,1,2,"rarely",""
"Banksia aemula","specific_pollinator","ant","flower_visitor","ant",,,53,3,6,"rarely",""
"Banksia aemula","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,53,9,17,"occasionally",""
"Banksia aemula","specific_pollinator","flycatchers and allies (unspecified)","flower_visitor","bird",,,53,1,2,"rarely",""
"Banksia aemula","specific_pollinator","European honey bee","flower_visitor","honeybee",,,53,3,6,"rarely",""
"Banksia aemula","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; White-cheeked Honeyeater; Tawny-crowned Honeyeater; Noisy Miner; wattlebird (unspecified); Little Wattlebird; friarbird (unspecified); Noisy Friarbird","flower_visitor","honeyeater",,,53,31,58,"usually",""
"Banksia aemula","specific_pollinator","lorikeets and allies (unspecified); Rainbow Lorikeet","flower_visitor","parrot",,,53,3,6,"rarely",""
"Banksia aemula","months_flowering_range","Jan-Oct","flowering_time","YYYYYYYYYYNN",,"full range",,,,,"from Discussion text: 'B. aemula flowers from January to October'; monthly chart shows some 'fully open' bar in every month"
"Banksia aemula","months_flowering_peak","Feb-Mar","flowering_time","NYYNNNNNNNNN",,"peak flowering",,,,,"Discussion text: 'though mainly in February and March'"
"Banksia aemula","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE: with flowering recorded nearly year-round, the 'fruiting cones present' category could not be reliably separated from adjacent categories at this image resolution; recommend manual check against the original chart"
"Banksia ashbyi","growth_form","tree","plant_growth_form","tree",,,70,,46,"commonly",""
"Banksia ashbyi","growth_form","shrub","plant_growth_form","shrub",,,70,,51,"usually",""
"Banksia ashbyi","growth_form","unspecified",,,,,70,,3,"rarely",""
"Banksia ashbyi","growth_response","killed, new seedlings; killed, new seedlings and trunk resprout","resprouting_capacity","fire_killed",,,5,4,80,,
"Banksia ashbyi","growth_response","ground resprout; killed, new seedlings and trunk resprout","resprouting_capacity","resprouts",,,5,2,40,,
"Banksia ashbyi","growth_response","killed, new seedlings; killed, new seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment",,,5,4,80,,
"Banksia ashbyi","growth_response","ground resprout","bud_bank_location","basal_buds",,,5,1,20,,
"Banksia ashbyi","growth_response","killed, new seedlings and trunk resprout","bud_bank_location","epicormic_buds",,,5,1,20,,
"Banksia ashbyi","growth_response","unspecified",,,,,8,,37,,""
"Banksia ashbyi","flowering_response","occurred after fire",,,,,5,,,,""
"Banksia ashbyi","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,5,,,,""
"Banksia ashbyi","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,5,,,,""
"Banksia ashbyi","flowering_response","not occurred after fire",,,,,2,,,,""
"Banksia ashbyi","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,2,,,,""
"Banksia ashbyi","flowering_response","maximum time to no flowering: 25-36 months","fire_time_from_fire_to_no_flowering","30.5","maximum",,2,,,,""
"Banksia ashbyi","pollinator_type","no pollinator observed",,,,,17,9,,,""
"Banksia ashbyi","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,8,4,50,"usually",""
"Banksia ashbyi","pollinator_type","bird","flower_visitor","bird",,,8,3,38,"commonly",""
"Banksia ashbyi","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,8,1,12,"occasionally",""
"Banksia ashbyi","specific_pollinator","ant","flower_visitor","ant",,,8,3,38,"commonly",""
"Banksia ashbyi","specific_pollinator","honeyeater (unspecified); Singing Honeyeater","flower_visitor","honeyeater",,,8,4,50,"usually",""
"Banksia ashbyi","months_flowering_range","Apr-Sep","flowering_time","NNNYYYYYYNNN",,"full range",,,,,"from monthly chart ('fully open' bars); text: 'Flowering was observed mainly in winter'"
"Banksia ashbyi","months_flowering_peak","Jul","flowering_time","NNNNNNYNNNNN",,"peak flowering",,,,,"tallest 'fully open' bar in chart (~65%); consistent with text"
"Banksia ashbyi","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia attenuata","growth_form","tree","plant_growth_form","tree",,,1280,,76,"usually",""
"Banksia attenuata","growth_form","shrub","plant_growth_form","shrub",,,1280,,23,"occasionally",""
"Banksia attenuata","growth_form","unspecified",,,,,1280,,1,"rarely",""
"Banksia attenuata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout","resprouting_capacity","fire_killed",,,131,18,14,,
"Banksia attenuata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","resprouting_capacity","resprouts",,,131,127,97,,
"Banksia attenuata","growth_response","ground resprout and killed, new seedlings; killed, new seedlings; killed, new seedlings and trunk resprout","post_fire_recruitment","post_fire_recruitment",,,131,18,14,,
"Banksia attenuata","growth_response","ground resprout; ground resprout and killed, new seedlings; ground resprout and trunk resprout","bud_bank_location","basal_buds",,,131,71,54,,
"Banksia attenuata","growth_response","ground resprout and trunk resprout; killed, new seedlings and trunk resprout; trunk resprout","bud_bank_location","epicormic_buds",,,131,83,63,,
"Banksia attenuata","growth_response","unspecified",,,,,191,,34,,""
"Banksia attenuata","flowering_response","occurred after fire",,,,,134,,,,""
"Banksia attenuata","flowering_response","median time to flowering: 13-24 months","fire_time_from_fire_to_flowering","18.5","median",,134,,,,""
"Banksia attenuata","flowering_response","minimum time to flowering: <1 month","fire_time_from_fire_to_flowering","1","minimum",,134,,,,""
"Banksia attenuata","flowering_response","not occurred after fire",,,,,20,,,,""
"Banksia attenuata","flowering_response","median time to no flowering: 13-24 months","fire_time_from_fire_to_no_flowering","18.5","median",,20,,,,""
"Banksia attenuata","flowering_response","maximum time to no flowering: 61-72 months","fire_time_from_fire_to_no_flowering","66","maximum",,20,,,,""
"Banksia attenuata","pollinator_type","no pollinator observed",,,,,436,358,,,""
"Banksia attenuata","pollinator_type","bees, wasps, ants","flower_visitor","bee wasp ant",,,82,48,59,"usually",""
"Banksia attenuata","pollinator_type","bird","flower_visitor","bird",,,82,26,32,"commonly",""
"Banksia attenuata","pollinator_type","flies","flower_visitor","fly",,,82,4,5,"rarely",""
"Banksia attenuata","pollinator_type","butterflies, moths","flower_visitor","lepidoptera",,,82,4,5,"rarely",""
"Banksia attenuata","specific_pollinator","ant","flower_visitor","ant",,,82,9,11,"occasionally",""
"Banksia attenuata","specific_pollinator","bee (unspecified)","flower_visitor","bee",,,82,29,35,"commonly",""
"Banksia attenuata","specific_pollinator","blowfly","flower_visitor","carrion_fly",,,82,1,1,"rarely",""
"Banksia attenuata","specific_pollinator","dragonfly","flower_visitor","dragonfly",,,82,1,1,"rarely",""
"Banksia attenuata","specific_pollinator","European honey bee","flower_visitor","honeybee",,,82,1,1,"rarely",""
"Banksia attenuata","specific_pollinator","honeyeater (unspecified); New Holland Honeyeater; Brown Honeyeater; Singing Honeyeater; Miner (unspecified); wattlebird (unspecified); Western Spinebill","flower_visitor","honeyeater",,,82,14,17,"occasionally",""
"Banksia attenuata","specific_pollinator","Port Lincoln Parrot; Red-tailed Black Cockatoo","flower_visitor","parrot",,,82,2,2,"rarely",""
"Banksia attenuata","months_flowering_range","Oct-Mar","flowering_time","YYYNNNNNNYYY",,"full range",,,,,"from monthly chart ('fully open' bars >~10%); text: 'flowers and produces new shoots mainly in late spring and summer'"
"Banksia attenuata","months_flowering_peak","Nov-Jan","flowering_time","YNNNNNNNNNYY",,"peak flowering",,,,,"Dec tallest (~90%), Nov ~72%, Jan ~78%"
"Banksia attenuata","months_fruiting_cones_present","uncertain - not confidently isolated from chart",,,,,,,,,"LOW CONFIDENCE - flag for manual check"
"Banksia audax","growth_form","shrub","plant_growth_form","shrub",,,33,,94,"usually",""
"Banksia audax","growth_form","unspecified",,,,,33,,6,"rarely",""
"Banksia audax","growth_response","ground resprout","resprouting_capacity","resprouts",,,2,2,100,,
