Species,Replicate,Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm) ,Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre))
Aira elegantissima,1,0.0024,90.713,917.55,0.0004,0.166666667,75.11,44.593,111483,0.9563,3.0044,0.0216,0.016,136,393,2.24
Aira elegantissima,2,0.0055,103.9,1127.1,0.0008,0.145454545,40.755,52.7315,65914,1.0378,3.2604,0.0197,0.016,125,358,1.639344262
Aira elegantissima,3,0.0083,139.13,1360.9,0.001,0.120481928,45.207,67.8443,67844,1.439,4.5207,0.0212,0.024,85,200,10.42857143
Aristida ramosa,1,0.0293,167.1,814.45,0.0097,0.33105802,5.403195876,38.637,3983,1.6683,5.2411,0.0432,0.057,79,91,0.451282051
Aristida ramosa,2,0.0224,186.38,1083.7,0.0058,0.258928571,10.14224138,51.7783,8927,1.8725,5.8825,0.0362,0.053,105,147,0.721682848
Austrodanthonia caespitosa,1,0.0076,125.94,988.62,0.0027,0.355263158,14.52666667,45.8045,16965,1.2485,3.9222,0.0273,0.027,127,140,5.512195122
Austrodanthonia caespitosa,2,0.0176,184.07,1303.6,0.0044,0.25,13.29909091,62.9586,14309,1.8626,5.8516,0.0296,0.043,188,287,1.186868687
Austrodanthonia caespitosa,3,0.0198,249.14,2040.9,0.0048,0.242424242,16.68083333,98.1385,20446,2.5486,8.0068,0.026,0.052,300,446,1.179916318
Austrodanthonia carphoides,1,0.0221,167.59,1058,0.0054,0.244343891,9.930925926,50.9145,9429,1.707,5.3627,0.0335,0.045,116,190,0.781746032
Austrodanthonia carphoides,2,0.0266,204.18,1312.5,0.0069,0.259398496,9.357391304,62.5494,9065,2.0552,6.4566,0.0329,0.053,123,161,1.015209125
Austrodanthonia carphoides,3,0.0193,189.81,1243.6,0.0066,0.341968912,9.172121212,60.6685,9192,1.9269,6.0536,0.0318,0.048,111,190,1.05982906
Bothriochloa macra,1,0.0214,168.33,943.28,0.0076,0.355140187,7.061052632,47.2114,6212,1.7082,5.3664,0.0362,0.049,115,185,0.725978648
Bothriochloa macra,2,0.0259,280.8,1971,0.0086,0.332046332,10.33965116,92.1958,10720,2.8304,8.8921,0.0307,0.068,257,354,1.124223602
Bothriochloa macra,3,0.0339,321.93,2157,0.0076,0.224188791,13.56434211,106.2298,13978,3.2814,10.3089,0.0309,0.08,295,510,1.926470588
Hypochaeris radicata,1,0.0694,234.84,1408.1,0.0123,0.177233429,6.030813008,68.2096,5545,2.3612,7.4179,0.0346,0.064,71,97,0.537170264
Hypochaeris radicata,2,0.06,178.64,986.95,0.0124,0.206666667,4.538064516,47.3985,3822,1.7912,5.6272,0.0378,0.053,78,147,0.316831683
