Species,tree,branch,Id,leaves_1st,leaves_dead_2,leaves_new_2,leaves_2nd,leaves_dead_3,leaves_new_3,leaves_end,dead_all,new_all,turnover,lifespan,lifespan_birth,diam_1,diam_1.end,diam_2,diam_2.end,diam_3,diam_3.end,branch_start,branch_end
AC,_a,1,AC_a_1,86,61,0,25,25,0,0,86,0,1,1,,5.67,5.67,,,,,5.67,5.67
AC,_a,2,AC_a_2,108,40,15,83,13,4,74,53,19,0.490740741,2.037735849,5.684210526,10.23,11.31,5.21,6.05,5.49,5.68,20.93,23.04
AC,_b,1,AC_b_1,131,13,1,119,30,93,182,43,94,0.328244275,3.046511628,1.393617021,8.44,10.12,5.45,5.65,,,13.89,15.77
AC,_b,2,AC_b_2,60,3,0,57,10,15,62,13,15,0.216666667,4.615384615,4,4.7,4.7,,,,,4.7,4.7
AC,_c,1,AC_c_1,77,11,7,73,8,0,65,19,7,0.246753247,4.052631579,11,6.31,5.93,5.09,4.95,,,11.4,10.88
AC,_c,2,AC_c_2,96,10,3,89,11,7,85,21,10,0.21875,4.571428571,9.6,6.55,6.98,4.65,4.65,,,11.2,11.63
AC,_d,1,AC_d_1,44,23,0,21,21,0,0,44,0,1,1,,6.85,6.85,,,,,6.85,6.85
AC,_d,2,AC_d_2,78,18,8,68,5,23,86,23,31,0.294871795,3.391304348,2.516129032,6.9,6.99,5.84,6.71,,,12.74,13.7
BE,_a,1,BE_a_1,481,135,16,362,146,229,445,281,245,0.584199584,1.711743772,1.963265306,5.57,5.79,4.16,4.79,,,9.73,10.58
BE,_a,2,BE_a_2,426,89,0,337,83,117,371,172,117,0.403755869,2.476744186,3.641025641,4.8,4.86,,,,,4.8,4.86
BE,_a,3,BE_a_3,356,85,0,271,36,103,338,121,103,0.33988764,2.94214876,3.45631068,2.82,3.21,,,,,2.82,3.21
BE,_b,1,BE_b_1,604,270,10,344,59,112,397,329,122,0.544701987,1.835866261,4.950819672,9.96,11.46,4.25,4.43,3.34,3.45,17.55,19.34
BE,_b,2,BE_b_2,653,33,5,625,35,92,682,68,97,0.104134763,9.602941176,6.731958763,6.57,7.3,2.85,3,,,9.42,10.3
BE,_c,1,BE_c_1,841,126,40,755,54,244,945,180,284,0.214030916,4.672222222,2.961267606,6.79,8.02,3.65,4.71,,,10.44,12.73
BE,_d,1,BE_d_1,843,35,23,831,145,303,989,180,326,0.213523132,4.683333333,2.585889571,7.98,8.6,5.25,5.93,,,13.23,14.53
BE,_e,1,BE_e_1,365,63,40,342,95,136,383,158,176,0.432876712,2.310126582,2.073863636,5,5.2,4.17,4.29,1.68,2.09,10.85,11.58
BE,_e,2,BE_e_2,531,195,86,422,107,195,510,302,281,0.56873823,1.758278146,1.889679715,6.2,6.55,3.88,4.47,2.44,2.6,12.52,13.62
BS,_a,1,BS_a_1,77,12,0,65,65,0,0,77,0,1,1,,10.15,10.15,,,,,10.15,10.15
BS,_a,2,BS_a_2,125,37,3,91,6,70,155,43,73,0.344,2.906976744,1.712328767,7.59,7.85,5.12,5.9,3.77,3.91,16.48,17.66
BS,_b,1,BS_b_1,101,24,6,83,40,100,143,64,106,0.633663366,1.578125,0.952830189,9.12,9.55,7.25,8.16,7.05,7.33,23.42,25.04
BS,_b,2,BS_b_2,101,34,7,74,21,70,123,55,77,0.544554455,1.836363636,1.311688312,17.52,17.72,9.17,10.8,10.61,10.95,37.3,39.47
BS,_c,1,BS_c_1,136,43,4,97,39,89,147,82,93,0.602941176,1.658536585,1.462365591,17.04,17.7,15.12,15.19,12.76,13.14,44.92,46.03
BS,_d,1,BS_d_1,38,13,6,31,17,58,72,30,64,0.789473684,1.266666667,0.59375,14.11,14.35,12.13,12.16,,,26.24,26.51
BS,_d,2,BS_d_2,52,18,3,37,12,71,96,30,74,0.576923077,1.733333333,0.702702703,14.9,15.54,13.64,13.99,11.17,11.38,39.71,40.91
BS,_e,1,BS_e_1,245,46,22,221,41,116,296,87,138,0.355102041,2.816091954,1.775362319,15.29,15.27,11.67,12.1,12.4,12.72,39.36,40.09
BS,_e,2,BS_e_2,233,23,49,259,34,108,333,57,157,0.244635193,4.087719298,1.484076433,16.39,16.6,11.63,12.42,10.94,11.12,38.96,40.14
CA,_a,1,CA_a_1,90,6,10,94,6,19,107,12,29,0.133333333,7.5,3.103448276,8.42,8.72,8.64,8.51,5.11,5.1,22.17,22.33
CA,_a,2,CA_a_2,90,5,8,93,11,13,95,16,21,0.177777778,5.625,4.285714286,10.1,10.26,7.36,7.68,6.33,6.62,23.79,24.56
CA,_b,1,CA_b_1,32,0,2,34,5,2,31,5,4,0.15625,6.4,8,5.62,5.75,8.18,8.01,2.95,2.98,16.75,16.74
CA,_b,2,CA_b_2,45,4,0,41,5,11,47,9,11,0.2,5,4.090909091,6.11,6.16,4.17,4.45,5.54,5.48,15.82,16.09
CA,_c,1,CA_c_1,79,7,2,74,4,16,86,11,18,0.139240506,7.181818182,4.388888889,6.75,7.86,6.25,6.46,4.78,5.83,17.78,20.15
CA,_c,2,CA_c_2,48,1,0,47,6,4,45,7,4,0.145833333,6.857142857,12,5.81,6.01,3.74,3.77,3.19,3.53,12.74,13.31
