ID,species,lat_individual_tree,lon_individual_tree,ele_individual_tree,time_GPS_measurement
AC_1,Angophora costata,-33.37186502,151.321147,146.920563,2017-03-17T01:42:13Z
AC_2,Angophora costata,-33.37166101,151.321439,151.229584,2017-03-17T01:55:11Z
AC_3,Angophora costata,-33.37156101,151.321801,146.025238,2017-03-17T02:02:49Z
AC_4,Angophora costata,-33.37123303,151.320644,154.060089,2017-03-17T02:14:42Z
AC_5,Angophora costata,-33.37147099,151.320788,152.163605,2017-03-17T02:28:12Z
BE_1,Banksia ericifolia,-33.37075702,151.317931,146.987076,2017-04-06T05:58:14Z
BE_2,Banksia ericifolia,-33.37174701,151.321075,146.508652,2017-03-17T01:36:45Z
BE_3,Banksia ericifolia,-33.37081896,151.317982,146.252609,2017-04-06T06:02:34Z
BE_4,Banksia ericifolia,-33.37081896,151.317982,146.252609,2017-04-06T06:02:34Z
BE_5,Banksia ericifolia,-33.37058896,151.31809,149.851639,2017-04-06T06:13:45Z
BS_1,Banksia serrata,-33.372235,151.321169,149.791641,2017-04-06T02:33:19Z
BS_2,Banksia serrata,-33.37058502,151.317994,164.380569,2017-05-18T01:20:13Z
BS_3,Banksia serrata,-33.37225403,151.321239,142.714722,2017-03-17T01:17:19Z
BS_4,Banksia serrata,-33.37188598,151.321112,146.534714,2017-03-17T01:43:47Z
BS_5,Banksia serrata,-33.37113596,151.320739,155.779907,2017-03-17T02:10:22Z
BS_7,Banksia serrata,-33.371186,151.320723,154.833542,2017-03-17T02:11:48Z
CA_1,Callicoma serratifolia,-33.37093798,151.316327,111.010284,2017-03-17T03:45:17Z
CA_2,Callicoma serratifolia,-33.37465301,151.320671,65.615578,2017-03-17T04:55:44Z
CA_3,Callicoma serratifolia,-33.37465301,151.320671,65.615578,2017-03-17T04:55:44Z
CA_4,Callicoma serratifolia,-33.371055,151.316296,101.261002,2017-04-07T00:28:31Z
CA_5,Callicoma serratifolia,-33.37100797,151.316415,102.880913,2017-04-07T00:46:56Z
CS_1,Ceratopetalum apetalum,-33.37176704,151.318746,71.114967,2017-04-19T02:38:30Z
CS_2,Ceratopetalum apetalum,-33.37172203,151.318742,71.681839,2017-04-19T02:37:55Z
CS_3,Ceratopetalum apetalum,-33.37171499,151.318797,49.385361,2017-04-19T02:25:51Z
CS_4,Ceratopetalum apetalum,-33.37174701,151.318789,58.539085,2017-04-19T02:30:30Z
CS_5,Ceratopetalum apetalum,-33.37173703,151.318822,68.697632,2017-04-19T02:36:24Z
EH_1,Eucalyptus haemastoma,-33.37086397,151.317803,152.434311,2017-03-17T03:17:27Z
EH_2,Eucalyptus haemastoma,-33.37075802,151.31786,155.049988,2017-03-17T03:22:05Z
EH_3,Eucalyptus haemastoma,-33.37072802,151.317989,154.822418,2017-03-17T03:23:18Z
EH_4,Eucalyptus haemastoma,-33.37070899,151.317958,156.322296,2017-03-17T03:24:02Z
EH_5,Eucalyptus haemastoma,-33.37062802,151.318066,156.398453,2017-03-17T03:26:27Z
EP_1,Eucalyptus piperita,-33.37248604,151.321219,136.041183,2017-03-17T00:44:43Z
EP_3,Eucalyptus piperita,-33.37134702,151.320876,154.793701,2017-03-17T02:18:03Z
EP_5,Eucalyptus piperita,-33.37165296,151.320839,150.924194,2017-03-17T02:36:19Z
EP_6,Eucalyptus piperita,-33.37153796,151.320759,156.362915,2017-04-12T04:00:20Z
EP_7,Eucalyptus piperita,-33.37157803,151.320813,152.045715,2017-03-17T02:32:59Z
ES_1,Endiandra sieberi,-33.37100596,151.316348,107.156029,2017-03-17T04:06:06Z
ES_3,Endiandra sieberi,-33.37884396,151.323947,60.166424,2017-03-29T23:35:39Z
ES_4,Endiandra sieberi,-33.37905703,151.323972,55.849018,2017-03-29T23:49:21Z
ES_5,Endiandra sieberi,-33.37904999,151.324035,51.734657,2017-03-29T23:54:42Z
ES_6,Endiandra sieberi,-33.37588901,151.322696,39.936672,2017-05-29T04:55:48Z
ES_7,,,,,
LP_1,Leptospermum polygalifolium,-33.37247699,151.321234,136.603577,2017-03-17T00:46:30Z
LP_2,Leptospermum polygalifolium,-33.37221899,151.321108,140.584366,2017-03-17T01:22:22Z
LP_3,Leptospermum polygalifolium,-33.37181901,151.321057,147.747574,2017-03-17T01:38:15Z
LP_4,Leptospermum polygalifolium,-33.37185999,151.321129,146.364639,2017-03-17T01:42:52Z
LP_5,Leptospermum polygalifolium,-33.37223902,151.321041,147.824493,2017-04-06T02:22:18Z
PL_1,Persoonia linearis,-33.374033,151.323464,126.941376,2017-03-16T23:57:52Z
PL_2,Persoonia linearis,-33.37408799,151.323558,128.952682,2017-03-17T00:01:07Z
PL_3,Persoonia linearis,-33.37417399,151.323805,130.250183,2017-03-17T00:06:22Z
PL_4,Persoonia linearis,-33.37421003,151.323899,129.725418,2017-03-17T00:08:01Z
PL_5,Persoonia linearis,-33.37402202,151.324443,125.828964,2017-03-17T00:16:51Z
PL_7,Persoonia linearis,-33.37244899,151.321303,138.23143,2017-03-17T00:52:02Z
PU_1,Pittosporum undulatum,-33.37594097,151.322559,52.925301,2017-03-30T00:41:54Z
PU_2,Pittosporum undulatum,-33.37598003,151.322524,53.13131,2017-03-30T00:45:53Z
PU_3,Pittosporum undulatum,-33.37467698,151.320373,69.679558,2017-04-07T01:48:14Z
PU_4,Pittosporum undulatum,-33.37475603,151.320685,74.30159,2017-04-07T01:51:35Z
PU_5,Pittosporum undulatum,-33.374981,151.32072,64.853455,2017-04-27T00:56:17Z
SA_2,Sloanea australis,-33.37642,151.322495,38.05201,2017-03-30T00:14:48Z
SA_3,Sloanea australis,-33.37646702,151.322409,35.299618,2017-03-30T00:17:53Z
SA_4,Sloanea australis,-33.37638304,151.322542,35.69701,2017-03-30T00:20:20Z
SA_5,Sloanea australis,-33.37632,151.322332,35.621147,2017-03-30T00:24:36Z
SA_6,Sloanea australis,-33.37625496,151.322366,36.696354,2017-03-30T00:29:24Z
SA_7,Sloanea australis,-33.37484596,151.320762,68.038521,2017-05-23T02:37:27Z
SG_1,Syncarpia glomulifera,-33.37401297,151.323443,126.310921,2017-03-16T23:57:02Z
SG_2,Syncarpia glomulifera,-33.37400903,151.323578,126.466316,2017-03-16T23:48:33Z
SG_3,Syncarpia glomulifera,-33.37403904,151.324431,124.971367,2017-03-17T00:14:55Z
SG_5,Syncarpia glomulifera,-33.37230298,151.321155,140.450272,2017-03-17T01:08:55Z
SG_6,Syncarpia glomulifera,-33.37189201,151.321119,147.541016,2017-03-17T01:46:09Z
SO_1,Syzygium oleosum,-33.37102801,151.316296,108.66938,2017-03-17T03:51:43Z
SO_2,Syzygium oleosum,-33.37107704,151.316302,107.44957,2017-03-17T03:55:08Z
SO_3,Syzygium oleosum,-33.37907799,151.32403,50.863068,2017-03-29T23:56:36Z
SO_4,Syzygium oleosum,-33.37899199,151.323951,52.326408,2017-03-29T23:52:32Z
SO_5,Syzygium oleosum,-33.37495803,151.320709,63.015747,2017-04-27T01:13:13Z
SY_1,Synoum glandulosum,-33.37110504,151.316402,110.411957,2017-03-17T04:16:42Z
SY_2,Synoum glandulosum,-33.37597501,151.322663,70.341263,2017-04-07T02:51:51Z
SY_3,Synoum glandulosum,-33.37866803,151.323866,70.1464,2017-03-29T23:19:18Z
SY_4,Synoum glandulosum,-33.37885302,151.323998,60.035519,2017-03-29T23:36:36Z
SY_6,Synoum glandulosum,-33.37895402,151.323929,56.437588,2017-03-29T23:46:49Z
SY_9,Synoum glandulosum,-33.37898503,151.323925,45.920097,2017-04-27T05:50:57Z
TL_1,Trochocarpa laurina,-33.37098098,151.316302,108.386581,2017-03-17T03:48:53Z
TL_2,Trochocarpa laurina,-33.37873399,151.323714,83.296532,2017-03-29T23:07:26Z
TL_3,Trochocarpa laurina,-33.37894002,151.323952,58.183483,2017-03-29T23:42:44Z
TL_4,Trochocarpa laurina,-33.375959,151.322685,56.369045,2017-03-30T00:48:25Z
TL_6,Trochocarpa laurina,-33.375873,151.322686,43.920589,2017-05-29T05:00:59Z
