family,subfamily,genus,species,subspecies,trait,trait_value,also_known_as,pollinator_species,other info,data_type,latitude,longitude,data_collectors,data_contact,entity_type
fabaceae,faboideae,bossiaea,fragrans,fragrans,flower_visitor,honeybee,Apis mellifera,Apis mellifera,,in_field_observation,-33.91055,149.35734,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,pollination_vector_possible,honeybee,Apis mellifera,Apis mellifera,,in_field_observation,-33.91055,149.35734,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,flower_visitor,ant,Formicidae,Camponotus sp.,"Genus Camponotus (Carpenter ants, typical sugar ants and allies)",in_field_observation,-33.91059,149.35743,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,flower_visitor,ant,Formicidae ,Iridomyrmex sp.,"Genus Iridomyrmex (Rainbow, Tyrant and meat ants)",in_field_observation,-33.91032,149.35488,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,flower_visitor,bee,Hymenoptera clade Anthophila,Exoneura sp.,Genus Exoneura (reed bees),in_field_observation,-33.91036,149.35746,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,pollination_vector_possible,bee,Hymenoptera clade Anthophila,Exoneura sp.,Genus Exoneura (reed bees),in_field_observation,-33.91036,149.35746,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,flower_visitor,bee,Hymenoptera clade Anthophila,Lasioglossum (Chilalictus),"Genus Lasioglossum, subgenus Chilalictus",in_field_observation,-33.90738,149.35955,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,pollination_vector_possible,bee,Hymenoptera clade Anthophila,Lasioglossum (Chilalictus),"Genus Lasioglossum, subgenus Chilalictus",in_field_observation,-33.90738,149.35955,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,individual
fabaceae,faboideae,bossiaea,fragrans,fragrans,pollination_syndrome,biotic,,,based on floral morphology - don't know if this data is already in Austraits or not,,,,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,species
fabaceae,faboideae,bossiaea,fragrans,fragrans,pollination_syndrome,insect,,,based on floral morphology - don't know if this data is already in Austraits or not,,,,"Natalie E Allen, Chantelle AT Doyle",natalie.allen@unsw.edu.au,species
