sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds,height_max_m
E. odorata_Werners Rd_1_1_fruit,E. odorata_Werners Rd_1_fruit,Eucalyptus silvestris,Werners Rd,L.J. Pollock,NA,NA,NA,44.4,222,5,0.4,8,20,NA
E. odorata_Werners Rd_1_1_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.597938144,6.98,0.194,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_2_fruit,E. odorata_Werners Rd_1_fruit,Eucalyptus silvestris,Werners Rd,L.J. Pollock,NA,NA,NA,46,230,5,NA,NA,NA,NA
E. odorata_Werners Rd_1_2_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.653179191,6.32,0.173,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_3_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.004098361,9.77,0.244,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_4_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.042105263,11.52,0.285,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_5_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.051502146,9.44,0.233,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_1_6_leaf,E. odorata_Werners Rd_1_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.112318841,11.35,0.276,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_1_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.672839506,5.95,0.162,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_2_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.728448276,8.65,0.232,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_3_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.963099631,10.74,0.271,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_4_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.971608833,12.59,0.317,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_5_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.986607143,8.93,0.224,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_2_6_leaf,E. odorata_Werners Rd_2_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.065088757,6.87,0.169,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_1_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.820261438,11.69,0.306,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_2_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.025,8.05,0.2,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_3_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.034722222,5.81,0.144,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_4_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.101382488,8.9,0.217,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_5_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.268518519,9.22,0.216,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_3_6_leaf,E. odorata_Werners Rd_3_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.514619883,7.72,0.171,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_1_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.80078125,9.73,0.256,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_2_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.010752688,11.19,0.279,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_4_3_leaf,E. odorata_Werners Rd_4_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.243589744,6.62,0.156,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_1_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,3.561320755,7.55,0.212,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_2_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.101604278,7.67,0.187,NA,NA,NA,NA,NA,NA,NA
E. odorata_Werners Rd_5_3_leaf,E. odorata_Werners Rd_5_leaf,Eucalyptus silvestris,Werners Rd,L.J. Pollock,4.160784314,10.61,0.255,NA,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_1_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.93081761,4.66,0.159,NA,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_2_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.956521739,2.72,0.092,NA,NA,NA,NA,NA,NA,NA
E. oleosa_M08501_1_3_leaf,E. oleosa_M08501_1_leaf,Eucalyptus oleosa subsp. oleosa,M08501,L.J. Pollock,2.977653631,5.33,0.179,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_1_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.530831099,9.44,0.373,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_2_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.563106796,10.56,0.412,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_1_3_leaf,E. oleosa_No label_1_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.794303797,8.83,0.316,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_1_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.152284264,8.48,0.394,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_2_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.786111111,10.03,0.36,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_2_3_leaf,E. oleosa_No label_2_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.835443038,6.72,0.237,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_1_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.271428571,7.95,0.35,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_2_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.555102041,6.26,0.245,NA,NA,NA,NA,NA,NA,NA
E. oleosa_No label_3_3_leaf,E. oleosa_No label_3_leaf,Eucalyptus oleosa subsp. oleosa,No label,L.J. Pollock,2.679518072,11.12,0.415,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_1_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,2.905,5.81,0.2,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_2_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,2.905109489,3.98,0.137,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Old Growth_1_3_leaf,E. oleosa_Old Growth_1_leaf,Eucalyptus oleosa subsp. oleosa,Old Growth,L.J. Pollock,3.028368794,4.27,0.141,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_1_fruit,E. oleosa_Shearer Quarters_1_fruit,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,NA,NA,NA,27.6,138,5,0.3,3,10,NA
E. oleosa_Shearer Quarters_1_1_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.494736842,2.37,0.095,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_2_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.559701493,3.43,0.134,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_1_3_leaf,E. oleosa_Shearer Quarters_1_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.692307692,3.85,0.143,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_1_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.465753425,3.6,0.146,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_2_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.549450549,2.32,0.091,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_2_3_leaf,E. oleosa_Shearer Quarters_2_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.882352941,1.47,0.051,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_1_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.451612903,3.04,0.124,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_2_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.569343066,3.52,0.137,NA,NA,NA,NA,NA,NA,NA
E. oleosa_Shearer Quarters_3_3_leaf,E. oleosa_Shearer Quarters_3_leaf,Eucalyptus oleosa subsp. oleosa,Shearer Quarters,L.J. Pollock,2.644927536,3.65,0.138,NA,NA,NA,NA,NA,NA,NA
E. phenax_Murrayville S Rd_1_1_fruit,E. phenax_Murrayville S Rd_1_fruit,Eucalyptus phenax subsp. phenax,Murrayville S Rd,L.J. Pollock,NA,NA,NA,73.6,368,5,0.4,2,5,NA
E. porosa_Boinka FFG_1_1_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.43442623,4.19,0.122,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_1_2_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.891304348,1.79,0.046,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_1_3_leaf,E. porosa_Boinka FFG_1_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.97979798,3.94,0.099,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_1_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,2.979591837,2.92,0.098,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_2_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.349056604,3.55,0.106,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_2_3_leaf,E. porosa_Boinka FFG_2_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.682539683,2.32,0.063,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_1_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.114864865,4.61,0.148,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_2_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.13592233,3.23,0.103,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_3_3_leaf,E. porosa_Boinka FFG_3_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.255033557,4.85,0.149,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_1_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.18226601,6.46,0.203,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_2_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.295302013,4.91,0.149,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_4_3_leaf,E. porosa_Boinka FFG_4_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.508064516,4.35,0.124,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_5_1_leaf,E. porosa_Boinka FFG_5_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.098214286,3.47,0.112,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_5_2_leaf,E. porosa_Boinka FFG_5_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.188405797,2.2,0.069,NA,NA,NA,NA,NA,NA,NA
E. porosa_Boinka FFG_5_3_leaf,E. porosa_Boinka FFG_5_leaf,Eucalyptus porosa,Boinka FFG,L.J. Pollock,3.381443299,3.28,0.097,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_1_1_fruit,E. porosa_Hopepatch_1_fruit,Eucalyptus porosa,Hopepatch,L.J. Pollock,NA,NA,NA,98.4,492,5,0.4,4,10,NA
E. porosa_Hopepatch_1_1_leaf,E. porosa_Hopepatch_1_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,3.632850242,7.52,0.207,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_1_2_leaf,E. porosa_Hopepatch_1_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,4.020942408,7.68,0.191,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_1_3_leaf,E. porosa_Hopepatch_1_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,4.471428571,9.39,0.21,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_2_1_leaf,E. porosa_Hopepatch_2_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,4.562289562,13.55,0.297,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_2_2_leaf,E. porosa_Hopepatch_2_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,4.66,9.32,0.2,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_2_3_leaf,E. porosa_Hopepatch_2_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,5.038834951,10.38,0.206,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_3_1_leaf,E. porosa_Hopepatch_3_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,3.672297297,10.87,0.296,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_3_2_leaf,E. porosa_Hopepatch_3_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,3.786585366,6.21,0.164,NA,NA,NA,NA,NA,NA,NA
E. porosa_Hopepatch_3_3_leaf,E. porosa_Hopepatch_3_leaf,Eucalyptus porosa,Hopepatch,L.J. Pollock,4.368421053,14.94,0.342,NA,NA,NA,NA,NA,NA,NA
E. porosa_Unknown_2_1_fruit,E. porosa_Unknown_2_fruit,Eucalyptus porosa,Boinka FFG,L.J. Pollock,NA,NA,NA,31.2,156,5,0.4,4,10,NA
E. socialis_GS_1_1_leaf,E. socialis_GS_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),GS,L.J. Pollock,2.76109215,8.09,0.293,NA,NA,NA,NA,NA,NA,NA
E. socialis_GS_1_2_leaf,E. socialis_GS_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),GS,L.J. Pollock,3,4.95,0.165,NA,NA,NA,NA,NA,NA,NA
E. socialis_GS_1_3_leaf,E. socialis_GS_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),GS,L.J. Pollock,3.115107914,4.33,0.139,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_1_1_fruit,E. socialis_Hattah_1_fruit,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,NA,NA,NA,95,190,2,NA,NA,NA,NA
E. socialis_Hattah_1_1_leaf,E. socialis_Hattah_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.085271318,7.96,0.258,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_1_2_fruit,E. socialis_Hattah_1_fruit,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,NA,NA,NA,97,97,1,2,6,3,NA
E. socialis_Hattah_1_2_leaf,E. socialis_Hattah_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.123393316,12.15,0.389,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_1_3_leaf,E. socialis_Hattah_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.383399209,8.56,0.253,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_2_1_leaf,E. socialis_Hattah_2_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.051369863,8.91,0.292,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_2_2_leaf,E. socialis_Hattah_2_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.302040816,8.09,0.245,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_2_3_leaf,E. socialis_Hattah_2_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.483606557,4.25,0.122,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_3_1_leaf,E. socialis_Hattah_3_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,2.876635514,15.39,0.535,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_3_2_leaf,E. socialis_Hattah_3_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.11898017,11.01,0.353,NA,NA,NA,NA,NA,NA,NA
E. socialis_Hattah_3_3_leaf,E. socialis_Hattah_3_leaf,Eucalyptus socialis subsp. (socialis|viridans),Hattah,L.J. Pollock,3.188264059,13.04,0.409,NA,NA,NA,NA,NA,NA,NA
E. socialis_Unknown_1_1_leaf,E. socialis_Unknown_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Unknown,L.J. Pollock,2.598615917,7.51,0.289,NA,NA,NA,NA,NA,NA,NA
E. socialis_Unknown_1_2_leaf,E. socialis_Unknown_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Unknown,L.J. Pollock,3.014981273,8.05,0.267,NA,NA,NA,NA,NA,NA,NA
E. socialis_Unknown_1_3_leaf,E. socialis_Unknown_1_leaf,Eucalyptus socialis subsp. (socialis|viridans),Unknown,L.J. Pollock,3.235849057,3.43,0.106,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_1_1_fruit,E. wimmerensis_Little Desert N_1_fruit,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,NA,NA,NA,29.8,149,5,NA,NA,NA,NA
E. wimmerensis_Little Desert N_1_1_leaf,E. wimmerensis_Little Desert N_1_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.320610687,4.35,0.131,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_1_2_leaf,E. wimmerensis_Little Desert N_1_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.93006993,5.62,0.143,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_1_3_leaf,E. wimmerensis_Little Desert N_1_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,4.015873016,5.06,0.126,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_2_1_leaf,E. wimmerensis_Little Desert N_2_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,2.93902439,2.41,0.082,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_2_2_leaf,E. wimmerensis_Little Desert N_2_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,2.987804878,2.45,0.082,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_2_3_leaf,E. wimmerensis_Little Desert N_2_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.169934641,4.85,0.153,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_3_1_leaf,E. wimmerensis_Little Desert N_3_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,2.64957265,3.1,0.117,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_3_2_leaf,E. wimmerensis_Little Desert N_3_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,2.985294118,4.06,0.136,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_3_3_leaf,E. wimmerensis_Little Desert N_3_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.555555556,3.84,0.108,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_4_1_leaf,E. wimmerensis_Little Desert N_4_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.138157895,4.77,0.152,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_4_2_leaf,E. wimmerensis_Little Desert N_4_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.163120567,4.46,0.141,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_4_3_leaf,E. wimmerensis_Little Desert N_4_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.26119403,4.37,0.134,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_5_1_leaf,E. wimmerensis_Little Desert N_5_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,2.887640449,2.57,0.089,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_5_2_leaf,E. wimmerensis_Little Desert N_5_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.103448276,1.8,0.058,NA,NA,NA,NA,NA,NA,NA
E. wimmerensis_Little Desert N_5_3_leaf,E. wimmerensis_Little Desert N_5_leaf,Eucalyptus wimmerensis,Little Desert N,L.J. Pollock,3.20979021,4.59,0.143,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_1_1_leaf,Mallee Sp. 1_Little Desert N_1_leaf,Eucalyptus,Little Desert N,L.J. Pollock,2.980769231,7.75,0.26,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_1_2_leaf,Mallee Sp. 1_Little Desert N_1_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.061068702,8.02,0.262,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_1_3_leaf,Mallee Sp. 1_Little Desert N_1_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.178125,10.17,0.32,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_2_1_leaf,Mallee Sp. 1_Little Desert N_2_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.952380952,9.13,0.231,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_2_2_leaf,Mallee Sp. 1_Little Desert N_2_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.995884774,9.71,0.243,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_2_3_leaf,Mallee Sp. 1_Little Desert N_2_leaf,Eucalyptus,Little Desert N,L.J. Pollock,4.179310345,6.06,0.145,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_3_1_leaf,Mallee Sp. 1_Little Desert N_3_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3,17.46,0.582,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_3_2_leaf,Mallee Sp. 1_Little Desert N_3_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.016981132,15.99,0.53,NA,NA,NA,NA,NA,NA,NA
Mallee Sp. 1_Little Desert N_3_3_leaf,Mallee Sp. 1_Little Desert N_3_leaf,Eucalyptus,Little Desert N,L.J. Pollock,3.211845103,14.1,0.439,NA,NA,NA,NA,NA,NA,NA
Unknown Box_Murrayville S Rd_1_1_fruit,Unknown Box_Murrayville S Rd_1_fruit,Eucalyptus,Murrayville S Rd,L.J. Pollock,NA,NA,NA,21.2,106,5,0.1,4,40,NA
Unknown Mallee_Little Desert N_1_1_fruit,Unknown Mallee_Little Desert N_1_fruit,Eucalyptus,Little Desert N,L.J. Pollock,NA,NA,NA,23.8,119,5,NA,NA,NA,NA
Unknown_Murrayville S Rd_1_1_leaf,Unknown_Murrayville S Rd_1_leaf,Eucalyptus,Murrayville S Rd,L.J. Pollock,2.903703704,3.92,0.135,NA,NA,NA,NA,NA,NA,NA
Unknown_Murrayville S Rd_1_2_leaf,Unknown_Murrayville S Rd_1_leaf,Eucalyptus,Murrayville S Rd,L.J. Pollock,3.130434783,3.6,0.115,NA,NA,NA,NA,NA,NA,NA
Unknown_Murrayville S Rd_1_3_leaf,Unknown_Murrayville S Rd_1_leaf,Eucalyptus,Murrayville S Rd,L.J. Pollock,3.223404255,3.03,0.094,NA,NA,NA,NA,NA,NA,NA
NA,NA,Eucalyptus calycogona,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NA,NA,Eucalyptus cyanophylla,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NA,NA,Eucalyptus dumosa,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,NA,Eucalyptus gracilis,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
NA,NA,Eucalyptus costata subsp. murrayana,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NA,NA,Eucalyptus largiflorens,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
NA,NA,Eucalyptus leptophylla,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
NA,NA,Eucalyptus oleosa subsp. oleosa,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NA,NA,Eucalyptus porosa,multisite_mean,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
