species_name,original_name,Tasmania,Tasmania_rounded,Barlow,CPBR,GrassBase,RBGSYD,SAH,TMAG,WAH,Barlow_yes,CPBR_yes,GrassBase_yes,RBGSYD_yes,SAH_yes,TMAG_yes,WAH_yes,sum_matches,plant_height_outcome
Abrotanella forsterioides,Abrotanella forsteroides,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Abrotanella scapigera,Abrotanella scapigera,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acacia dealbata,Acacia dealbata,30,30,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia genistifolia,Acacia genistifolia,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia gunnii,Acacia gunnii,1,1,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia longifolia,Acacia longifolia,3,3,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia mearnsii,Acacia mearnsii,15,15,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia melanoxylon,Acacia melanoxylon,30,30,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia mucronata,Acacia mucronata,3.5,3.5,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia myrtifolia,Acacia myrtifolia,3,3,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia riceana,Acacia riceana,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acacia longifolia subsp. sophorae,Acacia sophorae,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acacia stricta,Acacia stricta,6,6,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia suaveolens,Acacia suaveolens,3,3,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia terminalis,Acacia terminalis,6,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia ulicifolia,Acacia ulicifolia,2,2,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia verniciflua,Acacia verniciflua,10,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acacia verticillata,Acacia verticillata,10,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acaena agnipila,Acaena agnipila,0.5,0.5,NA,NA,NA,0.35,0.26,NA,NA,NA,NA,NA,0,0,NA,NA,0,keep
Acaena echinata,Acaena echinata,0.4,0.4,NA,NA,NA,0.325,NA,NA,0.26,NA,NA,NA,0,NA,NA,0,0,keep
Acaena montana,Acaena montana,0.32,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acaena novae-zelandiae,Acaena novae-zelandiae,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acaena ovina,Acaena ovina,0.5,0.5,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,keep
Acaena pallida,Acaena pallida,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
Acaena anserovina,Acaena Xanserovina,0.32,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,keep
