narrow endemic,victoria,tasmania,forest,family,species name,ht (m),ll (mm),lw (mm),leaf form,habit,notes,notes2
0,1,0,,Loranthaceae,Amyema linophylla,?,120,2.5,simple,mistletoe,,
0,1,0,,Loranthaceae,Amyema miquelii,?,350,30,simple,mistletoe,,
0,1,0,,Loranthaceae,Amyema miraculosa,?,100,10,simple,mistletoe,,
0,1,0,,Loranthaceae,Amyema pendula,?,400,15,simple,mistletoe,,
0,1,0,,Loranthaceae,Amyema preissii,?,80,2.5,simple,mistletoe,,
0,1,0,,Loranthaceae,Amyema quandong,?,120,20,simple,mistletoe,,
0,1,0,,Loranthaceae,Dendrophthoe vitelliana,?,140,45,simple,mistletoe,,
0,1,0,,Loranthaceae,Lysiana exocarpei,?,150,10,simple,mistletoe,,
0,1,0,,Loranthaceae,Muelleriana celastroides,?,70,25,simple,mistletoe,,
0,1,0,,Loranthaceae,Muelleriana eucalyptoides,?,200,20,simple,mistletoe,,
0,0,1,1,Ericaceae,Prionotes cerinthoides,?,20,5,simple,scandent,will climb to at least 10m,
0,0,1,1,Pittosporaceae,Billardiera macrantha,?,60,10,simple,scandent,,
0,0,1,1,Pittosporaceae,Billardiera mutabilis,?,50,12,simple,scandent,,
0,0,1,1,Pittosporaceae,Billardiera nesophila,?,60,10,simple,scandent,,
0,0,1,1,Pittosporaceae,Billardiera viridiflora,?,60,10,simple,scandent,,
0,1,0,1,Apocynaceae,Parsonsia eucalyptophylla,?,240,30,simple,scandent,tall climber,
0,1,0,1,Menispermaceae,Sarcopetalum harveyanum,?,150,150,simple,scandent,tall rainforest climber (~20m),
0,1,0,,Asclepiadaceae,Marsdenia flavescens,?,120,45,simple,scandent,to 5 m,
0,1,0,,Asclepiadaceae,Marsdenia rostrata,?,150,80,simple,scandent,to 10 m,
0,1,0,,Celastraceae,Celastrus australis,?,100,50,simple,scandent,,
0,1,0,,Dilleniaceae,Hibbertia dentata,?,56,28,simple,scandent,branches to 2.5m,
0,1,0,,Pittosporaceae,Billardiera bignoniaceae,?,50,25,simple,scandent,,
0,1,0,,Pittosporaceae,Billardiera cymosa,?,60,15,simple,scandent,,
0,1,0,,Pittosporaceae,Billardiera scandens,?,70,18,simple,scandent,,
0,1,0,,Ranunculaceae,Clematis glycinoides,?,80,50,simple,scandent,climber to 15 m,
0,1,0,,Vitaceae,Cissus hypoglauca,?,150,40,compound,scandent,robust climber,
0,1,1,1,Apocynaceae,Parsonsia brownii,?,200,40,simple,scandent,tall climber,
0,1,1,1,Bignoniaceae,Pandorea pandorana,?,80,30,compound,scandent,to 6m or more,
0,1,1,1,Dilleniaceae,Hibbertia hirticalyx,0.7,14,6,simple,scandent,,
0,1,1,1,Pittosporaceae,Billardiera longiflora,?,50,10,simple,scandent,,
0,1,1,1,Polygalaceae,Comesperma volubile,?,45,9,simple,scandent,almost leafless,
0,1,1,1,Polygonaceae,Muehlenbeckia gunnii,?,60,20,simple,scandent,climbing to 3 m,
0,1,1,1,Ranunculaceae,Clematis aristata,?,80,50,compound,scandent,climber to 15 m,
0,1,1,1,Ranunculaceae,Clematis clitoroides,?,40,15,simple,scandent,climber to 15 m,
0,1,1,1,Ranunculaceae,Clematis decipiens,?,70,30,simple,scandent,climber to 10 m,
0,1,1,1,Ranunculaceae,Clematis microphylla,?,40,15,compound,scandent,climber to 10 m,
1,0,1,0,Asteraceae,Odixia achlaena,2,25,1,simple,shrub,,
0,0,1,0,Asteraceae,Olearia erubescens,1,55,15,simple,shrub,,
0,0,1,0,Asteraceae,Olearia hookeri,1,5,1,simple,shrub,,
0,0,1,0,Asteraceae,Olearia ledifolia,0.6,30,1.5,simple,shrub,,
0,0,1,0,Asteraceae,Olearia obcordata,0.6,10,9,simple,shrub,,
0,0,1,0,Asteraceae,Ozothamnus bracteolatus,2,40,2,simple,shrub,,
