taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes,collection_date,basis_of_record
Thysanotus patersonii,species,,,plant_growth_form,"geophyte, climber",geophyte climber,geophyte climber,mode,,,,,,"Table 1, p.3",both terms exist in plant_growth_form's allowed_values_levels; space-delimited as simultaneous values.,unknown,field
Thysanotus manglesianus,species,,,plant_growth_form,"geophyte, climber",geophyte climber,geophyte climber,mode,,,,,,"Table 1, p.3",both terms exist in plant_growth_form's allowed_values_levels; space-delimited as simultaneous values.,unknown,field
Thysanotus patersonii,population,,KH,flower_diameter,1.6,,1.6,mean,cm,CI_95,0.04,20,"species comparison, t=8.61, p<0.001 vs T. manglesianus","Table 1, p.3; Results p.2","matches AusTraits flower_diameter directly (unit cm, no conversion needed). n=20 given for the t-test comparing the two species; unclear if per-species or combined.; site not stated in source; KH used as T. patersonii's primary long-term monitored population (7 years of study per Results p.5), the most-studied of its two sites.",unknown,field
Thysanotus manglesianus,population,,NR,flower_diameter,2.0,,2.0,mean,cm,CI_95,0.10,20,"species comparison, t=8.61, p<0.001 vs T. patersonii","Table 1, p.3; Results p.2","matches AusTraits flower_diameter directly (unit cm, no conversion needed). n=20 given for the t-test comparing the two species; unclear if per-species or combined.; site not stated in source; NR used as T. manglesianus's primary/most-studied site (all breeding-system trials and most other T. manglesianus work occurred there per Methods).",unknown,field
Thysanotus patersonii,species,,,flower_fertile_stamens_count,6,,6,raw,{count},,,,,"Table 1, p.3",6 equal stamens.,unknown,field
Thysanotus manglesianus,species,,,flower_fertile_stamens_count,6 (3 short + 3 long),,6,raw,{count},,,,,"Table 1, p.3; Results p.2","dimorphic: 3 short erect + 3 longer curved, totalling 6. Number of androecium structural whorls (2) and merism (3 per whorl) could also be derived from this if that trait pair is wanted.",unknown,field
Thysanotus patersonii,species,,,flower_anther_dehiscence,slit extending from the apex,short_apical_slits,short_apical_slits,mode,,,,,,"Table 1, p.3",medium-confidence match -- 'short_apical_slits' chosen over 'longitudinal_slit' because the source specifically anchors the slit at the apex; worth a curator's second look.,unknown,field
Thysanotus manglesianus,species,,,flower_anther_dehiscence,apical pore,poricidal,poricidal,mode,,,,,,"Table 1, p.3",high-confidence match.,unknown,field
Thysanotus patersonii,population,,KH,pollination_syndrome,basically autogamous; anther slits held very close to stigma,self,self,mode,,,,,,Discussion p.8,"floral-form-predicted syndrome, matched to pollination_syndrome's 'self'.; site not stated in source; KH used as T. patersonii's primary long-term monitored population (7 years of study per Results p.5), the most-studied of its two sites.",unknown,field
Thysanotus patersonii,population,,KH,pollination_vector_known,T. patersonii is basically autogamous and does not need a pollinator to produce fruit,autonomous,autonomous,mode,,,,,,Discussion p.8,"actual/observed system, mapped to pollination_vector_known (not a real trait named 'pollination_system'); 'self' corrected to 'autonomous', the actual allowed_values_levels term.; site not stated in source; KH used as T. patersonii's primary long-term monitored population (7 years of study per Results p.5), the most-studied of its two sites.",unknown,field_experiment
