site,Species,Nfixer,leaf size (cm2),LMA (g/m2),Cmass %,Nmass %,Pmass %,Narea (g/m2),Parea (g/m2),Wood density
Kakadu fireplot 41_96,Acacia aulacocarpa,yes,10.73,99.27,49.69,3.37,0.076,3.34,0.08,
Kakadu fireplot 37_96,Acacia difficilis,yes,37.09,119.35,57.44,1.71,0.069,2.07,0.08,
Western Arnhem Land WALFA plot 59_96,Acacia gonocarpa,yes,0.41,230.45,54.97,1.80,,4.09,,0.61
Kakadu fireplot 15_96,Acacia lamprocarpa,yes,10.13,252.95,55.08,1.85,0.052,4.65,0.13,
Western Arnhem Land WALFA plot 71_96,Acacia lamprocarpa,yes,23.40,133.69,56.05,1.93,0.055,2.54,0.07,0.62
Kakadu fireplot 41_96,Acacia latescens,yes,9.64,150.65,52.10,1.45,0.041,2.17,0.07,
Western Arnhem Land WALFA plot 58_96,Acacia mimula,yes,22.33,133.43,58.02,2.82,0.050,3.76,0.07,0.61
Kakadu fireplot 33_96,Acacia oncinocarpa,yes,9.01,141.85,50.70,2.93,0.087,4.10,0.08,
Kakadu fireplot 41_96,Acacia oncinocarpa,yes,20.88,183.43,56.87,2.71,0.063,5.03,0.13,
Western Arnhem Land WALFA plot 71_96,Acacia oncinocarpa,yes,10.82,90.92,50.11,3.09,0.066,2.81,0.06,0.51
Western Arnhem Land WALFA plot 72_96,Acacia oncinocarpa,yes,17.95,97.82,54.59,2.94,0.055,2.86,0.05,0.46
Western Arnhem Land WALFA plot 33_96,Acacia platycarpa,yes,58.24,191.73,60.66,1.48,0.031,2.84,0.06,0.58
Western Arnhem Land WALFA plot 31_96,Acacia sp,yes,0.97,154.58,53.26,1.32,0.024,2.02,0.04,0.66
Western Arnhem Land WALFA plot 32_96,Acacia sp,yes,1.06,169.27,52.20,1.10,0.028,1.85,0.05,0.73
Western Arnhem Land WALFA plot 33_96,Acacia sp,yes,0.88,181.93,57.52,1.29,0.029,2.33,0.05,0.71
