Species name,ID,LMA (g m-2),LDMC (mg g-1),% C,C:N,d13C (per mille),psi100 (Mpa),Dmean (mm-1),VD # (mm-2),SSD (g cm-3),Elevation (m),Inundation (days),yPD (MPa),leaf_phenology
Atalaya hemiglauca,AH01,129.805,456.16,44,67.3,-33.12,-2.141125,14.24028,121.6,0.704,6.62,38,,evergreen
Atalaya hemiglauca,AH02,121.023,418.951,43.1,69.2,-31.38,-1.955153,12.07969,84.8,0.581,6.85,10,-2.05,
Atalaya hemiglauca,AH03,152.136,506.853,43.7,42.9,-30.62,-2.91193,18.2,87.2,0.668,7.69,6,-2.2,
Atalaya hemiglauca,AH04,149.297,499.844,42,41.2,-30.42,-2.647654,19.8,67.2,0.758,7.59,6,,
Atalaya hemiglauca,AH05,151.109,482.079,44.2,35.9,-30.14,-2.5,12.98331,60,0.761,8.42,5,,
Atalaya hemiglauca,AH06,168.395,513.422,44.9,24.6,-27.96,-2.980446,17.331,160.8,0.698,11.07,3,-3.75,
Atalaya hemiglauca,AH07,154.214,491.587,47.3,30.2,-27.78,-2.5,23.7,123.2,0.678,11.76,3,,
Atalaya hemiglauca,AH08,193.251,487.97,44.7,29,-29.3,-3.237381,20,85.6,0.699,8.98,00,-3.25,
Atalaya hemiglauca,AH09,155.456,491.299,46.2,29.3,-29.99,-2.750428,20.9,44.8,0.699,10.72,3,,
Atalaya hemiglauca,AH10,133.835,497.755,44.3,34.5,-31.27,-2.794474,20.7,172,0.917,6.76,38,-2,
Barringtonia acutangula,BA01,80.259,319.33,48.8,44,-30.23,-1.201477,24.5,198.4,0.352,5.97,38,,deciduous
Barringtonia acutangula,BA02,85.871,353.975,46.5,38.9,-31.27,-1.458412,26.9,124.6,0.343,4.39,38,-0.55,
Barringtonia acutangula,BA03,66.393,313.518,46.7,29.2,-31.28,-1.274887,25.2,150.8,0.314,3.46,38,-0.5,
Barringtonia acutangula,BA04,70.369,308.465,47.5,55,-32.44,-0.827086,23.8,230.4,0.347888889,7.35,10,,
Barringtonia acutangula,BA05,73.902,343.179,46.3,38.6,-31.44,-1.252864,21.5,193,0.346,6.85,10,,
Barringtonia acutangula,BA06,71.09,341.696,47.5,42.6,-30.46,-1.37032,25,229.6,0.354,7.5,18,,
Barringtonia acutangula,BA07,74.31,323.531,48.1,82.4,-31.68,-1.245523,25.6,80.8,0.373,4.74,38,-0.45,
Barringtonia acutangula,BA08,71.932,334.599,47.1,47.6,-32.62,-1.064445,19.3,141.6,0.391,5.58,38,-0.55,
Barringtonia acutangula,BA09,68.66,317.648,46.5,34.6,-29.89,-1.407025,36.1,69.6,0.304,4.45,38,,
Barringtonia acutangula,BA10,78.259,340.574,47.8,32.5,-29.38,-1.698218,23.4,198.4,0.354,8.29,36,-0.2,
Lysiphyllum cunninghamii,LC01,150.832,494.569,41.2,41.5,-28.05,-2.42253,27.37907,17.64,0.622,9.35,6,,evergreen deciduous
Lysiphyllum cunninghamii,LC02,149.512,532.562,41.4,46.6,-30.34,-2.941294,31.19403,56,0.701,8.21,3,,
Lysiphyllum cunninghamii,LC03,117.017,534.066,44.6,33.4,-28.06,-2.5,22.09423,22,0.703,10.93,4,,
Lysiphyllum cunninghamii,LC04,141.704,540.506,45.1,27.7,-27.92,-3.315685,32.15167,24.8,0.693,11.01,3,,
Lysiphyllum cunninghamii,LC05,130.219,526.926,44.5,20.1,-28.64,-2.500118,23.12688,31.2,0.716,10.56,6,-3.85,
Lysiphyllum cunninghamii,LC06,123.583,510.529,45.4,46,-26.96,-1.429048,36.53218,15.2,0.711,10.19,3,,
Lysiphyllum cunninghamii,LC07,119.726,507.022,46.4,35.4,-29.83,-2.070162,32.033,44,0.68,12.29,00,-2.85,
Lysiphyllum cunninghamii,LC08,127.747,490.627,42.1,40.8,-27.66,-2.354014,32.17129,14.4,0.634,10.61,10,-2.8,
Lysiphyllum cunninghamii,LC09,109.395,483.396,44.2,23.1,-29.21,-2.968211,40.19758,11.2,0.708,11.03,31,-2.2,
Lysiphyllum cunninghamii,LC10,127.158,540.017,44,26.4,-29.01,-2.5,31.0522,24.8,0.784,10.87,5,-3.45,
Eucalyptus camaldulensis subsp. obtusa,EC01,212.375,517.983,48.7,96.7,-32.9,-1.886637,33.46978,53.6,0.571,7.67,36,,evergreen
Eucalyptus camaldulensis subsp. obtusa,EC02,137.206,490.308,46.9,79.8,-32.05,-2.038351,26.28469,116,0.615,7.56,19,,
Eucalyptus camaldulensis subsp. obtusa,EC03,173.927,469.632,47.4,74.1,-30.52,-1.548951,26.3,86.4,0.516,7.71,6,,
Eucalyptus camaldulensis subsp. obtusa,EC04,173.094,491.974,47.3,73.9,-29.88,-1.605232,24,121.6,0.535,10.82,00,-0.85,
Eucalyptus camaldulensis subsp. obtusa,EC05,181.958,480.778,47.3,99.1,-29.11,-1.61502,23.4,74.4,0.54,11.85,2,-0.95,
Eucalyptus camaldulensis subsp. obtusa,EC06,187.989,492.34,48.6,105.5,-31.4,-1.314039,22.2,200,0.56,10.02,5,-0.55,
Eucalyptus camaldulensis subsp. obtusa,EC07,196.702,478.6,49,128.2,-34.17,-1.216159,23.8,155.2,0.592,6.14,38,-0.6,
Eucalyptus camaldulensis subsp. obtusa,EC08,169.392,470.464,46.6,110,-32.28,-1.659066,31.4,72,0.592,5.58,38,,
