flora,taxon_name,simplified_phrase,fire,description,fire_intensity,fire_severity,fire_season,fire_response,fire_response_source,post_fire_recruitment,post_fire_recruitment_source,site,habitat_conditions,bud_bank_location,bud_bank_location_source,canopy_seedbank,changes_fire_regime,clonal_spread_mechanism,dispersal_syndrome,dispersal_syndrome_source,dispersers,dispersers_source,fire_and_establishing,fire_ephemeral,fire_exposure_level,fire_response_juvenile,fire_response_juvenile_source,fire_response_on_maturity,fire_tolerance,life_history,life_history_ephemeral,post_fire_flowering,post_fire_flowering_source,reproductive_maturity,reproductive_maturity_secondary_after_fire,seed_longevity_categorical,seed_release,seed_storage_location,seed_storage_location_source,serotiny,soil_seedbank,soil_seedbank_source,storage_organ,threats,time_from_fire_to_fruit,original_text
Florabase_long,Acacia baileyana,killed by fire; regenerates from seed,fire response. fire stimulates mass germination of seed and generally kills adult plants.,"general biology. growth form. shrub/small tree. reproduction. seed. dispersal. water, bird, ants, slashing, soil movement, garden refuse. time to first flowering. 2+ years. vegetative regeneration strategy. occasionally resprouts. does not produce root suckers. seedbank persistence. long, 10+ years. fire response. fire stimulates mass germination of seed and generally kills adult plants. ;",NA,NA,NA,fire_killed,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General Biology. Growth form. Shrub/Small tree. Reproduction. Seed. Dispersal. Water, bird, ants, slashing, soil movement, garden refuse. Time to first flowering. 2+ years. Vegetative regeneration strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of seed and generally kills adult plants."
Florabase_long,Acacia dealbata,resprouts from base and root suckers and regenerates from seed after fire; soil seedbank,fire response. fire stimulates mass germination of soil-stored seed. adult plants will resprout from base and from root suckers following fire.,"general biology. growth form. shrub/small tree. reproduction. seed, root suckers. dispersal. water, bird, ants, soil movement, garden refuse. time to first flowering. 4-5 years. toxicity. can be toxic to stock. can cause skin irritation in humans. vegetative regeneration strategy. resprouts, produces root suckers, stem layering. woody structure. diffuse porous. seedbank persistence. long, 5+ years. fire response. fire stimulates mass germination of soil-stored seed. adult plants will resprout from base and from root suckers following fire. ;",NA,NA,NA,resprouts,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,basal_buds bud-bearing_root,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Shrub/Small tree. Reproduction. Seed, root suckers. Dispersal. Water, bird, ants, soil movement, garden refuse. Time to first flowering. 4-5 years. Toxicity. Can be toxic to stock. Can cause skin irritation in humans. Vegetative regeneration strategy. Resprouts, produces root suckers, stem layering. Woody structure. diffuse porous. Seedbank persistence. Long, 5+ years. Fire response. Fire stimulates mass germination of soil-stored seed. Adult plants will resprout from base and from root suckers following fire."
NA,Acacia dealbata subsp. dealbata,resprouts from base and root suckers and regenerates from seed after fire; soil seedbank (inferred from species),NA,NA,NA,NA,NA,resprouts,inferred_from_species,post_fire_recruitment,inferred_from_species,NA,NA,basal_buds bud-bearing_root,inferred_from_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,inferred_from_species,NA,soil_seedbank_present,inferred_from_species,NA,NA,NA,NA
Florabase_long,Acacia decurrens,resprouts from base after fire; regenerates from seed after fire; soil-stored seedbank,fire response. fire stimulates mass germination of soil stored seed. adult plants can resprout from base following fire.,"general biology. growth form. small tree. reproduction. seed. dispersal. water, birds, ants, wind, garden refuse, soil movement. vegetative regeneration strategy. resprouts. seedbank persistence. long, 5+ years. fire response. fire stimulates mass germination of soil stored seed. adult plants can resprout from base following fire. ;",NA,NA,NA,resprouts,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,basal_buds,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Small tree. Reproduction. Seed. Dispersal. Water, birds, ants, wind, garden refuse, soil movement. Vegetative regeneration strategy. Resprouts. Seedbank persistence. Long, 5+ years. Fire response. Fire stimulates mass germination of soil stored seed. Adult plants can resprout from base following fire."
Florabase_long,Acacia elata,sometimes resprouts from base after fire; regenerates from seed after fire; soil-stored seedbank,fire response. occasionally resprouts from base following fire.,"general biology. growth form. tree. reproduction. seed. dispersal. water, ants, birds, wind, garden refuse, soil movement. vegetative regeneration strategy. occasionally resprouts. does not produce root suckers. seedbank persistence. long, 5+ years. fire response. mass germination of soil stored seed. occasionally resprouts from base following fire. ;",NA,NA,NA,fire_killed resprouts,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Tree. Reproduction. Seed. Dispersal. Water, ants, birds, wind, garden refuse, soil movement. Vegetative regeneration strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 5+ years. Fire response. Mass germination of soil stored seed. Occasionally resprouts from base following fire."
Florabase_long,Acacia floribunda,resprouts from root suckers and regenerates from seed after fire; soil-stored seedbank,fire response. fire stimulates mass germination of soil stored seed. adult plants can resprout from root suckers following fire.,"general biology. growth form. shrub/small tree. reproduction. seed. dispersal. water, bird, ants, soil movement, garden refuse. vegetative regeneration strategy. produces root suckers. seedbank persistence. long, 5+ years. fire response. fire stimulates mass germination of soil stored seed. adult plants can resprout from root suckers following fire. ;",NA,NA,NA,resprouts,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,bud-bearing_root,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General Biology. Growth form. Shrub/Small tree. Reproduction. Seed. Dispersal. Water, bird, ants, soil movement, garden refuse. Vegetative regeneration strategy. Produces root suckers. Seedbank persistence. Long, 5+ years. Fire response. Fire stimulates mass germination of soil stored seed. Adult plants can resprout from root suckers following fire."
Florabase_long,Acacia iteaphylla,killed by fire; regenerates from seed,fire response. fire stimulates mass germination of seed and generally kills adult plants.,"general biology. growth form. shrub. reproduction. seed. dispersal. water, birds, ants, garden refuse, soil movement. time to first flowering. 2 years. vegetative regeneration strategy. does not resprout or produce root suckers. seedbank persistence. soil, long, 5+ years. fire response. fire stimulates mass germination of seed and generally kills adult plants. ;",NA,NA,NA,fire_killed,direct_from_flora,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"General Biology. Growth form. Shrub. Reproduction. Seed. Dispersal. Water, birds, ants, garden refuse, soil movement. Time to first flowering. 2 years. Vegetative regeneration strategy. Does not resprout or produce root suckers. Seedbank persistence. Soil, long, 5+ years. Fire response. Fire stimulates mass germination of seed and generally kills adult plants."
Florabase_long,Acacia longifolia,germination is stimulated by fire; soil-stored seedbank,fire response. fire stimulates mass germination of soil stored seed.,"general biology. growth form. shrub/small tree. reproduction. seed. dispersal. water, bird, ants, soil movement, garden refuse. time to first flowering. 2 years. toxicity. cyanides in the leaves can lead to stock poisoning. vegetative regeneration strategy. occasionally resprouts. does not produce root suckers. seedbank persistence. long, 10+ years. fire response. fire stimulates mass germination of soil stored seed. ;",NA,NA,NA,NA,NA,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Shrub/Small tree. Reproduction. Seed. Dispersal. Water, bird, ants, soil movement, garden refuse. Time to first flowering. 2 years. Toxicity. Cyanides in the leaves can lead to stock poisoning. Vegetative regeneration strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of soil stored seed."
Florabase_long,Acacia longifolia subsp. longifolia,germination is stimulated by fire; soil-stored seedbank,fire response. fire stimulates mass germination of soil stored seed.,"general biology. growth form. shrub/small tree. reproduction. seed. dispersal. water, bird, ants, soil movement, garden refuse. time to first flowering. 2 years. toxicity. cyanides in the leaves can lead to stock poisoning. vegetative regeneration strategy. occasionally resprouts. does not produce root suckers. seedbank persistence. long, 10+ years. fire response. fire stimulates mass germination of soil stored seed. ;",NA,NA,NA,NA,NA,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Shrub/Small Tree. Reproduction. Seed. Dispersal. Water, bird, ants, soil movement, garden refuse. Time to first flowering. 2 years. Toxicity. Cyanides in the leaves can lead to stock poisoning. Vegetative Regeneration Strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of soil stored seed."
Florabase_long,Acacia longifolia subsp. sophorae,germination is stimulated by fire; soil-stored seedbank,fire response. fire stimulates mass germination of soil stored seed.,"general biology. growth form. shrub/small tree. reproduction. seed. dispersal. water, bird, ants, soil movement, garden refuse. time to first flowering. 2 years. toxicity. cyanides in the leaves can lead to stock poisoning. vegetative regeneration strategy. occasionally resprouts. does not produce root suckers. seedbank persistence. long, 10+ years. fire response. fire stimulates mass germination of soil stored seed. ;",NA,NA,NA,NA,NA,post_fire_recruitment,direct_from_flora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil,direct_from_flora,NA,soil_seedbank_present,direct_from_flora,NA,NA,NA,"General Biology. Growth form. Shrub/Small Tree. Reproduction. Seed. Dispersal. Water, bird, ants, soil movement, garden refuse. Time to first flowering. 2 years. Toxicity. Cyanides in the leaves can lead to stock poisoning. Vegetative Regeneration Strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of soil stored seed."
