trait_name,lookup,value
plant_growth_form,Floater,aquatic
plant_growth_form,Climber,climber
plant_growth_form,Trailer,climber
plant_growth_form,Twiner,climber
plant_growth_form,Vine,climber
plant_growth_form,vine,climber
plant_growth_form,Epiphyte,epiphyte
plant_growth_form,Graminoid,graminoid
plant_growth_form,Grass,graminoid
plant_growth_form,Reed,graminoid
plant_growth_form,Sedge,graminoid
plant_growth_form,sedge,graminoid
plant_growth_form,Tussock,graminoid
plant_growth_form,Herb,herb
plant_growth_form,HERB,herb
plant_growth_form,"Herb, cree",herb
plant_growth_form,"Herb, Pere",herb
plant_growth_form,"Herb, wood",herb
plant_growth_form,Woody herb,herb
plant_growth_form,PARA,parasite
plant_growth_form,para,parasite
plant_growth_form,Shrub,shrub
plant_growth_form,mallee,shrub tree
plant_growth_form,shrub/tree,shrub tree
plant_growth_form,Tree,tree
plant_growth_form,Saprophyte,saprophyte
serotiny,no,0
serotiny,yes,1
