name original,growth form,flowering duration,maximum height (m),dispersal mode,seritony,plant longevity
Dioscorea transversa,Climber,Sept - Oct,,anemochory,,
Glycine clandestina,climber,All year,,,no,
Cissus hypoglauca,climber,Nov - Dec,,,no,
Desmodium brachypodum,climber,,0.05,,no,
Desmodium varians,climber,Dec - Feb,0.10,,no,
Comesperma volubile,climber,Aug - Nov,,anemochory,no,
Clematis glycinoides,climber,Aug. - Oct,,anemochory,no,
Clematis aristata,climber,Oct - Nov,,anemochory,no,
Tylophora barbata,climber,Aug - Dec,,anemochory,,
Cissus antarctica,climber,Dec - Jan,,endozoochory,no,
Stephania japonica,climber,Dec - Jan,,endozoochory,no,
Cayratia clematidea,climber,Jan - Feb,,endozoochory,no,
Palmeria scandens,climber,June - Aug,,endozoochory,no,
Sarcopetalum harveyanum,climber,Oct - Dec,,endozoochory,no,
Passiflora herbertiana,climber,Oct -Dec,,endozoochory,no,
Billardiera scandens,climber,Sept - Dec,,endozoochory,no,
Morinda jasminoides,Climber,Nov - Dec,,endozoochory,,
Geitonoplesium cymosum,Climber,Oct - Dec,,endozoochory,,
Eustrephus latifolius,Climber,Oct - Nov,,endozoochory,,
Desmodium rhytidophyllum,climber,Dec - Feb,0.05,exo-zoochory,no,
Kennedia rubicunda,climber,July - Nov,,myrmecochory,no,
Hardenbergia violacea,climber,July - OCt,,myrmecochory,no,
Dendrobium speciosum,Epiphyte,Aug - Sept,0.40,,,
Bulbophyllum exiguum,Epiphyte,Mar - May,0.10,,,
Liparis reflexa,Epiphyte,Mar - May,0.20,,,
Sarcochilus hillii,Epiphyte,Oct - Feb,0.10,,,
Dendrobium pugioniforme,Epiphyte,Oct - Nov,0.30,,,
Plectorrhiza tridentata,Epiphyte,Sept - Dec,0.10,,,
Sarcochilus falcatus,Epiphyte,Sept - Nov,0.15,,,
Dendrobium linguiforme,Epiphyte,Sept - Oct,0.20,,,
Dendrobium aemulum,Epiphyte,Sept - Oct,0.30,,,
Posidonia australis,Floater,,,,,
Zostera capricorni,Floater,,,,,
Vallisneria gigantea,Floater,Feb - Apr,,,,
Restio complanatus,Graminoid,Nov - Dec,0.70,,,
Restio gracilis,Graminoid,Sept - Dec,0.70,,,
Restio tetraphyllus,Graminoid,Sept - Nov,1.00,,,
Lomandra glauca,Graminoid,July - Oct,0.20,myrmecochory,,
Stypandra umbellata,Graminoid,Aug - Oct,0.30,,,
Blandfordia nobilis,Graminoid,Dec - Feb,0.60,,,
Blandfordia grandiflora,Graminoid,Dec - Jan,0.50,,,
Lepyrodia scariosa,Graminoid,Jan - Feb,1.00,,,
Leptocarpus tenax,Graminoid,Oct - Dec,1.00,,,
Sowerbaea juncea,Graminoid,Oct - Nov,0.40,,,
Juncus bufonius,Graminoid,,0.10,,,annual
Lomandra micrantha,Graminoid,April - June,0.30,,,
Xyris operculata,Graminoid,Aug - Nov,0.60,,,
Arthropodium minus,Graminoid,Nov - Dec,0.20,,,
