Column heading,Extant/Extinct,Native/Exotic,Species,Family,FOREST,WOODLAND,SCRUBLAND,DWARF SCRUB,GRASSLAND,COASTAL DUNES,H2O FRESH,H2O SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,Growth form,Life form,Plant height,Clonality ,Clonality_b,Dispersal mode,Nutrient uptake strategy,Spinescence,Seed Mass,Pollination System,Photosynthetic Pathway,SLA
2,1,0,Adiantum aethiopicum,ADIANTACEAE,1,1,1,,,,,,,1,,1,3,0.45,3,a,2,2,0,0.0001,0,1,39.31
,1,,Adiantum capillus-veneris,ADIANTACEAE,1,1,,,,,,,,1,,4,4,0.36,3,a,2,2,0,0.0001,0,1,
,1,,Anogramma leptophylla,ADIANTACEAE,1,,,,,,,,,1,,4,4,0.12,3,a,2,12,0,0.0001,0,1,
2,1,0,Cheilanthes austrotenuifolia,ADIANTACEAE,1,1,1,,,,,,,,,1,3,0.5,3,a,2,2,0,0.0001,0,1,16.44
2,1,0,Cheilanthes distans,ADIANTACEAE,,,1,,,,,,,1,,1,3,0.3,3,a,2,2,0,0.0001,0,1,
,1,,Cheilanthes lasiophylla,ADIANTACEAE,,1,1,,,,,,,,,1,4,0.25,3,a,2,2,0,0.0001,0,1,
2,1,0,Cheilanthes sieberi ssp sieberi,ADIANTACEAE,,1,,,1,,,,,,,1,3,0.4,3,a,2,2,0,0.0001,0,1,
,1,,Cheilanthes tenuifolia,ADIANTACEAE,1,,,,,,,,,,,1,4,0.63,3,a,2,2,0,0.0001,0,1,
4,1,0,Carpobrotus rossii,AIZOACEAE,,1,,,,1,,,,,,11,2,0.1,1,,3,12,0,,1,,
4,1,0,Disphyma crassifolium ssp clavellatum,AIZOACEAE,,1,,1,,,,,,,,1,2,0.05,1,,1,,0,,1,,
4,1,0,Tetragonia implexicoma,AIZOACEAE,,1,,,,1,,,,,,15,1,3,1,,1,2,0,,0,,
4,1,0,Tetragonia tetragonioides,AIZOACEAE,,,,,,1,,,,,,1,2,0.08,1,,1,2,0,,0,,
4,1,0,Alternanthera denticulata,AMARANTHACEAE,1,1,,,,,,,,,,1,3,0.3,1,,2,12,0,,0,,
,1,,Hemichroa Diandra,AMARANTHACEAE,,,,,,,,,,,,4,2,0.2,1,,2,,0,,,2,
4,1,0,Hemichroa pentandra,AMARANTHACEAE,,,,,,,,,,,,1,3,0.05,3,a,2,,0,,,2,
,1,,Ptilotus erubescens,AMARANTHACEAE,,,1,,,,,,,,,3,5,0.4,1,,2,12,0,,1,2,
,1,,Ptilotus nobilis,AMARANTHACEAE,,,1,,,1,,,,,,7,3,0.5,1,,2,12,0,,1,2,
,1,,Ptilotus polystachyus,AMARANTHACEAE,,,1,,,,,,,,,3,5,1.5,1,,2,12,0,,1,2,
4,1,0,Ptilotus spathulatus,AMARANTHACEAE,,1,,,1,1,,,,,,1,3,0.06,1,,2,12,0,3.76,1,2,
,1,,Calostemma purpureum,AMARYLLIDACEAE,1,1,1,,1,,1,,,,,1,4,0.3,3,c,1,,0,,,1,
4,0,0,Apium annuum,APIACEAE,1,,,,1,1,,,,,,4,5,0.2,1,,1,2,0,,1,1,
,1,,Apium graveolens,APIACEAE,,,,,,,,,,,1,4,5,1,1,,1,2,0,,1,1,
4,1,0,Apium prostratum ssp prostratum,APIACEAE,,1,,,,1,,,,1,,1,3,0.3,1,,1,2,0,,1,1,
,1,,Centella asiatica,APIACEAE,,,,,,,1,,,,,1,3,,2,c,1,2,0,,1,1,
4,1,0,Centella cordifolia,APIACEAE,1,,1,1,,,,,,1,,1,3,0.2,3,a,1,2,0,,1,1,
4,1,0,Daucus glochidiatus,APIACEAE,1,1,,,1,,,,,,,4,5,0.75,1,,4,2,0,0.78,1,1,18.45
4,0,0,Eryngium ovinum,APIACEAE,,1,,,1,,,,,,,3,3,0.6,3,b,1,2,2,1.95,1,1,6.54
4,0,0,Eryngium vesiculosum,APIACEAE,1,,1,1,,,,,,,,6,3,0.2,3,b,1,2,2,,1,1,
4,1,0,Hydrocotyle callicarpa,APIACEAE,1,,,,,1,,,,,,3,5,0.08,1,,1,2,0,0.41,1,1,31.14
4,1,0,Hydrocotyle capillaris,APIACEAE,1,,,,1,,,,,,,3,5,0.1,1,,1,2,0,,1,1,
,1,,Hydrocotyle comocarpa,APIACEAE,,,,,,,,,,,,3,5,0.15,1,,2,2,0,,1,1,
4,1,0,Hydrocotyle foveolata,APIACEAE,1,,,,,,,,,,,3,5,0.15,1,,1,2,0,0.22,1,1,31.35
4,1,0,Hydrocotyle hirta,APIACEAE,1,,1,1,,,,,,,,1,3,0.05,2,a,2,2,0,,1,1,
4,1,0,Hydrocotyle laxiflora,APIACEAE,1,1,,,,,,,,,,1,3,0.2,3,a,1,2,0,0.24,1,1,23.34
4,1,0,Hydrocotyle medicaginoides,APIACEAE,,,1,1,,,,,,,,3,5,0.15,1,,2,2,0,,1,1,
,1,,Hydrocotyle plebeya,APIACEAE,,,,,,,,,,,,4,2,0.2,2,a,2,2,0,,1,1,
4,1,0,Hydrocotyle verticillata,APIACEAE,,,,,,,1,,,,,19,7,0.25,3,a,1,2,0,,1,1,
