dataset_id,dataset_num,metadata_id,primary_source_id,source_access,compiled_for,data_contributor,contributor_institution_2016,year_collected,primary_data_collector,data_collector_institution_2016,primary_lab_leader_when_collected,primary_lab_leader_institution,data_description,collection_type,sample_age_class,original_file,need_further_checking,notes
dataset_006,6,9,8,Taxonomic revision: 10.1071/SB9920547 ,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,1992,Paul Irwin Forster,Queensland Herbarium,NA,NA,seed measurements for Alyxia species from Forster (1992) taxonomic revision,herbarium specimens,adult,FD_CC_traits.xls,,
dataset_006,6,10,9,Taxonomic key: Australian Tropical Rainforest species CSIRO 2003,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,2003,"Bernie Hyland, Trevor Whiffin, David Christophel, Bruce Gray, Rebel Elick",CSIRO and other agencies,NA,NA,trait measurements for Australian Rainforest Species,field and herbarium specimens,adult and seedling,FD_CC_traits.xls,,
dataset_006,6,11,10,URL: http://data.kew.org/sid/,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,2010,Kew Botanic Gardens,Kew Botanic Gardens,NA,NA,average seed mass of the genus from Kew Seed Information Database converted via logseed mass =0.905*log(average seed mass)+0.2 for 10.1111/j.1600-0587.2012.07514.x ,field and herbarium specimens,adult,FD_CC_traits.xls,,
dataset_006,6,12,11,URL: http://www.brisrain.org.au/01_cms/details.asp?ID=9,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,Brisbane Rainforest Action and Information Network,Brisbane Rainforest Action and Information Network,NA,NA,trait measurements for Australian Rainforest Species,unknown,unknown,FD_CC_traits.xls,,
dataset_006,6,13,12,ISBN: 9780958174213,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,"Wendy Cooper, William Cooper",consultants,NA,NA,trait measurements for Australian Rainforest Species,unknown,unknown,FD_CC_traits.xls,,
dataset_006,6,14,13,URL: http://plantnet.rbgsyd.nsw.gov.au/search/simple.htm,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,National Herbarium of NSW,National Herbarium of NSW,NA,NA,trait measurements for NSW Rainforest Species,herbarium specimens ,adult,FD_CC_traits.xls,,
dataset_006,6,15,14,URL: https://florabase.dpaw.wa.gov.au/,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,West Australian Herbarium,West Australian Herbarium,NA,NA,trait measurements for climbing plant species,herbarium specimens ,adult,FD_CC_traits.xls,,
dataset_006,6,16,15,Taxonomic revision: 10.1071/SB9950691 ,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,1995,Paul Irwin Forster,Queensland Herbarium,NA,NA,dispersal appendage data Marsdenia,herbarium specimens ,adult,FD_CC_traits.xls,,
dataset_006,6,17,16,Paper: 10.1071/BT9930591 ,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,Caroline Gross,University of New England,Caroline Gross,Caroline Gross,dispersal appendage data for Canavalia,field,adult,FD_CC_traits.xls,,
dataset_006,6,18,17,Paper: 10.2307/2389944,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,unknown,Daniel Metcalfe ,CSIRO,NA,NA,dispersal appendage data for tropical  species,field,adult,FD_CC_traits.xls,,
dataset_006,6,19,10,URL: http://data.kew.org/sid/,10.1111/j.1600-0587.2012.07514.x,Rachael Gallagher,Macquarie University Sydney,2010,Kew Botanic Gardens,Kew Botanic Gardens,NA,NA,seed mass from Kew SID,field and herbarium specimens,adult,FD_CC_traits.xls,,
