site_name_Richards,AusTraits_site_name,AusTraits_key,latitude (deg),longitude (deg),description,MAP (mm),MAT (),source lat/lon,soil,soil_pH,geology,elevation (m),soil total P
Adams1984_BigCkBasin,Adams_1984_Big Creek Basin,Adams_1984,-37.867,145.75,,1750,,Adams_1984,"dark reddish brown sandy loam A horizon, grading to a red clay loam B horizon and red light clay C horizon",5-5.5,granodiorite,400,
Ahton1976_DrySclerophyll,Ashton_1976_dry sclerophyll,Ashton_1976,-37.907,145.671,tall open Eucalyptus forest,1400,,"AusTraits, Tomahawk Gap on east Beenak Road",range from krasnozems to red podzolic soils,5.0-5.6,Upper Devonian granite,500-550,1
Ahton1976_Rainforest,Ashton_1976_rainforest,Ashton_1976,-37.907,145.671,Nothofagus closed forest,1400,,"AusTraits, Tomahawk Gap on east Beenak Road",vary from colluvial brown loams with water tables at 50-60 cm depth to alluvial humic gravels with water tables at or close to the surface for most of the y,5.0-5.6,Upper Devonian granite,500-550,2.2
Ahton1976_WetSclerophyll,Ashton_1976_wet sclerophyll,Ashton_1976,-37.907,145.671,tall open Eucalyptus forest,1400,,"AusTraits, Tomahawk Gap on east Beenak Road",the krasnozem,5.0-5.6,Upper Devonian granite,500-550,1.8
Ashton1975_WallabyCk,Ashton_1975_Wallaby Creek,Ashton_1975,-37.41,145.226,spar and pole stage forests,1300,,"AusTraits, Wallaby Creek at Road 4",,,,670-700,
Attiwill1980_MtDisappointment,Attiwill_1980_Mt Disappointment,Attiwill_1980,-37.426,145.136,plantation,,,"AusTraits, Mount Disappointment summit",,,,,
Bell1985_Weipa,Bell_1985_Weipa,Bell_1985,,,,,,,,,,,
Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.11,Bennett_1996,-38.933,146.267,calcareous dunes,1000,,Bennett_1996,"calcareous dunes are uniform sands which vary according to the phase of dune accretion, differing in colour (grading from yellowish grey to red-brown or red with soil age",8.1,Holocene calcareous sediments,0-70,12
Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH7,Bennett_1996,-38.933,146.267,calcareous dunes,1000,,Bennett_1996,"calcareous dunes are uniform sands which vary according to the phase of dune accretion, differing in colour (grading from yellowish grey to red-brown or red with soil age",7.5,Late-Pleistocene calcareous sediments,0-70,13.3
Bennett1996_Yanakie,Bennett_1996_Yanakie_Uc1.23_pH6,Bennett_1996,-38.933,146.267,calcareous dunes,1000,,Bennett_1996,"calcareous dunes are uniform sands which vary according to the phase of dune accretion, differing in colour (grading from yellowish grey to red-brown or red with soil age",6.5,Mid-Pleistocene calcareous sediments,0-70,5.6
