Family,Nameinfra,Fire_Response_Adult,Resprout_Type
MALVACEAE,Abelmoschus ficulneus,1,2
MALVACEAE,Abelmoschus manihot,1,5
MALVACEAE,Abelmoschus moschatus subsp. tuberosus,2,2
FABACEAE,Abrus precatorius subsp. precatorius,2,2
MALVACEAE,Abutilon cryptopetalum,4,6
MALVACEAE,Abutilon cunninghamii,NA,NA
MALVACEAE,Abutilon fraseri,NA,NA
MALVACEAE,Abutilon halophilum,NA,NA
MALVACEAE,Abutilon hannii subsp. indeterminate,1,5
MALVACEAE,Abutilon indicum subsp. albescens,NA,NA
MALVACEAE,Abutilon indicum subsp. indeterminate,1,5
MALVACEAE,Abutilon lepidum,NA,NA
MALVACEAE,Abutilon leucopetalum,4,6
MALVACEAE,Abutilon macrum,NA,NA
MALVACEAE,Abutilon malvaefolium,NA,NA
MALVACEAE,Abutilon otocarpum,4,6
MALVACEAE,Abutilon oxycarpum,NA,NA
MALVACEAE,Abutilon sp. viscid (K.M.Manning 16/Jun/87),NA,NA
MALVACEAE,Abutilon theophrasti,NA,NA
MIMOSACEAE,Acacia abbreviata,1,5
MIMOSACEAE,Acacia abrupta,1,5
MIMOSACEAE,Acacia acradenia,4,20
MIMOSACEAE,Acacia adoxa var. adoxa,NA,NA
MIMOSACEAE,Acacia adoxa var. indeterminate,NA,NA
MIMOSACEAE,Acacia adsurgens,1,2
MIMOSACEAE,Acacia alleniana,1,5
MIMOSACEAE,Acacia amanda,2,2
MIMOSACEAE,Acacia amentifera,NA,NA
MIMOSACEAE,Acacia ammobia,1,2
MIMOSACEAE,Acacia ampliceps,NA,NA
MIMOSACEAE,Acacia ancistrocarpa,6,2
MIMOSACEAE,Acacia aneura var. aneura,NA,NA
MIMOSACEAE,Acacia aneura var. Bloods Range (D.J.Nelson 631),NA,NA
MIMOSACEAE,Acacia aneura var. blue mulga (C.R.Dunlop 1951),NA,NA
MIMOSACEAE,Acacia aneura var. conifera,NA,NA
MIMOSACEAE,Acacia aneura var. holey trunk (P.K.Latz 12458),4,7
MIMOSACEAE,Acacia aneura var. indeterminate,4,2
MIMOSACEAE,Acacia aneura var. intermedia,NA,NA
MIMOSACEAE,Acacia aneura var. latifolia,NA,NA
MIMOSACEAE,Acacia aneura var. major,NA,NA
MIMOSACEAE,Acacia aneura var. microcarpa,NA,NA
MIMOSACEAE,Acacia aneura var. tenuis,1,5
MIMOSACEAE,Acacia arafurica,NA,NA
MIMOSACEAE,Acacia argyraea,1,5
MIMOSACEAE,Acacia arida,NA,NA
MIMOSACEAE,Acacia armitii,NA,NA
MIMOSACEAE,Acacia asperulacea,1,5
MIMOSACEAE,Acacia auricoma,NA,NA
MIMOSACEAE,Acacia auriculiformis,1,5
MIMOSACEAE,Acacia ayersiana,1,5
MIMOSACEAE,Acacia basedowii,NA,NA
MIMOSACEAE,Acacia bidentata,NA,NA
MIMOSACEAE,Acacia bivenosa,3,14
MIMOSACEAE,Acacia brachybotrya,NA,NA
MIMOSACEAE,Acacia brachystachya,NA,NA
MIMOSACEAE,Acacia brockii,1,5
MIMOSACEAE,Acacia calcicola,NA,NA
MIMOSACEAE,Acacia cambagei,NA,NA
MIMOSACEAE,Acacia cataractae,1,5
MIMOSACEAE,Acacia catechu var. sundra,NA,NA
MIMOSACEAE,Acacia catenulata,NA,NA
MIMOSACEAE,Acacia chippendalei,NA,NA
MIMOSACEAE,Acacia chisholmii,NA,NA
MIMOSACEAE,Acacia citriodora,NA,NA
MIMOSACEAE,Acacia cochlearis,NA,NA
MIMOSACEAE,Acacia colei,1,5
MIMOSACEAE,Acacia conjunctifolia,3,NA
MIMOSACEAE,Acacia conspersa,1,5
MIMOSACEAE,Acacia convallium,NA,NA
MIMOSACEAE,Acacia coriacea subsp. indeterminate,NA,NA
MIMOSACEAE,Acacia coriacea subsp. pendans,NA,NA
MIMOSACEAE,Acacia coriacea subsp. sericophylla,5,10
MIMOSACEAE,Acacia cowleana,1,5
MIMOSACEAE,Acacia crassicarpa,NA,NA
MIMOSACEAE,Acacia cuthbertsonii subsp. cuthbertsonii,4,5
MIMOSACEAE,Acacia cyperophylla var. cyperophylla,1,7
MIMOSACEAE,Acacia cyperophylla var. indeterminate,NA,NA
MIMOSACEAE,Acacia dacrydioides,NA,NA
MIMOSACEAE,Acacia delicatula,NA,NA
MIMOSACEAE,Acacia deltoidea,NA,NA
MIMOSACEAE,Acacia desmondii,4,7
MIMOSACEAE,Acacia dictyophleba,1,7
MIMOSACEAE,Acacia difficilis,3,7
MIMOSACEAE,Acacia dimidiata,3,7
MIMOSACEAE,Acacia ditricha,NA,NA
MIMOSACEAE,Acacia dolichophylla,3,2
MIMOSACEAE,Acacia douglasica,NA,NA
MIMOSACEAE,Acacia drepanocarpa subsp. drepanocarpa,NA,NA
MIMOSACEAE,Acacia drepanocarpa subsp. indeterminate,NA,NA
MIMOSACEAE,Acacia drepanocarpa subsp. latifolia,NA,NA
MIMOSACEAE,Acacia dunnii,1,5
MIMOSACEAE,Acacia echinuliflora,NA,NA
MIMOSACEAE,Acacia elachantha,NA,NA
MIMOSACEAE,Acacia estrophiolata,7,7
MIMOSACEAE,Acacia farnesiana,2,7
MIMOSACEAE,Acacia filipes,NA,NA
MIMOSACEAE,Acacia froggattii,1,5
MIMOSACEAE,Acacia galioides var. galioides,NA,NA
MIMOSACEAE,Acacia galioides var. glabriflora,NA,NA
MIMOSACEAE,Acacia galioides var. indeterminate,1,5
MIMOSACEAE,Acacia galioides var. leioclada,NA,NA
MIMOSACEAE,Acacia georginae,1,2
MIMOSACEAE,Acacia gilesiana,NA,NA
MIMOSACEAE,Acacia gonocarpa,8,20
MIMOSACEAE,Acacia gonoclada,NA,NA
MIMOSACEAE,Acacia gracilenta,NA,NA
MIMOSACEAE,Acacia grasbyi,NA,NA
MIMOSACEAE,Acacia hammondii,1,5
MIMOSACEAE,Acacia helicophylla,NA,NA
MIMOSACEAE,Acacia helmsiana,NA,NA
MIMOSACEAE,Acacia hemignosta,2,2
MIMOSACEAE,Acacia hemsleyi,NA,NA
MIMOSACEAE,Acacia hilliana,1,2
MIMOSACEAE,Acacia hippuroides,NA,NA
MIMOSACEAE,Acacia holosericea,1,5
MIMOSACEAE,Acacia holosericea var. glabrata,1,NA
MIMOSACEAE,Acacia humifusa,1,5
MIMOSACEAE,Acacia hyaloneura,NA,NA
MIMOSACEAE,Acacia inaequilatera,5,7
MIMOSACEAE,Acacia jasperensis,1,5
MIMOSACEAE,Acacia jennerae,NA,NA
MIMOSACEAE,Acacia jensenii,NA,NA
MIMOSACEAE,Acacia kelleri,1,5
MIMOSACEAE,Acacia kempeana,4,21
MIMOSACEAE,Acacia laccata,1,5
MIMOSACEAE,Acacia lacertensis,NA,NA
MIMOSACEAE,Acacia lamprocarpa,3,1
MIMOSACEAE,Acacia lasiocarpa,1,5
MIMOSACEAE,Acacia latescens,3,NA
MIMOSACEAE,Acacia latifolia,NA,NA
MIMOSACEAE,Acacia latzii,1,5
MIMOSACEAE,Acacia leptocarpa,1,5
MIMOSACEAE,Acacia leptophleba,1,5
MIMOSACEAE,Acacia ligulata,6,2
MIMOSACEAE,Acacia limbata,NA,NA
MIMOSACEAE,Acacia linarioides,4,5
MIMOSACEAE,Acacia longipedunculata,NA,NA
MIMOSACEAE,Acacia lycopodiifolia,1,5
MIMOSACEAE,Acacia lysiphloia,4,2
MIMOSACEAE,Acacia macdonnellensis subsp. indeterminate,NA,NA
MIMOSACEAE,Acacia macdonnellensis subsp. macdonnellensis,1,2
MIMOSACEAE,Acacia macdonnellensis subsp. teretifolia,NA,NA
MIMOSACEAE,Acacia maconochieana,1,2
MIMOSACEAE,Acacia maitlandii,2,2
MIMOSACEAE,Acacia malloclada,NA,NA
MIMOSACEAE,Acacia mangium,NA,NA
MIMOSACEAE,Acacia manipularis,NA,NA
MIMOSACEAE,Acacia megalantha,3,NA
MIMOSACEAE,Acacia melleodora,1,7
MIMOSACEAE,Acacia mimula,3,NA
MIMOSACEAE,Acacia minutifolia,NA,NA
MIMOSACEAE,Acacia minyura,1,20
MIMOSACEAE,Acacia monticola,1,5
MIMOSACEAE,Acacia mountfordiae,1,5
MIMOSACEAE,Acacia multisiliqua,1,5
MIMOSACEAE,Acacia multistipulosa,3,NA
MIMOSACEAE,Acacia murrayana,2,1
MIMOSACEAE,Acacia neurocarpa,4,20
MIMOSACEAE,Acacia neurophylla,NA,NA
MIMOSACEAE,Acacia newmanii,NA,NA
MIMOSACEAE,Acacia nilotica subsp. indica,NA,NA
MIMOSACEAE,Acacia nuperrima,1,5
MIMOSACEAE,Acacia nyssophylla,NA,NA
MIMOSACEAE,Acacia olgana,NA,NA
MIMOSACEAE,Acacia oligoneura,NA,NA
MIMOSACEAE,Acacia oncinocarpa,1,5
MIMOSACEAE,Acacia orthocarpa,NA,NA
MIMOSACEAE,Acacia orthotricha,NA,NA
MIMOSACEAE,Acacia oswaldii,2,NA
MIMOSACEAE,Acacia pachyacra,2,NA
MIMOSACEAE,Acacia pachycarpa,NA,NA
MIMOSACEAE,Acacia pachyphloia,2,2
MIMOSACEAE,Acacia pallidifolia,1,5
MIMOSACEAE,Acacia paraneura,1,2
MIMOSACEAE,Acacia paula,NA,NA
MIMOSACEAE,Acacia pellita,1,5
MIMOSACEAE,Acacia perryi,NA,NA
MIMOSACEAE,Acacia peuce,1,7
MIMOSACEAE,Acacia phlebocarpa,NA,NA
MIMOSACEAE,Acacia pickardii,3,6
MIMOSACEAE,Acacia platycarpa,3,NA
MIMOSACEAE,Acacia plectocarpa subsp. indeterminate,1,5
MIMOSACEAE,Acacia plectocarpa subsp. plectocarpa,NA,NA
MIMOSACEAE,Acacia plectocarpa subsp. tanumbirinensis,NA,NA
MIMOSACEAE,Acacia praelongata,2,7
MIMOSACEAE,Acacia praetermissa,NA,NA
MIMOSACEAE,Acacia prainii,2,2
MIMOSACEAE,Acacia producta,1,5
MIMOSACEAE,Acacia proiantha,NA,NA
MIMOSACEAE,Acacia pruinocarpa,2,7
MIMOSACEAE,Acacia ptychophylla,NA,NA
MIMOSACEAE,Acacia ramulosa var. indeterminate,NA,NA
MIMOSACEAE,Acacia ramulosa var. linophylla,NA,NA
MIMOSACEAE,Acacia ramulosa var. ramulosa,1,2
MIMOSACEAE,Acacia repens,NA,NA
MIMOSACEAE,Acacia retinervis,NA,NA
MIMOSACEAE,Acacia retivenea subsp. retivenea,1,5
MIMOSACEAE,Acacia rhodophloia,1,5
MIMOSACEAE,Acacia richardsii,1,5
MIMOSACEAE,Acacia rigens,2,NA
MIMOSACEAE,Acacia rigescens,NA,NA
MIMOSACEAE,Acacia sabulosa,1,5
MIMOSACEAE,Acacia salicina,2,11
MIMOSACEAE,Acacia scopulorum,1,5
MIMOSACEAE,Acacia sericata,NA,NA
MIMOSACEAE,Acacia sericoflora,1,5
MIMOSACEAE,Acacia setulifera,NA,NA
MIMOSACEAE,Acacia shirleyi,3,7
MIMOSACEAE,Acacia simsii,1,5
MIMOSACEAE,Acacia sp. affin. oncinocarpa (C.R.Michell 4200),NA,NA
MIMOSACEAE,Acacia sp. Barklys (J.L.Egan 124),NA,NA
MIMOSACEAE,Acacia sp. Baroalba (K.G.Brennan 186),NA,NA
MIMOSACEAE,Acacia sp. El Sharona (N.B.Byrnes 1326),NA,NA
MIMOSACEAE,Acacia sp. Gimbat (J.Russell-Smith 5223),NA,NA
MIMOSACEAE,Acacia sp. Gove (N.B.Byrnes 2586),NA,NA
