taxon_name,original_text,text,leaf_lamina_posture_a,leaf_lamina_posture_f,checked leaf_lamina_posture,leaf_margin_posture_a,leaf_margin_posture_f,checked leaf_margin_posture,plant_photsynthetic_organ_a,plant_photsynthetic_organ_f,checked photosynthetic_organ
Asparagus falcatus,"Description: Robust climber with woody perennial stems to 5(-7?) m long, with stout hooked spines to 3 cm long; with a central crown, roots fibrous to tuberous. Cladodes linear, mostly somewhat falcate (sickle-shaped), 30-90 mm long, 3-7 mm wide. Flowers small, white, fragrant. Berry more or less globose, reddish."," cladodes linear, mostly somewhat falcate (sickle-shaped), 30-90 mm long, 3-7 mm wide. ",,,,,,,cladode,cladodes,checked
Pteris nipponica,"Description: Small to medium sized fern with short-creeping rhizome forming open clumps Fronds closely spaced, subdimorphic. Sterile fronds 10-30 cm long pinnate or subpedate, basal pinna usually with a basiscopic pinnule; lateral pinnae in 1-3 pairs, linear-oblong 10-20 cm long by 1.5-3.5 cm wide, stalked, glabrous, margin irregularly dentate, apex acute, terminal pinna distinct; lamina green, papery, with a broad adaxial central white stripe. Fertile fronds 14-50 cm long, pinnae narrower than sterile fronds, weakly falcate."," sterile fronds 10-30 cm long pinnate or subpedate. basal pinna usually with a basiscopic pinnule; lateral pinnae in 1-3 pairs, linear-oblong 10-20 cm long by 1.5-3.5 cm wide, stalked, glabrous, margin irregularly dentate, apex acute, terminal pinna distinct; lamina green, papery, with a broad adaxial central white stripe. fertile fronds 14-50 cm long, pinnae narrower than sterile fronds, weakly falcate. ",,,,,,,leaf,fronds pinnae pinnate pinnule;,checked
Ptisana howeana,"Description: Large, robust fern. Fronds up to 4 m long, 2- or 3-pinnate; pinnae alternate; pinnules very shortly petiolulate, lanceolate, 6-9 cm long, 1-2 cm broad, distinctly crenulate, abruptly acuminate, glabrous. Synangia submarginal, 8 or 9 per cm, 2-3.5 mm long, with 15-22 pairs of sori."," fronds up to 4 m long, 2- or 3-pinnate ",,,,,,,leaf,fronds -pinnate,checked
Cyrtomium falcatum  Rochfordii,"Description: Rhizome short, scales reddish brown. Fronds to 50 cm long, pinnate, with a terminal pinna; stipes very scaly at the base; pinnae numerous (9-15 pairs), leathery, shiny, variously shaped, usually 6 cm long, the margin with irregular, acuminate teeth; veins anastomosing. Sori circular, evenly spread on the lower surface; indusium peltate,  persistent."," fronds to 50 cm long, pinnate, with a terminal pinna; stipes very scaly at the base ",,,,,,,leaf,"fronds pinnate,",checked
Marsdenia tubulosa,"Description: Habit unknown. Leaf suborbicular, 4.5 cm long (only 1 leaf on type specimen). Inflorescence umbel-like, 5-10-flowered; peduncle 2.5 cm long; pedicels 4-7 mm long, glabrous. Calyx c. 1 mm long; lobes almost free, broadly ovate, minutely ciliolate. Corolla tube 4-5 mm long; lobes broadly o vate, 1-1.5 mm long, finely fimbriate. Corona lobes 2 mm long, with elongated filiform apex. Style-head slightly conical, 0.5 mm long. Fruit unknown."," leaf suborbicular, 4.5 cm long (only 1 leaf on type specimen). ",,,,,,,leaf,leaf,checked
Lomandra filiformis,"Description: Perennial tussock, sparse or occasionally in short, dense mats to 20 cm diam. Leaf sheath margins eventually lacerated, whitish, occasionally  intact, purplish brown. Inflorescence axes smooth, papillose or scabrid; flowers separate. Male inflorescence branched with the branches alternate or occasionally some whorled, or unbranched. Female inflorescence less branched with a short or hidden scape. Bracts ovate, 1-2 mm long; inner bract sometimes absent. Flowers yellow, not usually blackening when dried. Male flowers globose, c. 2 mm long; outer tepals broad-elliptic to  circular, shorter and more membranous than the thick inner tepals; pedicel to 3 mm long. Female flowers more tubular, 3 mm long; subsessile."," leaf sheath margins eventually lacerated, whitish, occasionally  intact, purplish brown. ",,,,,,,leaf,leaf,checked
Atherosperma moschatum subsp. moschatum,"Description: Small to medium-sized trees 4-30 m high. Leaf lamina lanceolate, oblanceolate or sometimes elliptic; margins usually regularly to irregularly toothed."," leaf lamina lanceolate, oblanceolate or sometimes elliptic; margins usually regularly to irregularly toothed. ",,,,,,,leaf,leaf,checked
Caladenia moschata,"Description: Terrestrial herb. Leaf linear, to 22 cm long and 4 - 8 mm wide, sparsely hairy. Inflorescence to 15-30 cm high, 1-5 flowered. Flowers with musky scent. Sepals and lateral petals to 16 mm long, the outer surfaces with sessile or stalked glandular hairs, purplish brown to greenish brown, the inner surfaces white often with pinkish or bronzy markings towards sepal and petal tips; dorsal sepal cucullate, hooding the column. Labellum ovate, obscurely 3-lobed, 7-9 mm long, to 6-7 mm wide, white towards the base with a reddish purple marking on the midlobe apex; midlobe apex strongly recurved; lateral lobes with entire margins; midlobe margins toothed and recurved with numerous pairs of white to purplish teeth. Central calli in 4 rows, bearing clubbed, granular, yellow to purple heads becoming shorter towards the midlobe apex. Column erect with with broad, rounded wings and reddish brown blotches."," leaf linear, to 22 cm long and 4 - 8 mm wide. sparsely hairy. ",,,,,,,leaf,leaf,checked
Genoplesium ectopum,"Description: Terrestrial tuberous herb. Leaf 10-25 cm long, 1.5-3.0 mm wide, terete, dark green with reddish base, lamina sheathing the scape, free lamina 15-20 mm long and 2.0-3.0 mm wide, ending 10-20 mm below the first flower. Inflorescence 30-60 mm long above leaf, bearing 15-35 flowers in a densely crowded spike 20-40 mm long; flowers opening in sequence from the base; pedicel and ovary straight, 1.5-2.5 mm long. Flowers porrect, green and reddish purple to wholly reddish purple, 5.0-5.5 mm wide. Dorsal sepal greenish with 1 to 3 central purple stripes along veins and purplish margins; 3.0-4.0 mm long, 2.3-2.5 mm wide, broadly-ovate, concave, margins ciliate, apex acuminate. Lateral sepals green in flower bud, darkening with flower opening and age to deep maroon 4.0-5.0 mm long, 1.2-1.5 mm wide, lanceolate-falcate, widest just above base where weakly dilated on one margin (the margin closest to the axis of floral symmetry), with the dilated portion inrolled, concave toward apex, apex acute to apiculate, bearing a short non-glandular apiculus. Petals 3.0 mm long, 1.0 mm wide, narrow lanceolate, apex acuminate, margins sparsely ciliate; greenish at base and maroon toward apex. Labellum reddish-purple, 3.5-4.0 mm long including apex when flattened, 1.5-1.8 mm wide, oblong to oblong-ovate, widest immediately above the base, with sides nearly parallel or slightly concave to near the apex, where the labellum contracts abruptly to a short triangular apiculus; labellum apex and base recurved; margins with numerous dark purple cilia, from base to apex, toward the base cilia are shorter, and increase in length with increasing distance above the base and around the labellum apex cilia are turgid, non-flexuous, and up to 1 mm long; callus dark purple, lingulate from a broad base, occupying the width of the labellum at the base, then narrowing to an oblong-lingulate parallel-sided extension with a rounded apex situated a quarter of the labellum length from the apex, shallowly channelled at the base, callus surface papillate. Column 2 mm long not including column foot, 1.0 mm wide; column foot present, thin, falcate, pale, 400 μm long; wings unequally bilobed to 0.75 × of their length, upper lobe around 500 μm long and 100 μm wide, lingulate with a rounded apex, margins entire, slightly narrower than lower lobe; lower lobe narrow triangular, apex acuminate, margins shortly and closely ciliolate toward apex; anther versatile, 0.8 mm long, broad elliptic, with a filiform rostrum 0.4 mm long. Pollinarium comprising a massulate pollen mass adherent to a white, laciniate ring, a short hamulus and small globose viscidium 0.1 mm wide. Stigma ovate, 0.5 mm long by 0.5 mm wide."," leaf 10-25 cm long, 1.5-3.0 mm wide, terete, dark green with reddish base, Lamina sheathing the scape, free Lamina 15-20 mm long and 2.0-3.0 mm wide, ending 10-20 mm below the first flower. ",,,,,,,leaf,leaf,checked
Genoplesium geminatum,"Description: Terrestrial tuberous herb. Leaf terete, to 21 cm long, 1.0 mm wide, lamina sheathing the scape, linear, free lamina 10-15 mm long and 1.5-2.0 mm wide, ending around 15 mm below the first flower. Inflorescence 40-60 mm long, bearing 17-30 flowers on a peduncle 20-30 mm long above the leaf; flowers opening in sequence from the base; pedicel and ovary straight, 1.5-2.5 mm long, lengthening with age such that young spikes with newly opened flowers are densely crowded while older spikes with all flowers open and presenting may be openly spaced. Bracts at the base of each flower 1.5 mm long by 1.0 mm wide, with long apex that lays flush on the flower bud and is recurved as the flower opens. Flowers porrect to deflexed, tricoloured, green, cream and dark maroon. Dorsal sepal 4.0 mm long including apex when flattened, 1.3 mm wide triangular-ovate, concave and inflated at medial base, apex shortly attenuate, bearing a small, obovoid, hyaline, stalked gland in bud, but this gland deciduous and shed as the flower opens, gland absent at anthesis. Lateral sepals dark maroon on outer surface, green on inner surface, 4.0 mm long, 1.0 mm wide, linear-lanceolate, widest just above base, concave toward apex sometimes margins overlapping and so tubular, acute, bearing a persistent, hyaline, clavate gland. Petals cream at base grading through maroon to dark maroon around apex, 2.3 mm long, 0.9 mm wide, triangular-falcate, outer surface papillate in distal third, dorsal margin straight in lower third, base not ampliate, then curved through 45 � to the apex, margin irregularly crenate to shortly ciliolate in distal half, ventral margin curved at base then arched through around 30 � from middle to apex, margin irregularly crenate in outer half, apex long attenuate, hyaline, without gland. Labellum maroon with cream at base either side of callus, 2.0 mm long including apex when flattened, 1.0 mm wide, obovate, widest two thirds from the base, narrowed toward apex which has an acute to acuminate apiculus, margins purple, ciliolate from base to apex, toward the base ciliola are short, papilla-like projections, these projections increase in length with increasing distance above the base and around the apex are turgid, non-flexuous, and up to 250 μm long, callus purple, extending from base into the apex, linear except at the very base where broadens to encompass the labellum width, shallowly channelled above a broad depression at the base, channel extending nearly to the apex, cells of the callus arranged in regular longitudinal rows, in contrast to the adjacent labellum lamina where cells are arranged in radiating rows, and are hyaline in the basal half of the labellum and purple in the upper half, callus surface increasingly papillate from the middle of the labellum toward the apex, papillae formed by prorate surface cells, increasing in length toward the apex, where nearly ciliolate across the labellum surface; attachment narrow, articulated, at apex of column foot. Column 2 mm long not including column foot, 0.8 mm wide; column foot present, thin, falcate, purple, 400 μm long; wings purple, unequally bilobed to 0.5 × of their length, upper lobe around 250 μm long and 100 μm wide, ligulate with an asymmetrically acute apex, margins entire, slightly narrower than lower lobe; lower lobe narrow triangular, apex acuminate, margins and surfaces shortly and closely ciliolate; anther versatile, 0.5 mm long, broad elliptic, with a filiform rostrum whose apex is obtuse; stigma a squat lageniform shape, with a long dorsal projection extending well above the column wings in lateral view, the base rounded, surface ciliolate below dorsal projection. Pollinarium comprising a massulate pollen mass adherent to a white, laciniate ring, a short hamulus and small globose viscidium 0.1 mm wide."," leaf terete, to 21 cm long, 1.0 mm wide, Lamina sheathing the scape, linear, free Lamina 10-15 mm long and 1.5-2.0 mm wide, ending around 15 mm below the first flower. ",,,,,,,leaf,leaf,checked
Genoplesium mucronatum,"Description: Terrestrial tuberous herb. Leaf to 12 cm long. Flowers porrect, green and reddish purple, around 5.0 mm wide across the maximum spread of the lateral sepals. Dorsal sepal reddish purplish, margins around the apex slightly darker; 2.0-2.5 mm long, broadly-ovate, concave, margins entire, abruptly contracted into an acuminate apex. Lateral sepals green with maroon suffused base in flower bud, darkening slightly with flower opening and age but still bicolorous with maroon suffused base and brown-green upper half, 3.0 mm long, linear-lanceolate, concave toward apex, apex acute and bearing a small clavate gland. Petals maroon, paler toward base, 2.0 mm long, lanceolate ‘or almost rhomboid’, apex acuminate and usually with a filiform point, margins entire or minutely serrulate; greenish at base and maroon toward apex. Labellum reddish-purple, 3.0 mm long, oblong with a rounded mucronate apex; margins with numerous short ciliola, slightly longer toward apex; callus reddish-purple, channeled near the base. Column wings equally bilobed, lobes obtuse, lower lobe margin shortly ciliolate. Anther obtuse, with a filiform rostrum. Stigma oval.", leaf to 12 cm long. ,,,,,,,leaf,leaf,checked
Persicaria chinensis,"Description: Rhizomatous perennial, stems ascending to erect to 1 m, sometimes climbing. Leaf blade ovate or elliptic, 4-15 cm long, 2-8 cm wide, yellow-green, often with a central darker green V-shaped blotch (with a pale margin) towards the base, glabrous; petiole 1-2.5 cm long; ocreas without cilia. Inflorescences paniculate, open, with 1-3 flowers per distant cluster; branches glandular-hairy; perianth segments 3-4 mm long, white or pale pink. Achene trigonous, 2.8-4 mm long, 2-3 mm diam., black, enclosed by enlarged succulent, blue-black persistent perianth."," leaf blade ovate or elliptic, 4-15 cm long, 2-8 cm wide, yellow-green, often with a central darker green v-shaped blotch (with a pale margin) towards the base, glabrous; petiole 1-2.5 cm long; ocreas . ",,,,,,,leaf,leaf blade,checked
Ruellia simplex,"Description: Erect, rhizomatous perennial herb. Stems glabrous, nodes often ciliate. Leaf blades lanceolate to narrowlly elliptic or linear, c. 5-16 cm long, 0.3-1.5 cm wide, entire, subulate to acute apically, glabrous with sessile glands on abaxial surface. Petioles short to subsessile and ciliate. Flowers bourne in dichotomous cymes. Corollas white or blue to purple, 3-4 cm long, tubular at the base. Fruit a capsule, narrowly oblong to lanceolate in shape, 2-3 cm long."," leaf blades lanceolate to narrowlly elliptic or linear, circa 5-16 cm long, 0.3-1.5 cm wide, entire, subulate to acute apically, glabrous with sessile glands on abaxial surface. petioles short to subsessile and ciliate. ",,,,,,,leaf,leaf blades,checked
Oreomyrrhis argentea,"Description: Tufted perennial herb, 5-20 mm high, with a large, stout taproot. Leaves pinnate,  oblong in outline, 2.5-8 cm long, 8-20 mm wide; leaflets 21-33,  ovate, 2-10 mm long, abruptly acute, densely silvery with long adpressed hairs; leaf sheaths silvery with long adpressed hairs; petiole usually 1-5 cm long, base narrowly sheathing. Umbels 15-25-flowered; peduncle 1.5-22 mm long, villous, 2-4 times longer than leaves in fruit; bracts 6-8,  lanceolate, 3-4.5 mm long, villous. Petals c. 0.6 mm long, white with dark midvein or occasionally pink, silvery hirsute on outside. Fruit ovoid, 3-5 mm long, 1-3 mm wide, glabrous or sparsely hirsute; mericarps with prominent,  rounded, thickened ribs."," ; leaflets 21-33,  ovate, 2-10 mm long, abruptly acute, densely silvery with long adpressed hairs; leaf sheaths silvery with long adpressed hairs; petiole usually 1-5 cm long, base narrowly sheathing. ",,,,,,,leaf,leaf leaflets,checked
Oreomyrrhis brevipes,"Description: Rounded perennial herb, 10-40 cm high, with a stout taproot, tomentose. Leaves pinnate,  ovate, 2-7.5 cm long, 15-40 mm wide, 9-13 leaflets; leaflets  oblong, 3-25 mm long, acute, woolly; leaf sheaths woolly; petiole 2-8 cm long, tomentose. Umbels 10-15-flowered; peduncle 1-5 cm long, woolly, about as long as the leaves; bracts 7-8,  oblong, 3.5-4.5 mm long, entire or sometimes 3-4-lobed, tomentose. Petals c. 1.2 mm long, white or pink with darker midvein, hirsute on outside. Fruit 5-10 per umbel, oblong, 5-6 mm long, 2-3 mm wide, glabrous or sparsely villous; mericarps with very prominent acute ribs."," ; leaflets  oblong, 3-25 mm long, acute, woolly; leaf sheaths woolly; petiole 2-8 cm long, tomentose. ",,,,,,,leaf,leaf leaflets,checked
