taxon_name,original_text,text,absolute_min,min,max,absolute_max,units,checked
Achyranthes aspera,"Description: Erect or spreading annual or biennial herb to 1 m high, with an almost woody base. Stems softly hairy, especially in younger parts. Leaves ovate, elliptic or obovate, 2â€“10 cm long, to 4.5 cm wide, acute to obtuse, softly hairy; petiolate. Spikes to 25 cm long, rachis woolly. Perianth segments lanceolate, rigid, shiny, 3â€“5 mm long, initially shorter than the bracts, elongating to longer than the bracts as the flower matures. Style 1â€“1.5 mm long.",erect or spreading annual or biennial herb to 1 m high,,,1,,m,checked
Acokanthera oblongifolia,"Description: Shrub or small tree to 6 m. Stems without spines. Leaves elliptic, 6â€“12 cm long, 1.5â€”5 cm wide, glossy above, dull green below; base cuneate; apex acute to rounded. Flowers 15â€”22 mm long; corolla white to pale pink. Fruit a berry, ellipsoid or subglobose, 20â€”25 mm long, purplish black.",shrub or small tree to 6 m.,,,6,,m,checked
Aerva javanica,"Description: Erect ± woody, branched shrub to 1 m high, younger parts whitish-tomentose. Leaves linear to narrow-obovate, 2â€“7 cm long, tomentose. Flowering spikes to 10 cm long; bracts and bracteoles lanceolate to ovate, white, and partly woolly-tomentose, c. 1â€“2 mm long, persistent after the perianth has fallen. Perianth segments obovate, the outer 2 larger than the inner, to 3 mm long, very hairy on the outside; perianth of male flowers smaller than the female flowers. Fruit 1â€“1.5 mm long.","erect  woody branched shrub to 1 m high, younger parts whitish-tomentose.",,,1,,m,checked
Agapanthus praecox subsp. orientalis,"Description: Stout herb to 1 m tall, forming clumps. Leaves up to 20 per shoot, basal, linear, arcuate, canaliculate, 20â€“70 cm long, 3â€“5 cm broad. Scape 60â€“100 cm tall; umbel dense, many-flowered; pedicels 9â€“12 cm long, spreading. Perianth 4â€“4.5 cm long, pale to medium blue; tube 1.5â€“2 cm long; segments spreading, with outer segments 6â€“8 mm broad, inner segments 9â€“11 mm broad.",stout herb to 1 m tall forming clumps.,,,1,,m,checked
Aggreflorum benwellii,"Description: Spreading shrub to 3 m. high; bark smooth and deciduous throughout, orange or green coloured, peeling in ribbons. Branchlets with conspicuous stem flanges, pubescence sparse and mainly on margins of stem flanges. Leaves alternate, subsessile, discolorous, narrowly elliptic, 18â€“25 x 2.7â€“5.0 mm, apex obtuse or mucronate, margins of young leaves with silky hairs, otherwise glabrous. Inflorescence axillary, comprising 1â€“3 bracteolate monads, floral bracts shed before anthesis. Flowers with pedicels c. 1.2 mm long at anthesis; hypanthium glabrous, c. 3 mm long, sepals obtuse, 1.2â€“1.4 mm long, inner and outer surfaces glabrous, margins ciliate; petals white, obovate to orbicular, 2.6â€“2.7 mm long, oil glands present. Stamens 1.5â€“2 mm long, anthers versatile, cells parallel; stigma capitate; roof of ovary glabrous. Ovary three locular. Fruit thin walled, campanulate to hemisherical, 2.5â€“3 mm long, 4â€“4.7 mm diameter, glabrous; sepals sparsely hairy, persistent. Seeds pale brown, obovoid to ellipsoidal, reticulate, 0.8â€“0.9 mm long.",spreading shrub to 3 m high;,,,3,,m,checked
Aggreflorum brachyandrum,"Description: Shrub or small tree to 6 m high, with seasonally flaking bark, younger stems pubescent, glabrescent. Leaves linear-lanceolate, 20â€“50 mm long, usually 2â€“4 mm wide, ultimately glabrous; apex acute or acuminate, infolded, short point usually pungent; base somewhat tapering, petiole ± absent. Flowers 3â€“7 together, c. 7 mm diam., white. Hypanthium c. 3 mm long, usually glabrous. Sepals c. 1 mm long, usually ciliate. Petals 2â€“3 mm long. Stamens 1â€“1.3 mm long. Ovary 3-locular. Fruit to c. 4 mm diam., glabrous; valves not exserted, later raised slightly.",shrub or small tree to 6 m high,,,6,,m,checked
Aggreflorum ellipticum,"Description: Shrub to over 3 m high with fibrous flaking bark, younger stems pubescent. Leaves usually broad- to narrow-elliptic, to 30 mm long, 3â€“4(-5) mm wide, mostly glabrescent, apex usually tapering, acute, point blunt, incurved, base tapering, scarcely petiolate. Flowers several together, c. 10 mm diam., white. Hypanthium 2â€“3 mm long, silky. Sepals c. 1.5 mm long, pubescent. Petals 3â€“5 mm long. Stamens c. 1.5 mm long. Ovary 3-locular. Fruit 3â€“4 mm diam., pubescent, valves not exserted, later raised slightly.",shrub to over 3 m high with fibrous flaking bark,,,3,,m,checked
Akania bidwillii,"Description: Tree to c. 12 m high; bark grey to dark brown, finely scaled and wrinkled. Leaves mostly paripinnate, to 75 cm long; leaflets 8â€“31 per leaf, lanceolate, 10â€“28 cm long, 2â€“4.5 cm wide, apex acuminate, base obtuse to ± cordate, margins regularly spinose-toothed, upper surface dark green and shiny, lower surface paler and dull; venation prominent, finely reticulate; petiole 10â€“15 cm long; petiolules swollen, 5â€“15 mm long; stipules subulate. Panicles usually 8â€“15 cm long; pedicels 5â€“20 mm long. Flowers white or pink, fragrant. Calyx 3â€“4 mm long. Corolla 8â€“12 mm long, pubescent. Capsule ± ovoid to pyriform; 20â€“30 mm long, dull-red; seeds 1 or 2, 10â€“12 mm long, yellow, hanging ± outside capsule on a thread at maturity.",tree to circa 12 m high;,,,12,,m,checked
Alisma lanceolatum,"Description: Erect emergent aquatic perennial to c. 1 m high. Petioles to c. 80 cm long, flattened on one side and with small wings at the base; lamina lanceolate, acute, tapering gradually into the petiole, to 20 cm long and 4 cm wide, with up to 7 prominent parallel veins connected by numerous transverse veins. Inflorescence to 60 cm long and 40 cm wide. Flowers c. 10 mm diam. Sepals to 2 mm long. Petals c. 4 mm long, white or pink. Carpels c. 20, free; style curved in lower part. Nutlets 2â€“2.5 mm long, falling singly.",erect emergent aquatic perennial to circa 1 m high.,,,1,,m,checked
Alisma plantago-aquatica,"Description: Erect emergent aquatic perennial or annual to 1.5 m high. Leaves with lamina ovate, rounded to cordate at the base, 10â€“25 cm long and 7â€“10 cm wide, with usually 7 prominent parallel veins connected by numerous transverse veins; petiole to c. 80 cm long, flattened on one side and with small wings at the base. Inflorescence to 60 cm long and 40 cm wide. Flowers c. 10 mm diam. Sepals to 2 mm long. Petals c. 4 mm long, pale pink or almost white. Carpels c. 20, free; style ± straight. Nutlets 2â€“2.5 mm long, falling singly.",erect emergent aquatic perennial or annual to 1.5 m high.,,,1.5,,m,checked
Allium ampeloprasum,"Description: Erect herb to 110 cm high; bulb broad-ovoid to subglobose, 10â€“35 mm diam. Leaves 5 or 6, 10â€“80 cm long, 5â€“40 mm wide, with 30â€“40 longitudinal veins, glabrous with smooth margins. Umbel 6.5â€“9 cm diam., many-flowered; scape 50â€“140 cm long; pedicels 25â€“45 mm long; spathe entire, twice as long as pedicels. Perianth narrow-campanulate; tepals 4â€“5 mm long, acute, white with prominent green midvein. Stigma entire. Stamens exserted; outer 3 filaments simple, 3â€“5 mm long, 0.8â€“1 mm wide at base; inner ones 3-fid, 4â€“6.5 mm long, 1.2â€“1.4 mm wide. Capsule c. 4 mm long.",erect herb to 110 cm high;,,,110,,cm,checked
Aloe arborescens,"Description: Erect dense succulent shrub to 3 m high when in flower; stem to 2 m high, woody, branching from base and rebranching. Leaves falcate to lanceolate, to 50 cm long, 4â€“7 cm wide, margins with pale teeth 3â€“5 mm long, surfaces without paler blotches, upper surface glaucous to yellow-green, lower surface dull green. Scapes at least 20 cm long, 4â€“5 mm diam.; raceme 2â€“4, conical, to 80 cm long, 60â€“125-flowered; pedicels 8â€“45 mm long; bracts 5â€“15 mm long, 3â€“7 mm wide. Perianth yellow-brown or sometimes red or orange; tube 27â€“35 mm long, 2â€“6 mm diam., lobes 10â€“17 mm long, 2â€“4 mm wide. Stamens exserted c. 5 mm, 23â€“35 mm long; anthers 2.5â€“4 mm long. Stigma exserted c. 5 mm. Capsule linear to narrow-ellipsoid, 10â€“14 mm long, 1.5â€“4 mm diam., dark brown to black; seeds linear to elliptic, c. 4 mm long, red-brown.",erect dense succulent shrub to 3 m high when in flower;,,,3,,m,checked
Alstonia constricta,"Description: Erect shrub or tree to 12 m high, often suckering and forming thickets; bark fissured, corky. Leaves opposite, narrow-lanceolate to narrow-elliptic or oblong-elliptic, 6â€“18 cm long, 7â€“45 mm wide, apex ± acuminate, margins undulate, soft and thin, glabrous to pubescent; petiole 1â€“5 cm long. Flowers whitish, scented. Calyx lobes 1 mm long. Corolla tube 2â€“3 mm long, lobes 6â€“10 mm long, narrow, obtuse. Follicles compressed, 6â€“24 cm long, c. 10 mm wide.",erect shrub or tree to 12 m high,,,12,,m,checked
Alyxia ruscifolia,"Description: Erect shrub to 2.5 m high. Leaves in whorls of 3â€“6, narrow-lanceolate to broad-ovate, 1â€“6 cm long, 4â€“30 mm wide, apex acute or acuminate and spinose, glabrous, leathery, glossy, margins slightly recurved, entire or rarely denticulate; lateral veins usually prominent; petiole 1â€“4 mm long. Flowers white, fragrant, in terminal heads of 3â€“5 flowers. Calyx lobes 2â€“3 mm long. Corolla tube 5â€“7 mm long, lobes c. 3 mm long, asymmetric. Anthers 1 mm long, orange. Fruit of 1â€“3 articles; articles ± globose, 8â€“11 mm diam., orange to red.",erect shrub to 2.5 m high.,,,2.5,,m,checked
Amaranthus albus,"Description: Branching annual less than 1 m high with pale stems, almost glabrous. Leaves obovate to lanceolate, to 2 cm long, mucronate; shortly petiolate. Inflorescence axillary, few-flowered. Bracts lanceolate, 3â€“4 mm long, attenuate. Perianth segments 3, lanceolate, 2 mm long, acute. Stamens 3. Ovary wrinkled in upper half, circumsciss, c. as long as perianth. Weed of roadsides and disturbed areas.",branching annual less than 1 m high with pale stems almost glabrous.,,,1,,m,checked
Amaranthus blitum,"Description: Procumbent to erect perennial to c. 80 cm high, glabrous. Leaves rhombic to elliptic, to 6 cm long, acute to obtuse; short- to long-petiolate. Inflorescence spicate, terminal, some axillary. Bracts <1 mm long, triangular, acute. Perianth segments 3, spathulate to oblong, c. 1.5â€“2 mm long, obtuse. Stamens 3. Ovary faintly striate, globose, indehiscent, longer than perianth. Seed almost as large as fruit.",procumbent to erect perennial to circa 80 cm high glabrous.,,,80,,cm,checked
Amaranthus cruentus,"Description: Erect annual often over 1 m high with upper stems hairy. Leaves ovate, rhombic or elliptic, to 30 cm long, acute or obtuse; petiolate. Inflorescence terminal, dense. Bracts lanceolate, 2â€“3 mm long, spinescent. Perianth segments 5, oblong, 2â€“2.5 mm long, obtuse. Stamens 5. Ovary longer than the perianth, circumciss. Uncommon weed of closely settled areas, possibly as a contaminant of bird seed.",erect annual often over 1 m high with upper stems hairy.,,,1,,m,checked
Amaranthus cuspidifolius,"Description: Erect or decumbent annual to c. 50 cm high, glabrous. Leaves oblong to elliptic or elliptic, 0.5â€“4 cm long, 3â€“12 mm wide, obtuse to emarginate, mucronate, entire; petiole 2â€“4 mm long. Inflorescences of axillary clusters. Bracts lanceolate to ovate, 1â€“2 mm long. Perianth segments 5, 1.8â€“3 mm long, broad-spathulate, apex shortly aristate. Stamens 3. Ovary wrinkled and swollen below, narrowed above; styles 3, ± free, swollen.",erect or decumbent annual to circa 50 cm high glabrous.,,,50,,cm,checked
Amaranthus grandiflorus,"Description: Spreading to erect annual to c. 40 cm high, glabrous. Leaves ovate to lanceolate, to c. 5 cm long, acute. Inflorescence clusters mostly axillary, the larger clusters at lower nodes. Bracts narrow, acuminate, c. 2 mm long. Perianth segments 5, broadly spathulate, 5â€“7 mm long, mucronate. Stamens 3. Ovary wrinkled, narrow-ovate, indehiscent. Drier areas of the inland, especially red sand areas.",spreading to erect annual to circa 40 cm high glabrous.,,,40,,cm,checked
Amaranthus hybridus,"Description: Erect or slightly spreading annual to c. 1.5 m high, mostly glabrous. Leaves ovate to lanceolate, to c. 15 cm long, acute to obtuse; petiolate. Inflorescence terminal, ± drooping. Bracts 3â€“4 mm long, spinescent. Perianth segments 5, oblong, 1.5â€“2 mm long, apex acute or acuminate, gradually narrowing into aristate tip. Stamens 5. Ovary c. as long as perianth, circumsciss. Weed of cultivation and disturbed areas.",erect or slightly spreading annual to circa 1.5 m high mostly glabrous.,,,1.5,,m,checked
Amaranthus macrocarpus,"Description: Erect annual to c. 30 cm high, glabrous. Leaves ovate to oblong, 1â€“2 cm long, mucronate; petiolate. Inflorescence axillary, globose, many-flowered. Bracts acute, 1â€“1.5 mm long. Perianth segments 3, spathulate, 5 mm long, acuminate or emarginate with a central awn. Stamens 3. Ovary wrinkled, much longer than perianth; stigmas 2 or 3. Fruit indehiscent, spongy.",erect annual to circa 30 cm high glabrous.,,,30,,cm,checked
Amaranthus macrocarpus var. macrocarpus,"Description: Erect annual to c. 30 cm high, glabrous. Leaves ovate to oblong, 1â€“2 cm long, mucronate; petiolate. Inflorescence axillary, globose, many-flowered. Bracts acute, 1â€“1.5 mm long. Perianth segments 3, spathulate, 5 mm long, acuminate or emarginate with a central awn. Stamens 3. Ovary wrinkled, much longer than perianth; stigmas 2 or 3. Fruit indehiscent, spongy.",erect annual to circa 30 cm high glabrous.,,,30,,cm,checked
Amaranthus mitchellii,"Description: Erect annual to c. 40 cm high, glabrous. Leaves ovate to elliptic, to 5 cm long, acute to obtuse, mucronate or entire; petiolate. Inflorescence clusters mostly axillary, larger clusters at the lower nodes. Bracts narrow, acuminate, 1â€“2 mm long. Perianth segments 5, 2â€“3 mm long, spathulate, apex obtuse with a short mucro. Stamens 3. Ovary wrinkled and swollen below, narrowed above; styles 3, ± free, swollen.",erect annual to circa 40 cm high glabrous.,,,40,,cm,checked
Amaranthus muricatus,"Description: Prostrate or ascending annual to c. 30 cm high, glabrous. Leaves linear-lanceolate, ± obtuse, to c. 4 cm long; petiolate. Inflorescence terminal. Bracts triangular, acute, c. 1 mm long. Perianth segments 5, c. 2 mm long, mucronate. Stamens 3. Ovary wrinkled, slightly longer than perianth, indehiscent. Uncommon weed.",prostrate or ascending annual to circa 30 cm high glabrous.,,,30,,cm,checked
Amaranthus powellii,"Description: Erect annual weed to c. 1 m high, glabrous. Leaves rhombic to lanceolate, 3â€“10 cm long, acute; long-petiolate. Inflorescence terminal, stiff. Bracts 5â€“6 mm long, long-acute. Perianth segments 3â€“5, 2.5â€“3 mm long, acute. Stamens 3â€“5. Ovary slightly longer than perianth, circumsciss.",erect annual weed to circa 1 m high glabrous.,,,1,,m,checked
