source,taxon_name,original_text,text,category,l_absolute_min,l_min,l_max,l_absolute_max,l_units,w_absolute_min,w_min,w_max,w_absolute_max,w_units,checked
missed_pn,Acanthus mollis,"Description: Perennial herb with tuberous roots. Leaves in a basal rosette, with axillary spines absent, with lamina glabrous, to 50 cm long, to 30 cm wide, margin divided or incised, deeply lobed/toothed, dark glossy green; petiole to 20-30 cm long. Inflorescence an erect spike arising from basal leaf rosette, to 2 m high. Calyx with outer lobes unequal, upper lobes functioning as upper lip of corolla, c. 4 cm long, lower c. 3 cm long, purple or purple-tinged. Corolla c. 4-4.5 cm long, white; tube thickened distally, with ring of dense upright hairs at point of insertion of stamens. Capsule c. 2 cm long, mucronate at apex, 1- or 2-seeded; seed brown, c. 14 mm long, 8 mm wide."," capsule   2 cm long, mucronate at apex, 1- or 2-seeded;",capsule,,,2,,cm,,,,,,checked
missed_pn,Aciphylla glacialis,"Description: Sprawling herb with robust rootstock, 30-70 cm high. Leaves leathery, crowded at the plant base, 2-3-pinnate, fan-like; lamina ovate or elliptic in outline, 13-28 cm long including the 6-16 cm long sheathing base, segments linear, segments 20-40 mm long, apex acute with an aristate tip; basal sheath 10-20 mm wide. Male inflorescence slender, spreading, the female more robust and contracted with thicker peduncles; 7-16 umbellules per umbel. Flowers 2.5-3 mm diam. Petals 1-1.5 mm long. Stamens often exceeding the petals in the male flowers, in female flowers stamens reduced and sterile. Fruit 5.5-10.5 mm long, 2.0-2.8 mm wide."," fruit 5.5-10.5 mm long, 2.0-2.8 mm wide.",fruit,,5.5,10.5,,mm,,2,2.8,,mm,checked
missed_pn,Aciphylla simplicifolia,"Description: Tufted herb 15-50 cm high, stems often purplish. Leaves basal, simple; lamina subcylindrical, linear to narrow-oblanceolate, 10-23 cm long including the 3-10 c. sheathing base, apex obtuse, lacking an aristate tip; basal sheath 1-2 mm wide. Male inflorescence broadly open and slender, the female narrower with stouter peduncles; 5-14 umbellules per umbel. Flowers 1.5-2 mm diam. Petals 0.7-1 mm long. Stamens usually shorter than the petals in male flowers; in female flowers stamens reduced and sterile. Fruit 8-10 mm long, c. 3 mm wide."," fruit 8-10 mm long,   3 mm wide.",fruit,,8,10,,mm,,,3,,mm,checked
missed_pn,Acokanthera oblongifolia,"Description: Shrub or small tree to 6 m. Stems without spines. Leaves elliptic, 6-12 cm long, 1.5-5 cm wide, glossy above, dull green below; base cuneate; apex acute to rounded. Flowers 15-22 mm long; corolla white to pale pink. Fruit a berry, ellipsoid or subglobose, 20-25 mm long, purplish black."," fruit a berry, ellipsoid or subglobose, 20-25 mm long, purplish black.",berry,,20,25,,mm,,,,,,checked
missed_pn,Actinidia chinensis,"Description: A scrambling woody, deciduous vine; bristly-pubescent; young branchlets and petioles with persistent brownish-strigose hairs. Broadly ovate to suborbicular, 6-20 cm long, 7-15 cm wide, papery, dark green and sparsely hairy above, pale green and densely white- or brownish-tomentose below; margin serrulat; petiole 3-6 cm long, densely hispid-setose. Inflorescence a 1 to many-flowered cyme. Male and female flowers similar but males with numerous stamens only. Female flowers with many sterile stamens below the 20-40 spreading styles. Sepals usually 5, 1.2-1.5 cm long, brown-tomentose. Petals usually 5, 1.5-3 cm long, white, turning orange-yellow with age. Styles 7-8 mm long. Fruit thin-skinned, ellipsoid, a berry, 4-8 cm long, brown-tomentose; pulp green. Seeds numerous, c. 1.5 mm long, dark brown to black."," fruit thin-skinned, ellipsoid, a berry, 4-8 cm long, brown-tomentose; pulp green.",berry,,4,8,,cm,,,,,,checked
missed_pn,Actinidia chinensis var. deliciosa,"Description: A scrambling woody, deciduous vine; bristly-pubescent; young branchlets and petioles with persistent brownish-strigose hairs. Broadly ovate to suborbicular, 6-20 cm long, 7-15 cm wide, papery, dark green and sparsely hairy above, pale green and densely white- or brownish-tomentose below; margin serrulat; petiole 3-6 cm long, densely hispid-setose. Inflorescence a 1 to many-flowered cyme. Male and female flowers similar but males with numerous stamens only. Female flowers with many sterile stamens below the 20-40 spreading styles. Sepals usually 5, 1.2-1.5 cm long, brown-tomentose. Petals usually 5, 1.5-3 cm long, white, turning orange-yellow with age. Styles 7-8 mm long. Fruit thin-skinned, ellipsoid, a berry, 4-8 cm long, brown-tomentose; pulp green. Seeds numerous, c. 1.5 mm long, dark brown to black."," fruit thin-skinned, ellipsoid, a berry, 4-8 cm long, brown-tomentose; pulp green.",berry,,4,8,,cm,,,,,,checked
missed_pn,Actinotus forsythii,"Description: Diffuse, wiry, procumbent herb with stems to 50 cm long. Leaves 3-7-partite, Ã‚Â± glabrous, lamina usually 6.4-18 mm long, to 10 mm wide; segments linear, acute; petiole 4.5-20 mm long. Umbels head-like, 7.5-11.5 mm diam., to 20 mm including bracts, with male flowers encircling to 60 female flowers; peduncle 3.8-10.3 cm long; bracts elliptic, c. 7 mm long, 1.5-2 mm wide, white to pink and silky hairy above, green and glabrous below; pedicels c. 2 mm long. Male flowers with sepals small and obtuse, petals papery, spathulate, c. 0.3 mm long. Female flowers with minute sepals forming a skirt on the summit of the ovary, petals absent. Fruit ovate, 1.9-2.5 mm long, 1.1-1.2 mm wide, dark, villous."," fruit ovate, 1.9-2.5 mm long, 1.1-1.2 mm wide, dark, villous.",fruit,,1.9,2.5,,mm,,1.1,1.2,,mm,checked
missed_pn,Actinotus gibbonsii,"Description: Annual or perennial herb with ascending or decumbent stems to 30 cm long. Leaves twice 3-partite, lamina 6.5-15 mm long, final segments 2- or 3-lobed with rhombic or wedge-shaped lobes; petiole 4.5-22 mm long. Umbels head-like, 3-8 mm diam., to 12.5 mm diam. including bracts; peduncle 1.5-6.5 mm long. Flowers pinkish, c. 30, almost all bisexual. Bracts 7-9, joined at the base, narrow-lanceolate, 1-6 mm long, pubescent; pedicels 2-4 mm long. Sepals acute, villous at apex. Petals absent. Fruit ovate, 1-1.8 mm long, 0.6-1.4 mm wide, composed of 2 fruitlets, densely ciliate on the margins, black."," fruit ovate, 1-1.8 mm long, 0.6-1.4 mm wide, composed of 2 fruitlets, densely ciliate on the margins, black.",fruit,,1,1.8,,mm,,0.6,1.4,,mm,checked
missed_pn,Actinotus helianthi,"Description: Erect annual or perennial herb, usually 30-90 cm high, the whole plant woolly with the indumentum almost floccose. Leaves biternately divided; lamina to c. 50 mm long and wide; segments linear or oblong-linear, 15-30 mm long, c. 5 mm wide, usually grey-green, tomentose; petiole 8-50 mm long. Umbels head-like, 12-20 mm diam., surrounded by bracts; whole inflorescence 2.5-8 cm diam.; peduncle stout to 8 cm long; bracts 10-18, 2-4 cm long, white or creamy tomentose tipped green; pedicels 3-4 mm long. Flowers white to creamish, outer ones male, inner bisexual. Sepals linear, small. Petals absent. Fruit ovate, 3.2-5 mm long, 1.8-2.8 mm wide, covered with long silky hairs."," fruit ovate, 3.2-5 mm long, 1.8-2.8 mm wide, covered with long silky hairs.",fruit,,3.2,5,,mm,,1.8,2.8,,mm,checked
missed_pn,Actinotus minor,"Description: Perennial herb, erect to diffuse, 15-50 cm high, with long slender stems. Leaves 3-partite, Ã‚Â± glabrous above, hairy or white-tomentose below, 6-8 mm long; segments elliptic or linear, cuneate; petioles 2.5-12 mm long. Umbels head-like, 3.5-8.5 mm diam., to 15 mm diam. including bracts; peduncle 3.8-12 cm long. Flowers white, outer male, inner bisexual. Bracts lanceolate, often dark-tipped, 5-8.5 mm long, 0.7-1 mm wide, acute, white, sparsely hairy below; pedicels Ã‚Â± absent. Sepals acute. Petals absent. Fruit ovate, 1.9-2.9 mm long, 0.8-1.3 mm wide, pubescent."," fruit ovate, 1.9-2.9 mm long, 0.8-1.3 mm wide, pubescent.",fruit,,1.9,2.9,,mm,,0.8,1.3,,mm,checked
