source,taxon_name,original_text,text,category,,l_absolute_min,l_min,l_max,l_absolute_max,l_units,l_f,w_absolute_min,w_min,w_max,w_absolute_max,w_units,w_f,t_min,t_max,t_absolute_max,t_units,b_f,changes,checked seed dimensons
missed_pn,Juncus pallescens,"Description: Tufted or shortly rhizomatous perennial. Culms terete or slightly compressed, 20-80 cm long, 1.0-2.5 mm diam. Leaves unitubulose, several basal and 0 or 1 spread along culms, shorter than or equalling culms; blade terete to slightly compressed, 0.8-3.5 mm diam.; auricles 1.5-3.5 mm long. Inflorescence terminal, diffuse, 2-10 cm long; flowers clustered at apex of branches, (4-)8-20 flowers per hemispherical to globose cluster and 3-10(-20) clusters per inflorescence; involucral bract 1, well-developed, 1-5 cm long, shorter than inflorescence. Tepals usually red-brown, with broad hyaline to whitish margins; outer tepals 3.0-4.5 mm long, equalling or slightly longer than inner tepals. Stamens 6 (rarely 3), shorter than outer tepals; anthers 0.5-0.9 mm long. Capsule shorter than (rarely equalling or slightly longer than) outer tepals, obovoid to ellipsoid, obtuse, apiculate, yellow-brown. Seeds 0.3-0.4 mm long, c. 0.2 mm diam."," seeds 0.3-0.4 mm long,   0.2 mm diam.",seeds,,,0.3,0.4,,mm,,,,0.2,,mm,,,0.2,,mm,inferred_from_diameter,,checked
missed_pn,Drosera lunata,"Description: Tuberous herb to 50 cm high, usually olive green; stems erect, usually simple, sometimes shortly branched, glabrous; tubers ovoid, up to 9 mm diam., white to red (on surface), often in a papery sheath; vertical stolon 2-6 cm long. Leaves often in a flat basal rosette and cauline. Basal leaves 3-27; lamina ovate to elliptic, 1.5-5 mm long, 3-7 mm wide; petiole linear, 4-14 mm long. Cauline leaves alternate; lamina crescent-shaped with acute angles, 0.7-3 mm long, 1-4.5 mm wide; petiole 1-16 mm long. Inflorescence a 1-sided raceme 1-10-flowered; peduncle 0.5-3 cm long; pedicels 1-12 mm long. Sepals ovate, elliptic, or rhombic, 1.4-4.2 mm long, 0.6-1.8 mm wide, glabrous; margin entire to serrulate or denticulate, or partially to fully fimbriate with hairs up to 0.6 mm long. Petals obovate or cuneate, 1-6mm long, 1-3.2mm wide, white or rarely pink. Styles 3, 0.4-1mm long, divided into c. 15-30 cylindrical segments. Seeds ovoid, 0.3-0.6mm long, up to 0.3mm diam.; testa shallowly reticulate."," seeds ovoid, 0.3-0.6mm long, up to 0.3mm diam.; testa shallowly reticulate.",seeds,,,0.3,0.6,,mm,,,,0.3,,mm,,,0.3,,mm,inferred_from_diameter,,checked
missed_pn,Guilleminea densa,"Description: Perennial, prostrate, variously hairy herb, with a swollen woody rootstock; nodes hairy. Leaves radical and cauline, radical leaves shed early; ovate to spathulate, to 20 mm long, to 8 mm wide, hairy when young. Inflorescence usually c. 10-flowered (1-30), inflorescences are often crowded towards the ends of branches. Perianth c. 2 mm long. Stamens c. 1 mm long. Seed c. 0.6 mm long.", seed   0.6 mm long.,seed,,,,0.6,,mm,,,,,,,,,,,,,,checked
missed_pn,Anacampseros australiana,"Description: Procumbent herb. Flowering stems to 20 cm long. Leaves oblanceolate to obovate, rarely elliptic, 1-2.5 cm long, 5-12 mm wide, acute; with fascicles of hairs 1-2 mm long in the leaf axils. Cymes few-flowered, pedicels 3-7 mm long, erect. Sepals 5-10 mm long. Petals 8-20 mm long, pale pink, almost transparent, enclosed in sepals. Stigmas 3, on a style 0.5-1 mm long. Capsule ovoid to oblong, 5-12 mm long; seeds pyramidal-trigonous, c. 0.7 mm long, c. 0.5 mm wide, light to red-brown, dull, tuberculate."," seeds pyramidal-trigonous,   0.7 mm long,   0.5 mm wide, light to red-brown, dull, tuberculate.",seeds,,,,0.7,,mm,,,,0.5,,mm,,,,,,,,checked
missed_pn,Halophila spinulosa,"Description: Submerged dioecious marine perennial; rhizomes 1-1.5 mm diam.; scales elliptic or ovate, 3-6 mm long; apex acute or obtuse. Lateral shoots 20-120 cm long, occasionally branched, with leaf scars from shed leaves. Leaves glabrous, sessile; lamina oblong to linear, 5-20 mm long, 1.5-3.5 mm wide, with 4 or 5 pairs of cross-veins; margins serrulate; apex rounded; base folded upward on one side. Flowers unisexual, solitary. Male flowers shortly pedicellate; perianth segments elliptic, 3-4 mm long; apex obtuse; margins reflexed; anthers linear-oblong, 2.5-3 mm long. Female flowers with hypanthium 5-6 mm long; perianth segments 0.1 mm long; ovary ovoid, 1-2 mm diam.; styles 3-5, 10-12 mm long. Fruit ovoid, 4-6 mm diam. Seeds 20-30, globose, 0.75 mm diam.; testa reticulate."," seeds 20-30, globose, 0.75 mm diam.; testa reticulate.",seeds,,,,0.75,,mm,inferred_from_shape,,,0.75,,mm,,,0.75,,mm,inferred_from_shape,,checked
missed_pn,Aggreflorum benwellii,"Description: Spreading shrub to 3 m. high; bark smooth and deciduous throughout, orange or green coloured, peeling in ribbons. Branchlets with conspicuous stem flanges, pubescence sparse and mainly on margins of stem flanges. Leaves alternate, subsessile, discolorous, narrowly elliptic, 18-25 x 2.7-5.0 mm, apex obtuse or mucronate, margins of young leaves with silky hairs, otherwise glabrous. Inflorescence axillary, comprising 1-3 bracteolate monads, floral bracts shed before anthesis. Flowers with pedicels c. 1.2 mm long at anthesis; hypanthium glabrous, c. 3 mm long, sepals obtuse, 1.2-1.4 mm long, inner and outer surfaces glabrous, margins ciliate; petals white, obovate to orbicular, 2.6-2.7 mm long, oil glands present. Stamens 1.5-2 mm long, anthers versatile, cells parallel; stigma capitate; roof of ovary glabrous. Ovary three locular. Fruit thin walled, campanulate to hemisherical, 2.5-3 mm long, 4-4.7 mm diameter, glabrous; sepals sparsely hairy, persistent. Seeds pale brown, obovoid to ellipsoidal, reticulate, 0.8-0.9 mm long."," seeds pale brown, obovoid to ellipsoidal, reticulate, 0.8-0.9 mm long.",seeds,,,0.8,0.9,,mm,,,,,,,,,,,,,,checked
missed_pn,Cleretum papulosum,"Description: Spreading annual to 15 cm high, covered with vesicular hairs. Leaves to 8 cm long, to 10 mm wide. Pedicel 5-15 mm long. Perianth lobes c. 3 mm long. Petaloid staminodes c. 1 mm wide, 3 mm long, yellow; stamens 10; styles 5. Capsule obconical, 3-7 mm long, 5-10 mm wide; seeds c. 1 mm long.", seeds   1 mm long.,seeds,,,,1,,mm,,,,,,,,,,,,,,checked
missed_pn,Galenia pubescens,"Description: Prostrate to decumbent  woody herb. Leaves ovate to spathulate, to 35 mm long and 15 mm wide, villous when young. Perianth 2-3 mm long, hairy on outside, white inside, often with a pinkish tinge, yellowing with age. Anthers pink, yellow or orange, often changing colour with age. Capsule c. 3 mm long; seeds c. 1 mm long, shiny, black."," seeds   1 mm long, shiny, black.",seeds,,,,1,,mm,,,,,,,,,,,,,,checked
missed_pn,Hydrangea macrophylla,"Description: Deciduous shrub 1-3 m high, glabrous. Leaves broadly ovate to obovate, 7.5-19 cm long, 4-13 cm wide, margins serrate; petioles 4 cm long. Inflorescence corymbose; calyx lobes 5, deltoid, 0.5-1 mm long (1-3 cm long in sterile flowers); petals 5, 3.5-4 mm long; stamens 10, 3.5-4.5 mm long; styles 2.5-3.5 mm long; sterile flowers white, blue, purple or pink. Capsules 6.5-8 mm long, conical at apex; seeds obovoid, c. 1 mm long."," seeds obovoid,   1 mm long.",seeds,,,,1,,mm,,,,,,,,,,,,,,checked
missed_pn,Malephora crocea,"Description: Spreading hairless perennial sub-shrub, stems light grey-brown, exterior fissured, bark like, to 2 cm diameter, corky, becoming woody with age. Leaves opposite, crowded at end of short shoots, pale green, sometimes red-tinged; blade triangular in cross section 5-7 cm long, each face 8-10 mm across, apex blunt, glaucous. Inflorescence terminal, flowers solitary, pedicel 1-6 cm. Calyx lobes (4-) 5 (-6), 2 longer, 2 shorter with translucent margins, apex acute; petals 40-65, purplish abaxially, orange adaxially, sometimes completely yellow, orange or red, 4-12 mm, nectary present; stamens 2-5 mm, filaments connate basally forming a dense ring, white hairy; ovary inferior. Capsules obcuneiform, 8 (-12) locule; adaxial seed pockets with bifid placental tubercles. Seeds ca. 75, 3-15 per locule, 1 x 0.8 mm."," adaxial seed pockets with bifid placental tubercles. seeds   75, 3-15 per locule, 1 x 0.8 mm.",seeds,,,,1,,mm,,,,0.8,,mm,,,0.8,,mm,inferred_from_diameter,,checked
