Coolgardie and Kalgoolie arboreta collection 18. August 2005,,,,,,,,,,,,,,"Coolgardie 2005 (with NBS = -29,78 % VPDB corrected, measured with -30,03‰)",,,,,,,,,Leaf Area and Dry matter,,,,,,,Species specification,,
Sample,location,GPS,Soil,Species,,Planted,Tree height [m],Circumf-erence [cm],BHD [cm],Leaf No.,"Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]","Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]","av delta C (29,78 ‰VPDB)",av d13 C,1.Result,2. Result,av C%,1. Result,2. Result, N (g/m2),1. Result,2. Result,Stemnumber,Leaf area (cm2),Leaf Area (m2),Leaf size [area/Leaf],Dry matter (g) (* nachgewogen),Dry matter (kg),Specific Leaf Area (m2 kg-1),AVG,Comments,
1,Coolgardie arboretum,,clay,E.loxophleba,Coolgardie,1978,8,25,7.96,21,,,-23.84176913,-24.09176913,-24.100,-24.084,,53.38964462,,3.470614945,1.54,,1,167.7,0.01677,7.99,3.77,0.00377,4.45,,,
2,Coolgardie arboretum,,clay,E.loxophleba,Coolgardie,1978,7,18,5.73,17,,,-24.66241189,-24.91241189,,,,54.097,53.99346542,3.919790714,1.470,1.446942329,1,146.6,0.01466,8.62,3.91,0.00391,3.75,,,
3,Coolgardie arboretum,,clay,E.loxophleba,Coolgardie,1978,6,15,4.77,14,,,-24.70604677,-24.95604677,,,,54.934,,3.915402281,1.49,,1,112.9,0.01129,8.06,2.97,0.00297,3.80,,,
4,Coolgardie arboretum,,clay,E.loxophleba,Coolgardie,1978,10,26,8.28,14,,,-23.94377869,-24.19377869,,,,54.09,,4.628740423,1.74,,1,151.8,0.01518,10.84,4.03,0.00403,3.77,,,
5,Coolgardie arboretum,,clay,E.intertexta,Coolgardie,1978,3,9,2.86,15,,,-25.42090012,-25.67090012,-25.707,-25.635,,52.17,,5.338806474,1.80,,multi,135.1,0.01351,9.01,4,0.004,3.38,,,
6,Coolgardie arboretum,,clay,E.intertexta,Coolgardie,1978,7,15,4.77,20,,,-24.71826327,-24.96826327,,,,50.64,,3.473034774,1.36,,1,131.7,0.01317,6.59,3.36,0.00336,3.92,,,
7,Coolgardie arboretum,,clay,E.intertexta,Coolgardie,1978,7,18,5.73,17,,,-24.70334724,-24.95334724,,,,51.917,51.83567429,4.311193269,1.641,1.643256307,1,121.8,0.01218,7.16,3.2,0.0032,3.81,,damaged leaves,
8,Coolgardie arboretum,,clay,E.intertexta,Coolgardie,1978,4,10,3.18,18,,,-25.28637355,-25.53637355,,,,50.664,,4.077522356,1.61,,1,138.2,0.01382,7.68,3.51,0.00351,3.94,,,
9,Coolgardie arboretum,,clay,E.jutsonii,Coolgardie,1978,5,8,2.55,19,,,-25.71449863,-25.96449863,-25.935,-25.994,,52.512,,4.97687982,1.29,,multi,46.5,0.00465,2.45,1.79,0.00179,2.60,,small shrub-like (normally grows on sands),
10,Coolgardie arboretum,,clay,E.jutsonii,Coolgardie,1978,2.5,7,2.23,17,-22.04085645,-21.88590921,-24.51327477,-24.76327477,,,,50.722,,5.44073778,1.29,,multi,49.3,0.00493,2.9,2.08,0.00208,2.37,,small shrub-like (normally grows on sands),
