taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
Thysanotus tenellus,species,,,plant_growth_form,Geophyte,geophyte,mode,,,,,,"Table 1, p.5",
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,plant_growth_form,Geophyte,geophyte,mode,,,,,,"Table 1, p.5",
Thysanotus triandrus,species,,,plant_growth_form,HC,hemicryptophyte,mode,,,,,,"Table 1, p.5",HC = hemicryptophyte per table footnote
Thysanotus multiflorus,species,,,plant_growth_form,HC,hemicryptophyte,mode,,,,,,"Table 1, p.5",HC = hemicryptophyte per table footnote
Thysanotus tenellus,species,,,flower_diameter,1.9 ± 0.1,,mean,cm,,0.1,,,"Table 1, p.5","error type not stated in table header (unlike the pollen/flower column, which is explicitly ± CI); possibly SE"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_diameter,2.5 ± 0.1,,mean,cm,,0.1,,,"Table 1, p.5","error type not stated in table header (unlike the pollen/flower column, which is explicitly ± CI); possibly SE"
Thysanotus triandrus,species,,,flower_diameter,3.0 ± 0.1,,mean,cm,,0.1,,,"Table 1, p.5","error type not stated in table header (unlike the pollen/flower column, which is explicitly ± CI); possibly SE"
Thysanotus multiflorus,species,,,flower_diameter,3.0 ± 0.1,,mean,cm,,0.1,,,"Table 1, p.5","error type not stated in table header (unlike the pollen/flower column, which is explicitly ± CI); possibly SE"
Thysanotus tenellus,species,,,inflorescence_type,Open panicle,panicle,mode,,,,,,"Table 1, p.5","""open"" qualifier not captured by controlled vocabulary term panicle"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,inflorescence_type,Open panicle,panicle,mode,,,,,,"Table 1, p.5","""open"" qualifier not captured by controlled vocabulary term panicle"
Thysanotus triandrus,species,,,inflorescence_type,Large umbel,umbel,mode,,,,,,"Table 1, p.5","""large"" qualifier not captured by controlled vocabulary term umbel"
Thysanotus multiflorus,species,,,inflorescence_type,Large umbel,umbel,mode,,,,,,"Table 1, p.5","""large"" qualifier not captured by controlled vocabulary term umbel"
Thysanotus tenellus,species,,,flower_fertile_stamens_count,Six,,raw,{count},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free"""
Thysanotus tenellus,species,,,flower_anther_curvature,straight,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; candidate trait, no existing AusTraits match for anther curvature (distinct from flower_anther_orientation, which records dehiscence direction not curvature shape)"
Thysanotus tenellus,species,,,anther_uniformity,equal,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; candidate trait describing whether the anthers within a flower are equal/unequal in size (relevant to heteranthery); no existing AusTraits match"
Thysanotus tenellus,species,,,flower_filament_fusion,free,,raw,{dimensionless},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; ""free"" filaments interpreted as fusion = 0 on this trait's 0 (free) to 1 (fully fused) scale"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_fertile_stamens_count,Six,,raw,{count},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free"""
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_anther_curvature,straight,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; candidate trait, no existing AusTraits match for anther curvature (distinct from flower_anther_orientation, which records dehiscence direction not curvature shape)"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,anther_uniformity,equal,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; candidate trait describing whether the anthers within a flower are equal/unequal in size (relevant to heteranthery); no existing AusTraits match"
Thysanotus sp. Coastal plain,species,"voucher N.H. Brittan 66/63; referred to in the paper as ""Thysanotus sp.""",,flower_filament_fusion,free,,raw,{dimensionless},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Six equal, straight, free""; ""free"" filaments interpreted as fusion = 0 on this trait's 0 (free) to 1 (fully fused) scale"
Thysanotus triandrus,species,,,flower_fertile_stamens_count,Three,,raw,{count},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free"""
Thysanotus triandrus,species,,,flower_anther_curvature,curved,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; candidate trait, no existing AusTraits match for anther curvature (distinct from flower_anther_orientation, which records dehiscence direction not curvature shape)"
Thysanotus triandrus,species,,,anther_uniformity,equal,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; candidate trait describing whether the anthers within a flower are equal/unequal in size (relevant to heteranthery); no existing AusTraits match"
Thysanotus triandrus,species,,,flower_filament_fusion,free,,raw,{dimensionless},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; ""free"" filaments interpreted as fusion = 0 on this trait's 0 (free) to 1 (fully fused) scale"
Thysanotus multiflorus,species,,,flower_fertile_stamens_count,Three,,raw,{count},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free"""
Thysanotus multiflorus,species,,,flower_anther_curvature,curved,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; candidate trait, no existing AusTraits match for anther curvature (distinct from flower_anther_orientation, which records dehiscence direction not curvature shape)"
Thysanotus multiflorus,species,,,anther_uniformity,equal,,mode,,,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; candidate trait describing whether the anthers within a flower are equal/unequal in size (relevant to heteranthery); no existing AusTraits match"
Thysanotus multiflorus,species,,,flower_filament_fusion,free,,raw,{dimensionless},,,,,"Table 1, p.5","full Anthers cell text in Table 1: ""Three equal, curved, free""; ""free"" filaments interpreted as fusion = 0 on this trait's 0 (free) to 1 (fully fused) scale"
Thysanotus tenellus,species,,,flower_style_curvature,Straight,,mode,,,,,,"Table 1, p.5",candidate trait; no existing AusTraits match for style curvature/shape (distinct from flower_style_length)
