,material,Species,rep,length incl pet. (mm),width (mm),curliness incl pet. (mm),comments,ALL MEASUREMENTS IN MM
1,dried ,Aca_dor,1,121,4,9,,
1,dried ,Aca_dor,2,153,5,3,,
1,dried ,Aca_dor,3,128,5,5,,
1,dried ,Aca_dor,4,120,4,2,,
1,dried ,Aca_dor,5,153,4,3,,
1,dried ,Aca_dor,6,118,5,5,,
1,dried ,Aca_hav,1,80,1,4,,
1,dried ,Aca_hav,2,75,1,4,,
1,dried ,Aca_hav,3,60,1,2,,
1,dried ,Aca_hav,4,70,1,4,,
1,dried ,Aca_hav,5,61,1,2,,
1,dried ,Aca_hav,6,66,1,2,,
1,dried ,Allocas,1,,,,,
1,dried ,Allocas,2,,,,,
1,dried ,Allocas,3,,,,,
1,dried ,Allocas,4,,,,,
1,dried ,Allocas,5,,,,,
1,dried ,Allocas,6,,,,,
1,dried ,Ast_floc,1,115,19,6,,
1,dried ,Ast_floc,2,123,24,12,,
1,dried ,Ast_floc,3,110,20,14,,
1,dried ,Ast_floc,4,73,16,13,,
1,dried ,Ast_floc,5,132,26,7,,
1,dried ,Ast_floc,6,103,23,7,,
1,dried ,Bra_pop,1,132,25,12,,
1,dried ,Bra_pop,2,109,23,7,,
1,dried ,Bra_pop,3,108,22,13,,
1,dried ,Bra_pop,4,110,21,12,,
1,dried ,Bra_pop,5,100,19,13,,
1,dried ,Bra_pop,6,109,19,18,,
1,dried ,Cor_gum,1,100,21,8,,
1,dried ,Cor_gum,2,100,25,11,,
1,dried ,Cor_gum,3,121,27,10,,
1,dried ,Cor_gum,4,95,21,9,,
1,dried ,Cor_gum,5,97,23,10,,
1,dried ,Cor_gum,6,115,25,12,,
1,dried ,Dod_vis,1,43,8,8,,
1,dried ,Dod_vis,2,48,10,5,,
1,dried ,Dod_vis,3,50,8,8,,
1,dried ,Dod_vis,4,50,10,9,,
1,dried ,Dod_vis,5,48,9,6,,
1,dried ,Dod_vis,6,37,9,4,,
1,dried ,Ere_lon,1,120,5,5,,
1,dried ,Ere_lon,2,95,5,6,,
1,dried ,Ere_lon,3,100,5,4,,
1,dried ,Ere_lon,4,82,2,3,,
1,dried ,Ere_lon,5,80,3,4,,
1,dried ,Ere_lon,6,117,4,7,,
1,dried ,Euc_dum,1,105,20,3,,
1,dried ,Euc_dum,2,87,17,2,,
1,dried ,Euc_dum,3,110,19,5,,
1,dried ,Euc_dum,4,100,16,8,,
1,dried ,Euc_dum,5,87,19,5,,
1,dried ,Euc_dum,6,117,17,4,,
1,dried ,Euc_hae,1,187,37,4,,
1,dried ,Euc_hae,2,190,31,4,,
1,dried ,Euc_hae,3,140,36,7,,
1,dried ,Euc_hae,4,190,36,10,,
1,dried ,Euc_hae,5,155,30,3,,
1,dried ,Euc_hae,6,172,37,5,,
1,dried ,Euc_int,1,103,20,3,,
1,dried ,Euc_int,2,74,19,8,,
1,dried ,Euc_int,3,105,19,5,,
1,dried ,Euc_int,4,111,20,6,,
1,dried ,Euc_int,5,106,18,4,,
1,dried ,Euc_int,6,102,18,7,,
1,dried ,Euc_soc,1,100,18,3,,
1,dried ,Euc_soc,2,97,15,6,,
1,dried ,Euc_soc,3,97,20,5,,
1,dried ,Euc_soc,4,98,18,5,,
1,dried ,Euc_soc,5,82,13,2,,
1,dried ,Euc_soc,6,103,19,10,,
1,dried ,Gei_par,1,165,6,20,,
1,dried ,Gei_par,2,155,7,11,,
1,dried ,Gei_par,3,160,5,13,,
1,dried ,Gei_par,4,122,6,21,,
1,dried ,Gei_par,5,160,8,12,,
1,dried ,Gei_par,6,142,7,11,,
1,dried ,Hak_dac,1,111,19,7,,
1,dried ,Hak_dac,2,104,23,18,,
1,dried ,Hak_dac,3,111,19,8,,
1,dried ,Hak_dac,4,87,16,12,,
1,dried ,Hak_dac,5,146,25,9,,
1,dried ,Hak_dac,6,130,25,10,,
1,dried ,Hak_tep,1,67,,0,,
1,dried ,Hak_tep,2,55,1.2,2,,
1,dried ,Hak_tep,3,66,1.3,2,,
1,dried ,Hak_tep,4,51,1.1,2,,
1,dried ,Hak_tep,5,66,1.3,1,,
1,dried ,Hak_tep,6,60,1.2,1,,
1,dried ,Hak_ter,1,50,1,0,,
1,dried ,Hak_ter,2,70,1,2,,
1,dried ,Hak_ter,3,55,1,0,,
1,dried ,Hak_ter,4,63,1,2,,
1,dried ,Hak_ter,5,70,1,2,,
1,dried ,Hak_ter,6,50,1,2,,
1,dried ,Lam_for,1,55,5,8,,
1,dried ,Lam_for,2,60,4,10,,
1,dried ,Lam_for,3,54,5,8,,
1,dried ,Lam_for,4,55,5,5,,
1,dried ,Lam_for,5,59,5,12,,
1,dried ,Lam_for,6,45,5,10,,
1,dried ,Las_fer,1,123,29,10,,
1,dried ,Las_fer,2,119,25,16,,
1,dried ,Las_fer,3,101,21,6,,
1,dried ,Las_fer,4,133,28,11,,
1,dried ,Las_fer,5,130,35,10,,
1,dried ,Las_fer,6,122,27,8,,
1,dried ,Lom_sil,1,146,85,35,,
1,dried ,Lom_sil,2,110,75,19,,
1,dried ,Lom_sil,3,191,100,40,,
1,dried ,Lom_sil,4,153,105,49,,
1,dried ,Lom_sil,5,185,105,67,,
1,dried ,Lom_sil,6,140,120,34,,
1,dried ,Mac_com,1,116,7,2,cut,
1,dried ,Mac_com,2,135,9,3,cut,
1,dried ,Mac_com,3,122,10,3,cut,
1,dried ,Mac_com,4,126,6,2,cut,
1,dried ,Mac_com,5,145,7,3,cut,
