species,Measured_quantity,Value,Units,Source,Sample_type,Instrument,Age_class,Region,Measurement_Site,Longitude,Latitude,site
Tristaniopsis laurina,Oven dried at 80C for 48hrs,0.554,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Tristaniopsis laurina,Oven dried at 80C for 48hrs,0.597,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Doryphora sassafras,Oven dried at 80C for 48hrs,0.371,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Doryphora sassafras,Oven dried at 80C for 48hrs,0.383,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Cryptocarya glaucesens,Oven dried at 80C for 48hrs,0.52,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Cryptocarya glaucesens,Oven dried at 80C for 48hrs,0.473,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Syzygium floribundum,Oven dried at 80C for 48hrs,0.437,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Syzygium floribundum,Oven dried at 80C for 48hrs,0.649,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Acmena smithii,Oven dried at 80C for 48hrs,0.817,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
Acmena smithii,Oven dried at 80C for 48hrs,0.725,g/cm3,own field data,core (only hardwood),"5.15-mm-diame- ter, triple-threaded increment borer (Haglof, Sweden)",adult,Australia,"-32.244, 151.979",151.979,-32.244,site_-32.244_151.979
