Vegetation type,Species,MAT,MAP,AI,Seed source site name,Seed source information,TLP (-MPa),Pgs90 (-MPa) [Li_2018],PL50 (-MPa),Px50 (-MPa)  [Li_2018],HSMHS (MPa),gsmax (mol m-2 s-1) [Li_2018],Kmax (kg m-2 s-1 MPa-1)  [Li_2018],HV (m2/m2)
Wet sclerophyll forest,Eucalyptus grandis,18.6,1124.5,0.9,Edge of Myall River,"AUSTRALIA, NSW, North Coast, Edge of Myall River, Bulahdelah (south side of river, west side of Pacific Highway (32.24S, 152.12E)",1.95 ± 0.04,"2.27 [1.95,]",3.43 ± 0.19,"2.85 [2.36, 3.34]",-0.58,0.22 ± 0.02,2.31 ± 0.11,3.91 ± 0.26
Wet sclerophyll forest,Eucalyptus viminalis,10,751.5,1.1,Belgenny Reserve,"AUSTRALIA, NSW, Central Coast, Belgenny Reserve, Belgenny Reserve, Camden. Near bicycle track (34.41S, 150.42E)",1.64 ± 0.03,"2.37 [1.87,]",3.32 ± 0.19,"3.15 [2.7, 4.32]",-0.17,0.26 ± 0.04,2.17 ± 0.13,4.63 ± 0.4
Dry sclerophyll forest,Angophora costata,17.2,877.8,0.8,"16 Park Road, Woodford","AUSTRALIA, NSW, Central Coast, Rear of property number 16 Park Road, Woodford (33.45S, 150.29E)",2.33 ± 0.15,"2.66 [2.17,]",3.8 ± 0.27,"3.59 [2.91, 4.28]",-0.22,0.21 ± 0.02,1.19 ± 0.16,4.29 ± 0.31
Dry sclerophyll forest,Corymbia gummifera,16.8,880.3,0.8,Fortis Creek National Park,"AUSTRALIA, NSW, North Coast, Fortis Creek National Park, 1.2 km north of Chapman's Creek crossing on Grafton to Coaldale road (29.28S, 152.52E)",1.85 ± 0.16,"2.09 [1.65,]",3.45 ± 0.27,"2.81 [2.15, 3.34]",-0.64,0.21 ± 0.03,1.75 ± 0.11,4.7 ± 0.4
Dry sclerophyll forest,Eucalyptus sideroxylon,16.4,478.1,0.4,Rylstone,"AUSTRALIA, NSW, Central Tablelands, 23.3 km from Rylstone towards Glen Davis at entrance to property no. 2334 (32.57S, 150.55E)",2.21 ± 0.05,"2.72 [1.76,]",4.15 ± 0.1,"4.12 [3.5, 4.66]",-0.03,0.31 ± 0.06,1.62 ± 0.11,6.79 ± 0.36
Grass woodland,Eucalyptus blakelyi,15.1,550.2,0.5,Glen Davis Road,"AUSTRALIA, NSW, Central Tablelands, 13.5 km E along Glen Davis road from Capertee (33.81S, 150.45E)",2.07 ± 0.1,"3.11 [2.39,]",3.64 ± 0.25,"4.51 [4.11, 5.01]",0.87,0.34 ± 0.04,1.86 ± 0.15,6.43 ± 0.42
Grass woodland,Eucalyptus macrorhyncha,13.8,546.5,0.7,Talmalmo,"AUSTRALIA, NSW, South Western Slopes, 3.8 km E of Talmalmo on road towards Jingellic (35.37S, 147.32E)",1.97 ± 0.07,"2.79 [2.36,]",4.42 ± 0.05,"4.01 [3.32, 4.59]",-0.42,0.36 ± 0.06,1.95 ± 0.2,8.4 ± 0.68
Grass woodland,Eucalyptus melliodora,14.7,526.1,0.5,Capertee,"AUSTRALIA, NSW, Central Coast, 800 m towards Glen Alice from intersection of Capertee to Glen Davis road (33.54S, 150.13E) ",2.31 ± 0.13,"3.26 [2.31,]",4.17 ± 0.22,"5.02 [4.23, 5.52]",0.84,0.3 ± 0.03,1.85 ± 0.08,5.38 ± 0.39
Semi-arid woodland,Eucalyptus largiflorens,17.4,250.2,0.2,Walgett,"AUSTRALIA, NSW, North Western Plains, 10.9 km W of Walgett on Kamilaroi Highway (30.01S, 148.12E)",2.49 ± 0.04,"4.26 [3.12,]",4.67 ± 0.2,"7.4 [6.89, 8.3]",2.73,0.58 ± 0.07,1.33 ± 0.14,15.78 ± 1.64
Semi-arid woodland,Eucalyptus populnea,18.8,370.6,0.3,Terry Hie Hie,"AUSTRALIA, NSW, North Western Slopes, ca. 1 km N of ""centre"" of Terry Hie Hie (29.46S, 150.86E)",2.32 ± 0.06,"3.87 [2.53,]",4.64 ± 0.25,"5.64 [4.99, 6.06]",1,0.4 ± 0.08,1.26 ± 0.16,15.51 ± 2.6
