NDat,Taxon,Family,Order,trait_name,Reference,CharacterState,Value,Min,Max,Notes,NUsrcrDat,DcrDat,NUsrupDat,DupDat
403,Amborella trichopoda,Amborellaceae,Amborellales,100. Floral structural sex (D1),Endress & Igersheim 2000b (IJPS),100. Floral structural sex (D1): (2) unisexual,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,Hervé Sauquet,07-Jan-20
408,Amborella trichopoda,Amborellaceae,Amborellales,201. Number of perianth parts (C1),Endress & Igersheim 2000b (IJPS),NA,NA,9,11,male flowers,Hervé Sauquet,01-Sep-10,NA,NA
416,Amborella trichopoda,Amborellaceae,Amborellales,305. Filament (D1),Endress & Igersheim 2000b (IJPS),305. Filament (D1): (5) short and wide,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
421,Amborella trichopoda,Amborellaceae,Amborellales,311. Anther orientation (D1),Endress & Igersheim 2000b (IJPS),311. Anther orientation (D1): (0) introrse,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
424,Amborella trichopoda,Amborellaceae,Amborellales,400. Gynoecium phyllotaxy (D1),Endress & Igersheim 2000b (IJPS),400. Gynoecium phyllotaxy (D1): (2) spiral,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
428,Amborella trichopoda,Amborellaceae,Amborellales,404. Style differentiation (D1),Endress & Igersheim 2000b (IJPS),404. Style differentiation (D1): (0) absent,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
411,Amborella trichopoda,Amborellaceae,Amborellales,207. Symmetry of perianth (D1),Endress & Igersheim 2000b (IJPS),207. Symmetry of perianth (D1): (1) actinomorphic spiral,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
404,Amborella trichopoda,Amborellaceae,Amborellales,102. Ovary position (D1),Endress & Igersheim 2000b (IJPS),102. Ovary position (D1): (0) superior,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
422,Amborella trichopoda,Amborellaceae,Amborellales,312. Anther attachment (D1),Endress & Igersheim 2000b (IJPS),312. Anther attachment (D1): (0) basifixed,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
433,Amborella trichopoda,Amborellaceae,Amborellales,412. Placentation (D1),Endress & Igersheim 2000b (IJPS),412. Placentation (D1): (1) apical (pendulous),NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
423,Amborella trichopoda,Amborellaceae,Amborellales,313. Anther dehiscence (D1),Endress & Igersheim 2000b (IJPS),313. Anther dehiscence (D1): (0) longitudinal slit,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA
168480,Amborella trichopoda,Amborellaceae,Amborellales,314. Connective extension (apical) (D1),Endress 2001b (IJPS),314. Connective extension (apical) (D1): (1) short extension,NA,NA,NA,NA,Hervé Sauquet,01-Sep-14,NA,NA
151122,Amborella trichopoda,Amborellaceae,Amborellales,5002. Aperture shape (D1),PalDat 2012 (website),5002. Aperture shape (D1): (4) ulcus,NA,NA,NA,NA,Béatrice Albert,27-May-14,NA,NA
41459,Amborella trichopoda,Amborellaceae,Amborellales,230. Perianth phyllotaxy (D1),Endress & Igersheim 2000b (IJPS),230. Perianth phyllotaxy (D1): (1) spiral,NA,NA,NA,NA,Hervé Sauquet,28-Jan-13,NA,NA
85152,Amborella trichopoda,Amborellaceae,Amborellales,234. Perianth differentiation (D1),Endress & Igersheim 2000b (IJPS),234. Perianth differentiation (D1): (0) undifferentiated,NA,NA,NA,NA,Hervé Sauquet,27-Mar-13,NA,NA
41940,Amborella trichopoda,Amborellaceae,Amborellales,330. Androecium structural phyllotaxy (D1),Endress & Igersheim 2000b (IJPS),330. Androecium structural phyllotaxy (D1): (1) spiral,NA,NA,NA,NA,Hervé Sauquet,29-Jan-13,NA,NA
178,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,100. Floral structural sex (D1),Ronse de Craene & Stuppy 2010 (IJPS),100. Floral structural sex (D1): (1) incompletely unisexual,NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,Hervé Sauquet,07-Jan-20
191,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,305. Filament (D1),Ronse de Craene & Stuppy 2010 (IJPS),305. Filament (D1): (2) long and narrow,NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,NA,NA
48078,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,207. Symmetry of perianth (D1),Ronse de Craene & Stuppy 2010 (IJPS),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),NA,NA,NA,NA,Hervé Sauquet,13-Mar-13,NA,NA
151108,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,5002. Aperture shape (D1),Erdtman 1986 (book),5002. Aperture shape (D1): (2) colporus,NA,NA,NA,NA,Béatrice Albert,27-May-14,NA,NA
48070,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,230. Perianth phyllotaxy (D1),Ronse de Craene & Stuppy 2010 (IJPS),230. Perianth phyllotaxy (D1): (0) whorled,NA,NA,NA,"clearly whorled at anthesis, though spiral in initiation",Hervé Sauquet,13-Mar-13,NA,NA
