Site,Species,Latitude,Longitude,Reference.s.,Asat_area_micromol.m2.s,gsw_mmol.m2.s,CiCa,Vcmax25_micromol.m2.s,LMA_g.m2,LeafN_area_g.m2,LeafP_area_g.m2,PNUE,PPUE,MAP,MAT,MI,Radiation,AET,PET,GDD0,Isothermality,Max.Temp,Min.Temp,Temp.Seasonality,VPD,Soil.Phosphorus,Soil.Nitrogen,pH,X.Clay,X.Sand,X.Silt,ECE,BDW,SOC,source_id,collection_date
Adelaide River,Corymbia latifolia,-13.04,131.07,"Walker, A.P., I. Aranda, A.P. Beckerman, H. Bown, L.A. Cernusak, Q.L. Dang, T.F. Domingues, L. Gu, S. Guo, Q. Han, J. Kattge, M. Kubiske, D. Manter, E. Merilo, G. Midgley, A. Porte, J.C. Scales, D. Tissue, T. Turnbull, C. Warren, G. Wohlfahrt, F.I. Woodward, and S.D. Wullschleger. 2014. A Global Data Set of Leaf Photosynthetic Rates, Leaf N and P, and Specific Leaf Area. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/1224",NA,NA,NA,NA,NA,1.1,NA,NA,NA,1571.279695,27.29568401,0.797238623,20.97695898,1140.900738,1970.902626,327.8153943,60.06445413,33.59899092,21.18269065,41.34978298,1.329660956,173.5763252,841.5952325,5.06784153,0.229529321,74.08878326,10.46176306,2.936535676,1.449754238,1.510106564,Walker_2014,2014
Adelaide River,Eucalyptus tectifica,-13.04,131.07,"Walker, A.P., I. Aranda, A.P. Beckerman, H. Bown, L.A. Cernusak, Q.L. Dang, T.F. Domingues, L. Gu, S. Guo, Q. Han, J. Kattge, M. Kubiske, D. Manter, E. Merilo, G. Midgley, A. Porte, J.C. Scales, D. Tissue, T. Turnbull, C. Warren, G. Wohlfahrt, F.I. Woodward, and S.D. Wullschleger. 2014. A Global Data Set of Leaf Photosynthetic Rates, Leaf N and P, and Specific Leaf Area. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/1224",NA,NA,NA,NA,NA,1.49,NA,NA,NA,1571.279695,27.29568401,0.797238623,20.97695898,1140.900738,1970.902626,327.8153943,60.06445413,33.59899092,21.18269065,41.34978298,1.329660956,173.5763252,841.5952325,5.06784153,0.229529321,74.08878326,10.46176306,2.936535676,1.449754238,1.510106564,Walker_2014,2014
AgnesBanks,Banksia aemula,-33.6,150.72,Niinemets et al. 2009 J of Experimental Botany,4.500625124,86.60942393,0.498287347,27.07092307,180.0714387,0.912867481,0.037308332,4.930206429,120.6332458,774.1477385,17.76525627,0.571396277,17.27071264,747.6364573,1354.835112,212.9321701,48.25758149,24.05575477,11.45141463,73.13508301,0.664170699,381.3758617,1426.282898,4.798740705,0.287944317,55.58567301,14.21191915,16.37734032,1.340359926,1.537056088,Niinemets_2009,2009
AgnesBanks,Eucalyptus sclerophylla,-33.6,150.72,Niinemets et al. 2009 J of Experimental Botany,4.349346183,57.27827674,0.542553816,23.82317985,198.6294273,1.479292041,0.065084175,2.940153845,66.82647791,774.1477385,17.76525627,0.571396277,17.27071264,747.6364573,1354.835112,212.9321701,48.25758149,24.05575477,11.45141463,73.13508301,0.664170699,381.3758617,1426.282898,4.798740705,0.287944317,55.58567301,14.21191915,16.37734032,1.340359926,1.537056088,Niinemets_2009,2009
AgnesBanks,Persoonia laurina,-33.6,150.72,Niinemets et al. 2009 J of Experimental Botany,3.110725328,50.44767112,0.736059291,12.73579723,159.0127722,0.699656198,0.046089054,4.446076997,67.49379859,774.1477385,17.76525627,0.571396277,17.27071264,747.6364573,1354.835112,212.9321701,48.25758149,24.05575477,11.45141463,73.13508301,0.664170699,381.3758617,1426.282898,4.798740705,0.287944317,55.58567301,14.21191915,16.37734032,1.340359926,1.537056088,Niinemets_2009,2009
Alice Mulga,Acacia aneura,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology; Bloomfield et al. 2018 Functional Ecology",NA,34.22174404,0.399804449,47.8008981,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018; Nolan_2017_1; Nolan_2017_2,2017/2018
Alice Mulga,Acacia cambagei,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Acacia dictyophleba,-22.35,133.33,Bloomfield et al. 2018 Functional Ecology,1.023333333,14.31111111,0.67125,5.110517748,177.8255556,2.968666667,0.078244444,0.34471143,13.07867083,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Bloomfield_2018,2018
Alice Mulga,Acacia estrophiolata,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,153.2553458,0.514235699,106.675,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
Alice Mulga,Acacia kempeana,-22.35,133.33,"Nolan et al. 2017a, b Functional Plant Biology",NA,217.4634077,0.569750891,117.8261087,NA,NA,NA,NA,NA,321.7286296,22.54946998,0.164968658,22.59357489,496.4599012,1950.240928,270.0219704,47.99272197,30.26018593,14.81760176,92.93690576,1.730824994,196.8469222,323.5433189,5.125,0.11193873,73.01902771,5.958539645,6.578116576,1.591933767,0.422008912,Nolan_2017_1; Nolan_2017_2,2017
