code,codeStem,unique,Family,Binomial,site,size,trait,trait.val,compositeSample
ACPA,ACPA1,ACPA11,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,33.38154602,FALSE
ACPA,ACPA1,ACPA112,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,36.39502333,FALSE
ACPA,ACPA1,ACPA114,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,36.35,FALSE
ACPA,ACPA1,ACPA115,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,36.20783276,FALSE
ACPA,ACPA1,ACPA15,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,36.04437748,FALSE
ACPA,ACPA1,ACPA17,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,36.36467562,FALSE
ACPA,ACPA3,ACPA32,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,38.0820758,FALSE
ACPA,ACPA3,ACPA34,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,38.68256813,FALSE
ACPA,ACPA3,ACPA37,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,39.15270803,FALSE
ACPA,ACPA3,ACPA38,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,39.09227072,FALSE
ACPA,ACPA4,ACPA413,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,38.69939565,FALSE
ACPA,ACPA4,ACPA414,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,38.70728389,FALSE
ACPA,ACPA4,ACPA416,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,39.52887605,FALSE
ACPA,ACPA4,ACPA43,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,35.60777828,FALSE
ACPA,ACPA4,ACPA44,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,35.3806085,FALSE
ACPA,ACPA4,ACPA45,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,35.59572015,FALSE
ACPA,ACPA4,ACPA47,Fabaceae,Acacia parramattensis,Castlereagh,large,waterperc,38.10629075,FALSE
ALLI,ALLI1,ALLI110,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,43.658702,FALSE
ALLI,ALLI1,ALLI12,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,43.75796991,FALSE
ALLI,ALLI1,ALLI13,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,44.25165451,FALSE
ALLI,ALLI1,ALLI18,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,43.85754204,FALSE
ALLI,ALLI2,ALLI210,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,46.21810171,FALSE
ALLI,ALLI2,ALLI215,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,47.76801685,FALSE
ALLI,ALLI2,ALLI25,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,46.9661893,FALSE
ALLI,ALLI2,ALLI26,Casuarinaceae,Allocasuarina littoralis,Castlereagh,large,waterperc,46.93939311,FALSE
