Date,Run,Species,Filter Paper,Assay type,Ramp rate (˚C/h),Combination,Fv/Fm,Tcrit (˚C)-hot,Tcrit (˚C)-cold,experiment,location name,latitude (deg),longitude (deg)
20190206,1,Quercus phellos,Dry,Hot,60,,0.813,50.53,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190206,1,Melaleuca citrina,Dry,Hot,60,,0.798,46.97,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190206,1,Wahlenbergia ceracea,Dry,Hot,60,,0.807,47.08,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190206,1,Melaleuca citrina,Dry,Hot,60,,0.799,47.72,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190206,1,Quercus phellos,Dry,Hot,60,,0.804,49.93,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190206,1,Wahlenbergia ceracea,Dry,Hot,60,,0.789,44.98,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190206,1,Wahlenbergia ceracea,Dry,Hot,60,,0.813,45.23,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190206,1,Wahlenbergia ceracea,Dry,Hot,60,,0.83,47.03,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190206,1,Melaleuca citrina,Dry,Hot,60,,0.812,47.18,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190206,1,Quercus phellos,Dry,Hot,60,,0.821,49,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190206,1,Quercus phellos,Dry,Hot,60,,0.83,50.42,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190206,1,Melaleuca citrina,Dry,Hot,60,,0.825,52.37,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190211,1,Quercus phellos,Dry,Hot,60,,0.802,48.25,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190211,1,Quercus phellos,Dry,Hot,60,,0.753,44.99,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190211,1,Quercus phellos,Dry,Hot,60,,0.8,47.22,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190211,1,Melaleuca citrina,Dry,Hot,60,,0.794,45.14,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190211,1,Quercus phellos,Dry,Hot,60,,0.813,50.01,,Surface wetness experiment,"The Australian National University, site 2",-35.277,149.115
20190211,1,Melaleuca citrina,Dry,Hot,60,,0.787,42.3,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190211,1,Melaleuca citrina,Dry,Hot,60,,0.799,43.8,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
20190211,1,Wahlenbergia ceracea,Dry,Hot,60,,0.8,37.2,,Surface wetness experiment,Kosciuszko National Park (seed source),-36.432,148.338
20190211,1,Melaleuca citrina,Dry,Hot,60,,0.802,43.24,,Surface wetness experiment,"The Australian National University, site 1",-35.279,149.118
