taxon_name,genus,family,life_history_scored,scoring,source,citation,notes,citation2,ABRS_2022,ATRP_2020,NHNSW_2022,NTH_2022,RBGV_2022,SAH_2022,WAH_2022_1,WAH_2022_2
Acanthus ebracteatus,Acanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Acanthus ebracteatus subsp. ebarbatus,Acanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Acanthus ilicifolius,Acanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Acanthus mollis,Acanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,perennial,perennial,,
Andrographis paniculata,Andrographis,Acanthaceae,annual,species description,website,Wikipedia,,,,,,,,,,
Asystasia alba,Asystasia,Acanthaceae,perennial,scored from woodiness,floras,FoA print volume,,,,,,,,,,
Asystasia australasica,Asystasia,Acanthaceae,perennial,inferred from species description,floras,ATRP Lucid key,,,,,,,,,,
Asystasia gangetica,Asystasia,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Asystasia gangetica subsp. gangetica,Asystasia,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Asystasia gangetica subsp. micrantha,Asystasia,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Asystasia sp. Flora of Australia (D.A.Powell 740),Asystasia,Acanthaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Asystasia sp. Newcastle Bay (L.J.Brass 18671),Asystasia,Acanthaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Asystasia sp. Phosphate Hill (D.A.Powell 787),Asystasia,Acanthaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Avicennia integra,Avicennia,Acanthaceae,perennial,species description,floras-scraped,,,,perennial,,,perennial,,,,
Avicennia marina,Avicennia,Acanthaceae,perennial,species description,floras-scraped,,,,perennial,,,perennial,,perennial,,perennial
Avicennia marina subsp. australasica,Avicennia,Acanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Avicennia marina subsp. eucalyptifolia,Avicennia,Acanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,perennial
Avicennia marina subsp. marina,Avicennia,Acanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,perennial
Barleria cristata,Barleria,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Barleria lupulina,Barleria,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Barleria prionitis,Barleria,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Barleria repens,Barleria,Acanthaceae,perennial,species description,website,https://weeds.dpi.nsw.gov.au/Weeds/coralcreeper,,,,,,,,,,
Barleria strigosa,Barleria,Acanthaceae,perennial,species description,floras,https://apps.lucidcentral.org/rainforest/text/entities/barleria_strigosa.htm,,,,,,,,,,
Brillantaisia lamium,Brillantaisia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Brunoniella acaulis,Brunoniella,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Brunoniella acaulis subsp. acaulis,Brunoniella,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Brunoniella acaulis subsp. ciliata,Brunoniella,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Brunoniella australis,Brunoniella,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Brunoniella linearifolia,Brunoniella,Acanthaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Brunoniella pumilio,Brunoniella,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,
Brunoniella sp. Daly River road (N.Byrnes 1275),Brunoniella,Acanthaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Brunoniella spiciflora,Brunoniella,Acanthaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Crossandra infundibuliformis,Crossandra,Acanthaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=5&taxon_id=242412774,,,,,,,,,,
Crossandra nilotica,Crossandra,Acanthaceae,perennial,species description,floras-online,https://sites.google.com/site/efloraofindia/species/a---l/a/acanthaceae/crossandra/crossandra-nilotica,,,,,,,,,,
Dicladanthera forrestii,Dicladanthera,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Dicladanthera glabra,Dicladanthera,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Dicliptera armata,Dicliptera,Acanthaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Dicliptera arnhemica,Dicliptera,Acanthaceae,annual,species description,website,POWO,,,,,,,,,,
Dicliptera australis,Dicliptera,Acanthaceae,perennial,species description,website,POWO,**subshrub per POWO,,,,,,,,,
Dicliptera chinensis,Dicliptera,Acanthaceae,annual biennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200022001,,,,,,,,,,
Dicliptera ciliata,Dicliptera,Acanthaceae,,(unknown-not specified in references),floras-scraped; website,,,,,,,,,,,
Dicliptera glabra,Dicliptera,Acanthaceae,,(unknown-not specified in references),floras-scraped; website,,,,,,,,,,,
Dicliptera maclearii,Dicliptera,Acanthaceae,perennial,species description,website,POWO,,,,,,,,,,
Dicliptera miscella,Dicliptera,Acanthaceae,perennial,species description,taxonomic literature,"Barker 1986, Journal Adelaide Botanic Gardens 9:1-286",growth form = subshrub,,,,,,,,,
Dicliptera spicata,Dicliptera,Acanthaceae,perennial,species description,floras,https://apps.lucidcentral.org/rainforest/text/entities/dicliptera_spicata.htm,,,,,,,,,,
Dipteracanthus australasicus,Dipteracanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Dipteracanthus australasicus subsp. australasicus,Dipteracanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Dipteracanthus australasicus subsp. corynothecus,Dipteracanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Dipteracanthus australasicus subsp. dalyensis,Dipteracanthus,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Dipteracanthus australasicus subsp. glabratus,Dipteracanthus,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Dipteracanthus bracteatus,Dipteracanthus,Acanthaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,
Dipteracanthus chichesterensis,Dipteracanthus,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Dipteracanthus prostratus,Dipteracanthus,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Dipteracanthus sp. Kalpowar (D.G.Fell+ DGF2969B),Dipteracanthus,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Dyschoriste depressa,Dyschoriste,Acanthaceae,perennial,species description,website,https://weeds.brisbane.qld.gov.au/weeds/dyschoriste,,,,,,,,,,
Ecbolium ligustrinum,Ecbolium,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Eranthemum pulchellum,Eranthemum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Graptophyllum excelsum,Graptophyllum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Graptophyllum ilicifolium,Graptophyllum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Graptophyllum pictum,Graptophyllum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Graptophyllum reticulatum,Graptophyllum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Graptophyllum spinigerum,Graptophyllum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Harnieria hygrophiloides,Harnieria,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Harnieria kempeana,Harnieria,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Harnieria kempeana subsp. kempeana,Harnieria,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Harnieria kempeana subsp. muelleri,Harnieria,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Harnieria kempeana subsp. rhadinophylla,Harnieria,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Harnieria sp. Lornesleigh (E.J.Thompson+ CHA75),Harnieria,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Harnieria sp. Mt Garnet (R.J.Myers AQ6301),Harnieria,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Hemigraphis alternata,Hemigraphis,Acanthaceae,perennial,species description,floras-online,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=275316,,,,,,,,,,
Hemigraphis ciliata,Hemigraphis,Acanthaceae,perennial,species description,website,https://apps.lucidcentral.org/rainforest/text/entities/hemigraphis_ciliata.htm; POWO,,,,,,,,,,
Hemigraphis primulifolia,Hemigraphis,Acanthaceae,perennial,species description,floras-online,https://indiabiodiversity.org/species/show/262727,,,,,,,,,,
Hygrophila angustifolia,Hygrophila,Acanthaceae,annual,species description,floras-scraped,,,,,,,,,,,annual
Hygrophila costata,Hygrophila,Acanthaceae,perennial,species description,floras-online,https://keyserver.lucidcentral.org/weeds/data/media/Html/hygrophila_costata.htm,,,,,,,,,,
Hygrophila polysperma,Hygrophila,Acanthaceae,annual (perennial),species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242325798,,,,,,,,,,
Hygrophila triflora,Hygrophila,Acanthaceae,perennial,species description,website,,,,,,,,,,,
Hypoestes aristata,Hypoestes,Acanthaceae,perennial,species description,floras-online,http://pza.sanbi.org/hypoestes-aristata,,,,,,,,,,
Hypoestes floribunda,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,perennial
Hypoestes floribunda var. angustifolia,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Hypoestes floribunda var. canescens,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes floribunda var. cinerea,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes floribunda var. distans,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Hypoestes floribunda var. floribunda,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes floribunda var. pubescens,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes floribunda var. suaveolens,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Hypoestes floribunda var. varia,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Hypoestes floribunda var. velutina,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes floribunda var. yorkensis,Hypoestes,Acanthaceae,perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Hypoestes phyllostachya,Hypoestes,Acanthaceae,perennial,species description,website,https://weeds.dpi.nsw.gov.au/Weeds/Freckleface,,,,,,,,,,
Hypoestes sparsiflora,Hypoestes,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Isoglossa eranthemoides,Isoglossa,Acanthaceae,,(unknown-not specified in references),floras-scraped; website,,,,,,,,,,,
Justicia betonica,Justicia,Acanthaceae,perennial,species description,website,https://www.jcu.edu.au/discover-nature-at-jcu/plants/nq-weeds-by-scientific-name2/justicia-betonica,,,,,,,,,,
Justicia brandegeeana,Justicia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Justicia carnea,Justicia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Justicia carthagenensis,Justicia,Acanthaceae,perennial,species description,taxonomic literature,"Sousa, Valdeci & Roque, Alan & Versieux, Leonardo. (2020). Taxonomy and first records of Justicia sphaerosperma (Acanthaceae) for the Brazilian dry forests. 1. 6-11. 10.6084/m9.figshare.12143481. ",,,,,,,,,,
Justicia caudata,Justicia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Justicia gendarussa,Justicia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Justicia spicigera,Justicia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Justicia tenella,Justicia,Acanthaceae,annual,species description,floras-online,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=154580; POWO,,,,,,,,,,
Lepidagathis royenii,Lepidagathis,Acanthaceae,,(unknown-not specified in references),floras-online,https://apps.lucidcentral.org/rainforest/text/entities/lepidagathis_royenii.htm,,,,,,,,,,
Nelsonia campestris,Nelsonia,Acanthaceae,annual perennial,species description,floras-scraped,,,,,,,annual perennial,,,,annual
Odontonema cuspidatum,Odontonema,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Pachystachys coccinea,Pachystachys,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Peristrophe bivalvis,Peristrophe,Acanthaceae,perennial,species description,website,https://tropical.theferns.info/,,,,,,,,,,
Peristrophe brassii,Peristrophe,Acanthaceae,perennial,inferred from species description,floras,Peristrophe brassii (lucidcentral.org),,,,,,,,,,
Peristrophe speciosa,Peristrophe,Acanthaceae,perennial,species description,website,https://tropical.theferns.info,,,,,,,,,,
Pseuderanthemum tenellum,Pseuderanthemum,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Pseuderanthemum variabile,Pseuderanthemum,Acanthaceae,perennial,species description,floras-scraped,,,,,,,perennial,,,,
Rhaphidospora bonneyana,Rhaphidospora,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Rhaphidospora cavernarum,Rhaphidospora,Acanthaceae,perennial,species description,floras-scraped,,,,,perennial,,,,,,
Rhaphidospora platyphylla,Rhaphidospora,Acanthaceae,perennial,species description,floras-scraped,,,,,perennial,,,,,,
Rostellularia adscendens,Rostellularia,Acanthaceae,annual perennial,species description,floras-scraped,,,,,,,,,,,annual perennial
Rostellularia adscendens subsp. adscendens,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens subsp. clementii,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens subsp. dallachyi,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens subsp. glaucoviolacea,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens subsp. Irvinebank (A.R.Bean+ 5461),Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. adscendens,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. clementii,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. hispida,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. juncea,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. largiflorens,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. latifolia,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,
Rostellularia adscendens var. pogonanthera,Rostellularia,Acanthaceae,annual perennial,scored from species (infraspecific taxon),floras-scraped,,,,,,,,,,,perennial
Rostellularia obtusa,Rostellularia,Acanthaceae,perennial,inferred from species description,floras-scraped,PlantNet,,,,,,,,,,
Ruellia blechum,Ruellia,Acanthaceae,perennial,scored from genus,floras-scraped,Flora of SE Qld,,,,,,,,,,
Ruellia ciliosa,Ruellia,Acanthaceae,perennial,scored from genus,floras-scraped,Flora of SE Qld,,,,,,,,,,
Ruellia repens,Ruellia,Acanthaceae,perennial,scored from genus,floras-scraped,Flora of SE Qld,,,,,,,,,,
Ruellia simplex,Ruellia,Acanthaceae,perennial,scored from genus,floras-scraped,Flora of SE Qld,,,,,,,,,,
Ruellia solitaria,Ruellia,Acanthaceae,perennial,scored from genus,floras-scraped,Flora of SE Qld,,,,,,,,,,
Ruellia sp. A Kimberley Flora (K.F.Kenneally 9007),Ruellia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Ruellia squarrosa,Ruellia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Ruellia tuberosa,Ruellia,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Sanchezia parvibracteata,Sanchezia,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Staurogyne spatulata,Staurogyne,Acanthaceae,perennial,species description,website,POWO,,,,,,,,,,
Stephanophysum longifolium,Stephanophysum,Acanthaceae,perennial,species description,floras,PlantNet,,,,,,,,,,
Strobilanthes hamiltoniana,Strobilanthes,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Strobilanthes persicifolia,Strobilanthes,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Strobilanthes wallichii,Strobilanthes,Acanthaceae,perennial,species description,website,Wikipedia,,,,,,,,,,
Thunbergia alata,Thunbergia,Acanthaceae,perennial,species description,floras-online,http://pza.sanbi.org/thunbergia-alata,,,,,,,,,,
Thunbergia arnhemica,Thunbergia,Acanthaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Thunbergia fragrans,Thunbergia,Acanthaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200022041,,,,,,,,,,
Thunbergia grandiflora,Thunbergia,Acanthaceae,perennial,species description,floras-online,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242352257,,,,,,,,,,
Thunbergia mysorensis,Thunbergia,Acanthaceae,perennial,species description,floras,https://apps.lucidcentral.org/rainforest/text/entities/thunbergia_mysorensis.htm,,,,,,,,,,
Xerothamnella herbacea,Xerothamnella,Acanthaceae,perennial,species description,floras,https://apps.des.qld.gov.au/species-search/details/?id=9736,,,,,,,,,,
Xerothamnella parvifolia,Xerothamnella,Acanthaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Baileyoxylon lanceolatum,Baileyoxylon,Achariaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,
Hydnocarpus sp. Possum Scrub (G.Sankowsky+ 1349),Hydnocarpus,Achariaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Ryparosa kurrangii,Ryparosa,Achariaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Actinidia chinensis,Actinidia,Actinidiaceae,perennial,scored from growth form,AusTraits,,,,,,,,,,,
Saurauia andreana,Saurauia,Actinidiaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,
Agapanthus praecox,Agapanthus,Agapanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,perennial,perennial
Agapanthus praecox subsp. orientalis,Agapanthus,Agapanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,perennial,perennial
Agapanthus praecox subsp. praecox,Agapanthus,Agapanthaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,perennial
Aizoon pubescens,Aizoon,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,perennial,,perennial,,perennial
Aizoon secundum,Aizoon,Aizoaceae,perennial,inferred from species description,floras-scraped; website,POWO,,,,,,,,,,
Carpobrotus aequilaterus,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,perennial,perennial
Carpobrotus chilensis,Carpobrotus,Aizoaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Carpobrotus edulis,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,perennial,perennial,perennial,perennial
Carpobrotus edulis subsp. edulis,Carpobrotus,Aizoaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Carpobrotus glaucescens,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Carpobrotus modestus,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,perennial
Carpobrotus rossii,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,perennial
Carpobrotus sp. Lateral Flowers (N.Gibson & M.Lyons 973),Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Carpobrotus sp. Short Calyx (S.T.Blake 20451),Carpobrotus,Aizoaceae,perennial,scored from genus,floras-scraped,,,,,,,,,,,
Carpobrotus sp. Thevenard Island (M.White 050),Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Carpobrotus virescens,Carpobrotus,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,perennial
Cleretum bellidiforme,Cleretum,Aizoaceae,annual,species description,floras,,,,,,,,,,,annual
Cleretum papulosum,Cleretum,Aizoaceae,annual,species description,floras,,,,annual,,,,,annual,,annual perennial
Cleretum papulosum subsp. papulosum,Cleretum,Aizoaceae,annual,species description,floras,,,,,,,,annual,,,annual
Conicosia pugioniformis,Conicosia,Aizoaceae,perennial,scored from subspecies,floras-scraped,,,,,,,,,,,
Conicosia pugioniformis subsp. muirii,Conicosia,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,,,
Delosperma vinaceum,Delosperma,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,,,,perennial
Disphyma crassifolium,Disphyma,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,perennial
Disphyma crassifolium subsp. clavellatum,Disphyma,Aizoaceae,perennial,species description,floras-scraped,,,,,,,,perennial,,,perennial
Drosanthemum candens,Drosanthemum,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,perennial,perennial,,perennial
Gunniopsis calcarea,Gunniopsis,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,perennial
Gunniopsis calva,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,annual,,
Gunniopsis divisa,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,,,annual
Gunniopsis glabra,Gunniopsis,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,,,perennial
Gunniopsis intermedia,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,,,annual
Gunniopsis kochii,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,annual,,
Gunniopsis papillata,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,annual,,
Gunniopsis propinqua,Gunniopsis,Aizoaceae,annual perennial,species description,floras,,,,ephemeral,,,,,,,annual perennial
Gunniopsis quadrifida,Gunniopsis,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,perennial
Gunniopsis rodwayi,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,,,annual
Gunniopsis rubra,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,,,,,annual
Gunniopsis septifraga,Gunniopsis,Aizoaceae,ephemeral annual,species description,floras,,,,ephemeral,,,annual,,annual,,annual
Gunniopsis sp. Blue Hills (D.J.Edinger Nats 59),Gunniopsis,Aizoaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Gunniopsis sp. Lake Kerrylyn (N.Gibson et al. NG 7028),Gunniopsis,Aizoaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522),Gunniopsis,Aizoaceae,,(unknown-phrase name),undescribed species,,,,,,,,,,,
Gunniopsis tenuifolia,Gunniopsis,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,,,perennial,,
Gunniopsis zygophylloides,Gunniopsis,Aizoaceae,perennial,species description,floras-scraped,,,,perennial,,,perennial,,perennial,,
