taxon_name,entity_type,entity_context,location_code,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Thysanotus patersonii,species,,,plant_growth_form,"geophyte, climber",geophyte climber,geophyte climber,mode,,,,,,"Table 1, p.3",both terms exist in plant_growth_form's allowed_values_levels; space-delimited as simultaneous values.
Thysanotus manglesianus,species,,,plant_growth_form,"geophyte, climber",geophyte climber,geophyte climber,mode,,,,,,"Table 1, p.3",both terms exist in plant_growth_form's allowed_values_levels; space-delimited as simultaneous values.
Thysanotus patersonii,population,,,flower_diameter,1.6,,1.6,mean,cm,CI_95,0.04,20,"species comparison, t=8.61, p<0.001 vs T. manglesianus","Table 1, p.3; Results p.2","matches AusTraits flower_diameter directly (unit cm, no conversion needed). n=20 given for the t-test comparing the two species; unclear if per-species or combined."
Thysanotus manglesianus,population,,,flower_diameter,2.0,,2.0,mean,cm,CI_95,0.10,20,"species comparison, t=8.61, p<0.001 vs T. patersonii","Table 1, p.3; Results p.2","matches AusTraits flower_diameter directly (unit cm, no conversion needed). n=20 given for the t-test comparing the two species; unclear if per-species or combined."
Thysanotus patersonii,species,,,inflorescence_type,solitary,,solitary,mode,,,,,,"Table 1, p.3",no matching categorical trait found in config/traits.yml (checked for an inflorescence-arrangement trait with 'solitary' as an allowed value) -- documented for possible future trait proposal.
Thysanotus manglesianus,species,,,inflorescence_type,solitary,,solitary,mode,,,,,,"Table 1, p.3",no matching categorical trait found in config/traits.yml -- documented for possible future trait proposal.
Thysanotus patersonii,species,,,flower_fertile_stamens_count,6,,6,raw,{count},,,,,"Table 1, p.3",6 equal stamens.
Thysanotus patersonii,species,,,stamen_form,"6 equal, straight",,"6 equal, straight",mode,,,,,,"Table 1, p.3","stamen curvature/uniformity has no matching AusTraits trait (flower_filament covers length/width, not curvature) -- documented for possible future trait proposal."
Thysanotus manglesianus,species,,,flower_fertile_stamens_count,6 (3 short + 3 long),,6,raw,{count},,,,,"Table 1, p.3; Results p.2","dimorphic: 3 short erect + 3 longer curved, totalling 6. Number of androecium structural whorls (2) and merism (3 per whorl) could also be derived from this if that trait pair is wanted."
Thysanotus manglesianus,species,,,stamen_form,"3 curved, 3 straight (dimorphic)",,"3 curved, 3 straight (dimorphic)",mode,,,,,,"Table 1, p.3",no matching AusTraits trait for stamen curvature -- documented for possible future trait proposal.
Thysanotus patersonii,species,,,flower_anther_dehiscence,slit extending from the apex,short_apical_slits,short_apical_slits,mode,,,,,,"Table 1, p.3",medium-confidence match -- 'short_apical_slits' chosen over 'longitudinal_slit' because the source specifically anchors the slit at the apex; worth a curator's second look.
Thysanotus manglesianus,species,,,flower_anther_dehiscence,apical pore,poricidal,poricidal,mode,,,,,,"Table 1, p.3",high-confidence match.
Thysanotus patersonii,species,,,style_form,slightly curved,,slightly curved,mode,,,,,,"Table 1, p.3","no matching AusTraits trait for style curvature/hook shape (flower_style_differentiation covers presence/length/width, not this) -- documented for possible future trait proposal."
