longitude,latitude,sampling date,site,species,wood density (g cm^-1),pith area (micron^2),vessel area (micron^2),hydraulically weighted vessel diameter (micron),vessel number per area (mm^-2),vessel lumen fraction,vessel wall fraction,axial parenchyma fraction,ray fraction,axial+ray parenchyma fraction,fibre fraction,fibre wall fraction,fibre lumen fraction,fibre wall area (micron^2),fibre lumen area (micron^2),fibre area (micron^2),fibre wall area to fibre lumen ratio (averaged across multiple fibres measured),fibre wall to fibre area ratio (averaged across multiple fibres measured),fibre lumen to fibre area ratio (averaged across multiple fibres measured),tracheid fraction,references
147.04E,42.39S,2009 Mar,Bothwell,Bossiaea cinerea,0.86155,431143.13,481.50903,47.46614491,198.3895051,0.095526336,0.034279301,0.087318042,0.15250236,0.239820402,0.63037396,0.624201484,0.006172476,90.108101,0.85064018,90.95874,144.7052725,0.990208231,0.009791769,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Bossiaea cinerea,0.83522,431341.044,573.9758816,51.99764522,203.5402471,0.116827189,0.035364297,0.111519099,0.211793386,0.323312486,0.524496028,0.519303256,0.005192772,84.005356,0.79934466,84.805321,209.3048957,0.990099501,0.009900499,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Bossiaea cinerea,0.7849,491311.029,440.6168329,46.44878435,203.7599798,0.08978008,0.03302742,0.128748741,0.165887754,0.294636495,0.582556005,0.578295129,0.004260875,94.614578,0.70194149,95.31691,223.598776,0.992685896,0.007314104,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Daviesia latifolia,0.70457,1336290.4,203.24115,32.99305287,768.7027965,0.156232033,0.1007406,0.089044054,0.164182568,0.253226622,0.412528776,0.369709823,0.042818953,108.23039,15.863875,124.09427,17.43601905,0.896203719,0.103796281,0.077271969,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Daviesia latifolia,0.65655,991469.38,123.9601936,28.58871958,1591.061818,0.19722834,0.140773109,0.092190834,0.247129164,0.339319999,0.231481827,0.222929293,0.008552534,86.585236,3.6381462,90.223679,58.95782401,0.963053107,0.036946893,0.091196725,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Daviesia latifolia,0.59973,2067127.1,138.28963,28.63480235,1067.570905,0.14763398,0.11023927,0.127417737,0.230362911,0.357780647,0.33853427,0.291316029,0.047218241,103.41109,17.959158,121.37057,8.360757952,0.860521534,0.139478466,0.045811833,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Epacris impressa,0.65303,444221.72,167.80493,26.91636958,897.6400495,0.150628424,0.07793549,0.237658181,0.187752494,0.425410675,0.346025411,0.282289746,0.063735665,92.257896,21.322985,113.57789,5.306277924,0.815806404,0.184193596,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Epacris impressa,0.71929,261645.98,113.4772895,23.23956409,920.8055473,0.104490517,0.059254746,0.131634871,0.200704778,0.332339649,0.503915089,0.441589702,0.062325387,97.112137,14.867743,111.98035,9.687722967,0.876317681,0.123682319,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Epacris impressa,0.72745,413170.22,147.6025094,26.37786704,797.2346219,0.117673829,0.058045908,0.110606516,0.201564198,0.312170714,0.512109549,0.440681295,0.071428254,103.41109,17.959158,121.37057,8.360757952,0.860521534,0.139478466,0,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
147.04E,42.39S,2009 Mar,Bothwell,Eucalyptus tenuiramis,0.77291,191965.8,707.08771,61.4728634,117.5400091,0.083111101,0.023928417,0.083688881,0.128922386,0.212611267,0.603645019,0.491497076,0.112147943,47.204334,10.985887,58.19022,5.221601985,0.814215409,0.185784591,0.076704196,"Zieminska K, Butler DW, Gleason SM, Wright IJ, Westoby M. 2013. Fibre wall and lumen fractions drive wood density variation across 24 Australian angiosperms. AoB PLANTS 5."
